case_name,commodity,commodity_subtype,zone,resource_id,component_id,type,variable,year,value
missing,all,cost,all,all,all,Cost,DiscountedFixedCost,missing,0.0
missing,all,cost,all,all,all,Cost,DiscountedVariableCost,missing,2.1128300381724486e9
missing,all,cost,all,all,all,Cost,DiscountedTotalCost,missing,2.1128300381724486e9
