ethanol_SE,natgas_SE,ethane_SE,natgas_demand_SE,biowood_SE,bioherb_SE,elec_SE,ethylene_SE,ethylene_demand_SE,h2_SE,co2_captured_SE,gasoline_SE,gasoline_demand_SE,jetfuel_SE,jetfuel_demand_SE,diesel_SE,diesel_demand_SE
14.058029999999999,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,12.952084172065254,1382.9684224742616,1382.9684224742616,14.809897722455899,58.29598030731823,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,9.972880001280538,1382.2820138331842,1382.2820138331842,14.839689764163744,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,9.972880001280538,1382.2820138331842,1382.2820138331842,14.839689764163744,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,9.972880001280538,1382.2820138331842,1382.2820138331842,14.839689764163744,58.06537833231503,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,9.972880001280538,1382.2820138331842,1382.2820138331842,14.839689764163744,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,9.972880001280538,1382.2820138331842,1382.2820138331842,14.839689764163744,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,14.058029999999999,21.98,26.614711219999997,86.55,126.48818137677654,13.297953481644974,1383.0481107632038,1383.0481107632038,15.20537763380945,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,0.0,1379.9842622804588,1379.9842622804588,14.93941856417655,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,0.0,1379.9842622804588,1379.9842622804588,14.93941856417655,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,9.972880001280538,1382.2820138331842,1382.2820138331842,14.839689764163744,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,9.972880001280538,1382.2820138331842,1382.2820138331842,14.839689764163744,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,9.972880001280538,1382.2820138331842,1382.2820138331842,14.839689764163744,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,9.972880001280538,1382.2820138331842,1382.2820138331842,14.839689764163744,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,0.0,1379.9842622804588,1379.9842622804588,14.93941856417655,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,0.0,1379.9842622804588,1379.9842622804588,14.93941856417655,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
