ethanol_SE,natgas_SE,ethane_SE,natgas_demand_SE,biowood_SE,bioherb_SE,elec_SE,ethylene_SE,ethylene_demand_SE,h2_SE,co2_captured_SE,gasoline_SE,gasoline_demand_SE,jetfuel_SE,jetfuel_demand_SE,diesel_SE,diesel_demand_SE
0.0,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,12.952084172065252,460.59789458258354,460.59789458258354,14.809897722455895,58.38528790713553,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
0.0,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,9.972880001280538,472.6829381022089,472.6829381022089,14.839689764163744,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
0.0,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,9.972880001280538,460.5066888148235,460.5066888148235,14.839689764163744,58.06537833231503,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
0.0,14.058029999999999,21.98,26.614711219999997,86.55,134.78121261974022,9.972880001280538,460.5066888148235,460.5066888148235,14.839689764163744,3.258556440346428,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
0.0,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,9.972880001280538,460.5066888148235,460.5066888148235,14.839689764163744,68.32121440560877,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
0.0,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,9.972880001280538,460.5066888148235,460.5066888148235,14.839689764163744,58.15468593213232,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
0.0,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,13.297953481644974,472.15130931779134,472.15130931779134,15.20537763380945,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
0.0,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,0.0,118737.71428834823,118737.71428834823,14.93941856417655,9.975398505430803,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
0.0,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,0.0,470.61436145704835,470.61436145704835,14.93941856417655,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
0.0,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,9.972880001280538,460.5066888148235,460.5066888148235,14.839689764163744,58.15468593213232,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
0.0,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,9.972880001280538,460.5066888148235,460.5066888148235,14.839689764163744,58.15468593213232,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
0.0,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,9.972880001280538,460.5066888148235,460.5066888148235,14.839689764163744,68.0760950667343,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
0.0,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,9.972880001280538,460.5066888148235,460.5066888148235,14.839689764163744,58.15468593213232,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
0.0,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,0.0,460.20137768972063,460.20137768972063,14.93941856417655,1.9033263116506058,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
0.0,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,0.0,470.61436145704835,470.61436145704835,14.93941856417655,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
0.0,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,0.0,470.61436145704835,470.61436145704835,14.93941856417655,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
0.0,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,13.297953481644974,459.38716692241417,459.38716692241417,15.20537763380945,65.17869598761425,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
0.0,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,13.297953481644974,472.15130931779134,472.15130931779134,15.20537763380945,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
0.0,14.058029999999999,21.98,26.614711219999997,86.55,86.4192,13.297953481644974,459.38716692241417,459.38716692241417,15.20537763380945,70.2304955177323,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
0.0,14.058029999999999,21.98,26.614711219999997,104.28735255284492,86.4192,12.952084172065252,460.59789458258354,460.59789458258354,14.809897722455899,70.49599420382992,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
