Time_Index,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
94,1.0,0.0,0.214279756,1.0
95,1.0,0.0,0.129719689,1.0
96,1.0,0.0,0.270967752,1.0
97,1.0,0.0,0.416386485,1.0
98,1.0,0.0,0.457104445,1.0
99,1.0,0.0,0.574437618,1.0
100,1.0,0.0,0.623902559,1.0
101,1.0,0.0,0.674880862,1.0
102,1.0,0.0,0.696119487,1.0
103,1.0,0.0702,0.701763928,1.0
104,1.0,0.2614,0.396576822,1.0
105,1.0,0.4627,0.037886046,1.0
106,1.0,0.6166,0.073010258,1.0
107,1.0,0.7112,0.249430791,1.0
108,1.0,0.716,0.370512515,1.0
109,1.0,0.7297,0.230703786,1.0
110,1.0,0.7274,0.22520043,1.0
111,1.0,0.6825,0.488252103,1.0
112,1.0,0.5492,0.434143692,1.0
113,1.0,0.3739,0.530265331,1.0
114,1.0,0.1552,0.697079122,1.0
115,1.0,0.0324,0.852920771,1.0
116,1.0,0.0,0.663789809,1.0
117,1.0,0.0,0.686731339,1.0
118,1.0,0.0,0.744635105,1.0
119,1.0,0.0,0.782060266,1.0
120,1.0,0.0,0.904454112,1.0
121,1.0,0.0,0.83344537,1.0
122,1.0,0.0,0.872471452,1.0
123,1.0,0.0,0.892910719,1.0
124,1.0,0.0,0.9560256,1.0
125,1.0,0.0,0.992454171,1.0
126,1.0,0.0,0.941938698,1.0
127,1.0,0.0727,0.783872187,1.0
128,1.0,0.2557,0.317019999,1.0
129,1.0,0.4497,0.108912453,1.0
130,1.0,0.5925,0.061030116,1.0
131,1.0,0.704,0.091753475,1.0
132,1.0,0.7225,0.165525734,1.0
133,1.0,0.701,0.100399628,1.0
134,1.0,0.6769,0.1118991,1.0
135,1.0,0.5474,0.337886423,1.0
136,1.0,0.3879,0.737042546,1.0
137,1.0,0.2913,0.518634439,1.0
138,1.0,0.1353,0.477877468,1.0
139,1.0,0.0179,0.68678236,1.0
140,1.0,0.0,0.666041672,1.0
141,1.0,0.0,0.656133652,1.0
142,1.0,0.0,0.731970549,1.0
143,1.0,0.0,0.650233984,1.0
144,1.0,0.0,0.48109597,1.0
145,1.0,0.0,0.520463943,1.0
146,1.0,0.0,0.641899228,1.0
147,1.0,0.0,0.732715607,1.0
148,1.0,0.0,0.773417711,1.0
149,1.0,0.0,0.808750629,1.0
150,1.0,0.0,0.668992579,1.0
151,1.0,0.0607,0.371637166,1.0
152,1.0,0.2295,0.274499536,1.0
153,1.0,0.3989,0.098948047,1.0
154,1.0,0.5445,0.245330244,1.0
155,1.0,0.6313,0.243990541,1.0
156,1.0,0.5756,0.377955258,1.0
157,1.0,0.4796,0.712418675,1.0
158,1.0,0.4497,0.855256557,1.0
159,1.0,0.3945,0.79084897,1.0
160,1.0,0.3274,0.812969089,1.0
161,1.0,0.224,0.640697956,1.0
162,1.0,0.1102,0.474223077,1.0
163,1.0,0.0001,0.422053099,1.0
164,1.0,0.0,0.618463397,1.0
165,1.0,0.0,0.438436031,1.0
166,1.0,0.0,0.626105309,1.0
167,1.0,0.0,0.752179384,1.0
168,1.0,0.0,0.696528912,1.0
169,1.0,0.0,0.395611078,1.0
170,1.0,0.0,0.423413754,1.0
171,1.0,0.0,0.243006587,1.0
172,1.0,0.0,0.258309305,1.0
173,1.0,0.0,0.311122924,1.0
174,1.0,0.0862,0.223746479,1.0
175,1.0,0.1147,0.149251714,1.0
176,1.0,0.2431,0.058339182,1.0
177,1.0,0.3828,0.112041719,1.0
178,1.0,0.492,0.263480425,1.0
179,1.0,0.5487,0.406454057,1.0
180,1.0,0.5534,0.449652612,1.0
181,1.0,0.558,0.635676682,1.0
182,1.0,0.5522,0.749368668,1.0
183,1.0,0.5321,0.83713603,1.0
184,1.0,0.4367,0.77069056,1.0
185,1.0,0.315,0.746376812,1.0
186,1.0,0.1671,0.584556997,1.0
187,1.0,0.0824,0.591010988,1.0
188,1.0,0.0091,0.472454995,1.0
189,1.0,0.0,0.403234482,1.0
190,1.0,0.0,0.620517254,1.0
191,1.0,0.0,0.687395751,1.0
192,1.0,0.0,0.694238126,1.0
193,1.0,0.0,0.719078302,1.0
194,1.0,0.0,0.695590973,1.0
195,1.0,0.0,0.582375467,1.0
196,1.0,0.0,0.328068644,1.0
197,1.0,0.0,0.219203621,1.0
198,1.0,0.0587,0.160372466,1.0
199,1.0,0.1202,0.163433105,1.0
200,1.0,0.2267,0.288469315,1.0
201,1.0,0.3121,0.210290685,1.0
202,1.0,0.3871,0.301395118,1.0
203,1.0,0.4377,0.413270384,1.0
204,1.0,0.4715,0.551126063,1.0
205,1.0,0.481,0.591716051,1.0
206,1.0,0.4752,0.654024005,1.0
207,1.0,0.4683,0.513331532,1.0
208,1.0,0.3812,0.424813777,1.0
209,1.0,0.2652,0.308118045,1.0
210,1.0,0.1535,0.313441902,1.0
211,1.0,0.0289,0.724045098,1.0
212,1.0,0.0,0.51439184,1.0
213,1.0,0.0,0.469148576,1.0
214,1.0,0.0,0.436568946,1.0
215,1.0,0.0,0.202889666,1.0
216,1.0,0.0,0.215684026,1.0
217,1.0,0.0,0.316270888,1.0
218,1.0,0.0,0.310780317,1.0
219,1.0,0.0,0.299282789,1.0
220,1.0,0.0,0.432175815,1.0
221,1.0,0.0,0.194348484,1.0
222,1.0,0.0,0.209139466,1.0
223,1.0,0.0152,0.228728533,1.0
224,1.0,0.0911,0.312427849,1.0
225,1.0,0.1895,0.217083111,1.0
226,1.0,0.2332,0.153272688,1.0
227,1.0,0.2898,0.085418865,1.0
228,1.0,0.3538,0.055565592,1.0
229,1.0,0.3662,0.005079592,1.0
230,1.0,0.3455,0.013821051,1.0
231,1.0,0.2894,0.028382257,1.0
232,1.0,0.2522,0.013966933,1.0
233,1.0,0.177,0.010335479,1.0
234,1.0,0.1159,0.082700029,1.0
235,1.0,0.0529,0.264066011,1.0
236,1.0,0.048,0.384414434,1.0
237,1.0,0.0,0.545492649,1.0
238,1.0,0.0,0.51424253,1.0
239,1.0,0.0,0.736316085,1.0
240,1.0,0.0,0.6506024,1.0
241,1.0,0.0,0.556405127,1.0
242,1.0,0.0,0.462369353,1.0
243,1.0,0.0,0.590124667,1.0
244,1.0,0.0,0.575042486,1.0
245,1.0,0.0,0.691458404,1.0
246,1.0,0.1017,0.615193188,1.0
247,1.0,0.103,0.351349473,1.0
248,1.0,0.2403,0.224414408,1.0
249,1.0,0.3815,0.338782132,1.0
250,1.0,0.4815,0.345988899,1.0
251,1.0,0.5593,0.291045278,1.0
252,1.0,0.6001,0.162717462,1.0
253,1.0,0.6257,0.131063849,1.0
254,1.0,0.6342,0.095035844,1.0
255,1.0,0.5798,0.040348653,1.0
256,1.0,0.4757,0.057491764,1.0
257,1.0,0.3352,0.053749915,1.0
258,1.0,0.1595,0.070691973,1.0
259,1.0,0.0851,0.123805001,1.0
260,1.0,0.1883,0.308470607,1.0
261,1.0,0.0,0.423288703,1.0
262,1.0,0.0,0.260216504,1.0
263,1.0,0.0,0.204875395,1.0
264,1.0,0.0,0.297252923,1.0
265,1.0,0.0,0.248301715,1.0
266,1.0,0.0,0.112112507,1.0
267,1.0,0.0,0.057916366,1.0
268,1.0,0.0,0.135247335,1.0
269,1.0,0.0,0.249359459,1.0
270,1.0,0.187,0.426526546,1.0
271,1.0,0.093,0.314102888,1.0
272,1.0,0.2452,0.128488302,1.0
273,1.0,0.4187,0.080791995,1.0
274,1.0,0.5509,0.110714242,1.0
275,1.0,0.6487,0.115921974,1.0
276,1.0,0.6968,0.158042431,1.0
277,1.0,0.693,0.18366994,1.0
278,1.0,0.6863,0.220246598,1.0
279,1.0,0.6064,0.221653923,1.0
280,1.0,0.4918,0.183514729,1.0
281,1.0,0.343,0.259554565,1.0
282,1.0,0.1604,0.260095179,1.0
283,1.0,0.087,0.304119915,1.0
284,1.0,0.2318,0.510694981,1.0
285,1.0,0.0,0.482686579,1.0
286,1.0,0.0,0.699062824,1.0
287,1.0,0.0,0.673384309,1.0
288,1.0,0.0,0.432914585,1.0
289,1.0,0.0,0.323145747,1.0
290,1.0,0.0,0.319088399,1.0
291,1.0,0.0,0.260254115,1.0
292,1.0,0.0,0.181786716,1.0
293,1.0,0.0,0.144087076,1.0
294,1.0,0.1887,0.191920087,1.0
295,1.0,0.0929,0.166908354,1.0
296,1.0,0.2427,0.037063673,1.0
297,1.0,0.4116,0.079695985,1.0
298,1.0,0.5369,0.087955154,1.0
299,1.0,0.6279,0.102017671,1.0
300,1.0,0.6575,0.115555152,1.0
301,1.0,0.6482,0.187957913,1.0
302,1.0,0.6391,0.364956856,1.0
303,1.0,0.5776,0.37996769,1.0
304,1.0,0.4757,0.59902066,1.0
305,1.0,0.3383,0.630329251,1.0
306,1.0,0.1684,0.65753907,1.0
307,1.0,0.0868,0.771859109,1.0
308,1.0,0.0487,0.490005106,1.0
309,1.0,0.0,0.365391672,1.0
310,1.0,0.0,0.340303034,1.0
311,1.0,0.0,0.094722599,1.0
312,1.0,0.0,0.015825296,1.0
313,1.0,0.0,0.002421153,1.0
314,1.0,0.0,0.000794847,1.0
315,1.0,0.0,0.000428479,1.0
316,1.0,0.0,0.01052763,1.0
317,1.0,0.0,0.016187765,1.0
318,1.0,0.1238,0.011523427,1.0
319,1.0,0.1126,0.006976931,1.0
320,1.0,0.2482,0.00335009,1.0
321,1.0,0.4064,0.028564842,1.0
322,1.0,0.5351,0.051422022,1.0
323,1.0,0.6317,0.043019362,1.0
324,1.0,0.6694,0.027543584,1.0
325,1.0,0.6718,0.090025589,1.0
326,1.0,0.6624,0.076414011,1.0
327,1.0,0.5849,0.14478156,1.0
328,1.0,0.4741,0.309692383,1.0
329,1.0,0.3354,0.401429474,1.0
330,1.0,0.1691,0.437628329,1.0
331,1.0,0.0894,0.69906354,1.0
332,1.0,0.1753,0.482573152,1.0
333,1.0,0.0,0.583878756,1.0
334,1.0,0.0,0.58348006,1.0
335,1.0,0.0,0.304607511,1.0
336,1.0,0.0,0.203610167,1.0
337,1.0,0.0,0.059183639,1.0
338,1.0,0.0,0.017477738,1.0
339,1.0,0.0,0.003308868,1.0
340,1.0,0.0,0.003098957,1.0
341,1.0,0.0,0.034557465,1.0
342,1.0,0.0,0.029256877,1.0
343,1.0,0.0431,0.060317811,1.0
344,1.0,0.1775,0.000623195,1.0
345,1.0,0.3417,1.58e-5,1.0
346,1.0,0.4808,0.0,1.0
347,1.0,0.5742,0.0,1.0
348,1.0,0.5341,0.0,1.0
349,1.0,0.4891,0.000121372,1.0
350,1.0,0.4521,0.009977803,1.0
351,1.0,0.4369,0.036680672,1.0
352,1.0,0.3852,0.047951601,1.0
353,1.0,0.2983,0.05779947,1.0
354,1.0,0.1453,0.103494272,1.0
355,1.0,0.0205,0.121304728,1.0
356,1.0,0.0,0.17586036,1.0
357,1.0,0.0,0.221047595,1.0
358,1.0,0.0,0.191995934,1.0
359,1.0,0.0,0.1736954,1.0
360,1.0,0.0,0.176549047,1.0
361,1.0,0.0,0.116465986,1.0
362,1.0,0.0,0.120669544,1.0
363,1.0,0.0,0.078944132,1.0
364,1.0,0.0,0.162234783,1.0
365,1.0,0.0,0.353673846,1.0
366,1.0,0.0,0.437671453,1.0
367,1.0,0.0223,0.331106782,1.0
368,1.0,0.1784,0.094289497,1.0
369,1.0,0.3427,0.062409885,1.0
370,1.0,0.4846,0.140003875,1.0
371,1.0,0.5725,0.187447995,1.0
372,1.0,0.5996,0.130650893,1.0
373,1.0,0.5755,0.128492698,1.0
374,1.0,0.573,0.231962904,1.0
375,1.0,0.549,0.16910702,1.0
376,1.0,0.4675,0.14849548,1.0
377,1.0,0.317,0.098733433,1.0
378,1.0,0.1336,0.05455634,1.0
379,1.0,0.0148,0.063347116,1.0
380,1.0,0.0,0.107670099,1.0
381,1.0,0.0,0.260569662,1.0
382,1.0,0.0,0.204215527,1.0
383,1.0,0.0,0.195455402,1.0
384,1.0,0.0,0.375387609,1.0
385,1.0,0.0,0.270010889,1.0
386,1.0,0.0,0.194438636,1.0
387,1.0,0.0,0.15489471,1.0
388,1.0,0.0,0.091310248,1.0
389,1.0,0.0,0.090811595,1.0
390,1.0,0.0,0.110864207,1.0
391,1.0,0.0642,0.119400859,1.0
392,1.0,0.2111,0.061479151,1.0
393,1.0,0.383,0.005461187,1.0
394,1.0,0.5296,0.002071598,1.0
395,1.0,0.6173,0.00235035,1.0
396,1.0,0.6147,0.003516422,1.0
397,1.0,0.5963,0.00953491,1.0
398,1.0,0.583,0.025794232,1.0
399,1.0,0.5717,0.02855349,1.0
400,1.0,0.4633,0.035268076,1.0
401,1.0,0.3282,0.06849432,1.0
402,1.0,0.1391,0.12005426,1.0
403,1.0,0.0192,0.156125575,1.0
404,1.0,0.0,0.156297609,1.0
405,1.0,0.0,0.165643886,1.0
406,1.0,0.0,0.199686095,1.0
407,1.0,0.0,0.124624483,1.0
408,1.0,0.0,0.230294004,1.0
409,1.0,0.0,0.381313324,1.0
410,1.0,0.0,0.512530088,1.0
411,1.0,0.0,0.621118248,1.0
412,1.0,0.0,0.299842745,1.0
413,1.0,0.0,0.431786299,1.0
414,1.0,0.0,0.298764378,1.0
415,1.0,0.0536,0.236072391,1.0
416,1.0,0.2156,0.088252909,1.0
417,1.0,0.3624,0.021430828,1.0
418,1.0,0.457,0.007526491,1.0
419,1.0,0.4909,0.009397214,1.0
420,1.0,0.5337,0.005966187,1.0
421,1.0,0.5614,0.016075911,1.0
422,1.0,0.5731,0.029082507,1.0
423,1.0,0.5627,0.056834929,1.0
424,1.0,0.4566,0.079331324,1.0
425,1.0,0.3138,0.122015059,1.0
426,1.0,0.1382,0.107553273,1.0
427,1.0,0.0157,0.076155037,1.0
428,1.0,0.0,0.07418564,1.0
429,1.0,0.0,0.185140714,1.0
430,1.0,0.0,0.301337421,1.0
431,1.0,0.0,0.240397602,1.0
432,1.0,0.0,0.355041444,1.0
433,1.0,0.0,0.36136055,1.0
434,1.0,0.0,0.343556464,1.0
435,1.0,0.0,0.428019077,1.0
436,1.0,0.0,0.30440259,1.0
437,1.0,0.0,0.193062648,1.0
438,1.0,0.0,0.131624371,1.0
439,1.0,0.0498,0.134099424,1.0
440,1.0,0.2088,0.076709524,1.0
441,1.0,0.3714,0.000744713,1.0
442,1.0,0.483,8.85e-6,1.0
443,1.0,0.5506,0.004691249,1.0
444,1.0,0.5401,0.005487277,1.0
445,1.0,0.5246,0.007982226,1.0
446,1.0,0.5164,0.045375742,1.0
447,1.0,0.4891,0.076002859,1.0
448,1.0,0.3955,0.073083296,1.0
449,1.0,0.2852,0.134692326,1.0
450,1.0,0.1296,0.106550097,1.0
451,1.0,0.0073,0.170319661,1.0
452,1.0,0.0,0.149630338,1.0
453,1.0,0.0,0.292722106,1.0
454,1.0,0.0,0.268705636,1.0
455,1.0,0.0,0.209165215,1.0
456,1.0,0.0,0.144090563,1.0
457,1.0,0.0,0.064171106,1.0
458,1.0,0.0,0.051064175,1.0
459,1.0,0.0,0.045738723,1.0
460,1.0,0.0,0.056749951,1.0
461,1.0,0.0,0.043590449,1.0
462,1.0,0.0,0.015429542,1.0
463,1.0,0.0376,0.031007709,1.0
464,1.0,0.1679,0.063010313,1.0
465,1.0,0.3053,0.011321949,1.0
466,1.0,0.4204,0.000154553,1.0
467,1.0,0.4801,0.006507933,1.0
468,1.0,0.5293,0.014785787,1.0
469,1.0,0.5588,0.039897282,1.0
470,1.0,0.5357,0.055247068,1.0
471,1.0,0.5009,0.052630201,1.0
472,1.0,0.4341,0.111811824,1.0
473,1.0,0.3047,0.215767801,1.0
474,1.0,0.1335,0.177936614,1.0
475,1.0,0.0131,0.362718731,1.0
476,1.0,0.0,0.378284663,1.0
477,1.0,0.0,0.604639411,1.0
478,1.0,0.0,0.461963505,1.0
479,1.0,0.0,0.267082095,1.0
480,1.0,0.0,0.356327593,1.0
481,1.0,0.0,0.236164868,1.0
482,1.0,0.0,0.08108563,1.0
483,1.0,0.0,0.094098724,1.0
484,1.0,0.0,0.091537304,1.0
485,1.0,0.0,0.033837829,1.0
486,1.0,0.0,0.004082053,1.0
487,1.0,0.0406,0.003620916,1.0
488,1.0,0.2104,0.003715112,1.0
489,1.0,0.3931,0.000435094,1.0
490,1.0,0.5351,0.001416928,1.0
491,1.0,0.6404,0.002340014,1.0
492,1.0,0.6488,0.001246676,1.0
493,1.0,0.6503,0.00747953,1.0
494,1.0,0.6435,0.012482021,1.0
495,1.0,0.5997,0.025139732,1.0
496,1.0,0.4801,0.047560222,1.0
497,1.0,0.3244,0.052346561,1.0
498,1.0,0.1324,0.106374368,1.0
499,1.0,0.0085,0.269613236,1.0
500,1.0,0.0,0.387379766,1.0
501,1.0,0.0,0.541370153,1.0
502,1.0,0.0,0.417550325,1.0
503,1.0,0.0,0.467351079,1.0
504,1.0,0.0,0.405682355,1.0
