Time_Index,Demand_Electricity_NE,Demand_Zero
1,9758.89521,0
2,9432.381666,0
3,9311.373452,0
4,9317.632497,0
5,9657.707306,0
6,10736.34949,0
7,12498.27082,0
8,13683.31678,0
9,14103.71601,0
10,14280.01246,0
11,14440.66129,0
12,14441.70447,0
13,14324.86895,0
14,14217.422,0
15,13986.88049,0
16,13827.27483,0
17,13829.36118,0
18,13991.05319,0
19,14128.75219,0
20,14725.44787,0
21,14750.48405,0
22,13728.17327,0
23,12329.27659,0
24,11029.48146,0
25,10248.14394,0
26,9854.867242,0
27,9675.441269,0
28,9660.836829,0
29,9993.609418,0
30,11031.56781,0
31,12744.45994,0
32,13817.88626,0
33,14032.78016,0
34,14122.49314,0
35,14215.33565,0
36,14180.9109,0
37,14096.41379,0
38,14060.94586,0
39,13871.08815,0
40,13708.35296,0
41,13731.30279,0
42,13840.83609,0
43,13935.76495,0
44,14553.32411,0
45,14608.61235,0
46,13609.25141,0
47,12207.2252,0
48,10941.85482,0
49,10161.56047,0
50,9757.852035,0
51,9578.426062,0
52,9578.426062,0
53,9897.637386,0
54,10935.59578,0
55,12669.3514,0
56,13829.36118,0
57,14120.40679,0
58,14169.43598,0
59,14236.19914,0
60,14198.64486,0
61,14056.77316,0
62,13992.09636,0
63,13827.27483,0
64,13683.31678,0
65,13717.74153,0
66,13864.8291,0
67,14005.65763,0
68,14631.56218,0
69,14630.51901,0
70,13658.2806,0
71,12292.76549,0
72,11044.0859,0
73,10231.45315,0
74,9804.794877,0
75,9609.72129,0
76,9604.505419,0
77,9902.853258,0
78,10952.28656,0
79,12659.96283,0
80,13761.55485,0
81,14042.16872,0
82,14124.57949,0
83,14172.56551,0
84,14184.04042,0
85,14128.75219,0
86,14114.14775,0
87,13944.11034,0
88,13813.71356,0
89,13855.44053,0
90,14018.17572,0
91,14060.94586,0
92,14570.0149,0
93,14645.12345,0
94,13754.25263,0
95,12431.50767,0
96,11165.09411,0
97,10370.19533,0
98,9973.789107,0
99,9782.888218,0
100,9783.931392,0
101,10088.53828,0
102,11096.24461,0
103,12737.15772,0
104,13803.28182,0
105,14012.95985,0
106,14087.02522,0
107,14152.7452,0
108,14060.94586,0
109,13900.29702,0
110,13808.49769,0
111,13596.73331,0
112,13351.58736,0
113,13245.18359,0
114,13171.11822,0
115,13060.54174,0
116,13504.93398,0
117,13764.68437,0
118,13049.06683,0
119,11980.85639,0
120,10828.14883,0
121,10019.68877,0
122,9548.174009,0
123,9280.078224,0
124,9223.746814,0
125,9327.021066,0
126,9727.599982,0
127,10240.84172,0
128,11164.05094,0
129,11982.94273,0
130,12485.75273,0
131,12683.95584,0
132,12631.79712,0
133,12446.11211,0
134,12216.61377,0
135,12016.32431,0
136,11945.38846,0
137,11993.37448,0
138,12143.59157,0
139,12216.61377,0
140,12687.08536,0
141,12905.10878,0
142,12270.85883,0
143,11322.61343,0
144,10370.19533,0
145,9610.764465,0
146,9132.990653,0
147,8853.419951,0
148,8743.886654,0
149,8764.750139,0
150,8969.212294,0
151,9259.214739,0
152,9950.839274,0
153,10902.2142,0
154,11629.30666,0
155,12012.15161,0
156,12227.04551,0
157,12272.94518,0
158,12182.18902,0
159,12107.08047,0
160,12132.11665,0
161,12328.23341,0
162,12616.14951,0
163,12727.76916,0
164,13189.89535,0
165,13397.48703,0
166,12632.8403,0
167,11566.7162,0
168,10547.53495,0
169,10676.88856,0
170,10115.66081,0
171,9837.133279,0
172,9752.636164,0
173,9969.61641,0
174,10685.23395,0
175,12382.47848,0
176,13911.77194,0
177,14734.83643,0
178,15310.66863,0
179,15758.19038,0
180,16033.58839,0
181,16184.84866,0
182,16331.93623,0
183,16334.02258,0
184,16343.41114,0
185,16361.14511,0
186,16218.23023,0
187,15771.75165,0
188,15408.72701,0
189,15482.79238,0
190,14904.87384,0
191,13349.50102,0
192,11853.58913,0
193,10884.48024,0
194,10291.95726,0
195,10013.42973,0
196,9902.853258,0
197,10145.91286,0
198,10828.14883,0
199,12538.95461,0
200,14045.29825,0
201,14842.28338,0
202,15339.8775,0
203,15762.36308,0
204,15989.77507,0
205,16093.04932,0
206,16281.86386,0
207,16242.22324,0
208,16155.63978,0
209,16121.21503,0
210,15970.99793,0
211,15649.70026,0
212,15446.28128,0
213,15541.21014,0
214,14860.01734,0
215,13393.31433,0
216,11994.41765,0
217,11062.86304,0
218,10532.93051,0
219,10247.10076,0
220,10155.30143,0
221,10356.63406,0
222,11153.6192,0
223,12791.40279,0
224,14323.82577,0
225,15045.70236,0
226,15457.7562,0
227,15775.92435,0
228,15918.83922,0
229,15897.97573,0
230,15930.31414,0
231,15810.3491,0
232,15690.38406,0
233,15721.67928,0
234,15710.20437,0
235,15471.31746,0
236,15233.47373,0
237,15263.72578,0
238,14795.34054,0
239,13378.70989,0
240,11952.69068,0
241,10964.80466,0
242,10387.92929,0
243,10030.12052,0
244,9919.544046,0
245,10107.31541,0
246,10814.58756,0
247,12435.68036,0
248,13934.72178,0
249,14712.92977,0
250,15162.53788,0
251,15527.64887,0
252,15685.16819,0
253,15740.45642,0
254,15863.55098,0
255,15903.19161,0
256,15918.83922,0
257,15941.78905,0
258,15821.82401,0
259,15451.49715,0
260,15099.94742,0
261,15138.54487,0
262,14821.4199,0
263,13376.62355,0
264,11898.44562,0
265,10856.31453,0
266,10204.33062,0
267,9859.039939,0
268,9733.859027,0
269,9896.594212,0
270,10463.03784,0
271,12038.23097,0
272,13562.30856,0
273,14488.64731,0
274,15094.73155,0
275,15550.59871,0
276,15768.62213,0
277,15834.3421,0
278,15963.69571,0
279,15963.69571,0
280,15925.09827,0
281,15887.54399,0
282,15657.00248,0
283,15170.88327,0
284,14710.84343,0
285,14630.51901,0
286,14359.2937,0
287,13134.60712,0
288,11782.65328,0
289,10724.87458,0
290,10088.53828,0
291,9730.729505,0
292,9532.526395,0
293,9485.583553,0
294,9497.05847,0
295,10153.21508,0
296,11292.36137,0
297,12511.83208,0
298,13341.15562,0
299,13786.59103,0
300,13947.23987,0
301,13945.15352,0
302,13818.92943,0
303,13704.18026,0
304,13674.97138,0
305,13717.74153,0
306,13751.12311,0
307,13582.12888,0
308,13327.59436,0
309,13425.65274,0
310,13279.60834,0
311,12335.53563,0
312,11184.91442,0
313,10282.56869,0
314,9716.125065,0
315,9378.136604,0
316,9178.890321,0
317,9138.206524,0
318,9065.184326,0
319,9413.604529,0
320,10260.66203,0
321,11338.26104,0
322,12162.36871,0
323,12666.22187,0
324,12955.18114,0
325,13077.23253,0
326,13010.46938,0
327,12969.78558,0
328,13010.46938,0
329,13163.816,0
330,13323.42166,0
331,13290.04008,0
332,13184.67948,0
333,13450.68892,0
334,13283.78104,0
335,12136.28935,0
336,10906.3869,0
337,11200.56204,0
338,10673.75904,0
339,10363.93628,0
340,10257.53251,0
341,10465.12418,0
342,11172.39633,0
343,12350.14007,0
344,13703.13709,0
345,14785.95197,0
346,15699.77262,0
347,16466.50571,0
348,17005.8268,0
349,17331.29717,0
350,17570.18407,0
351,17619.21326,0
352,17585.83169,0
353,17612.95422,0
354,17555.57963,0
355,17091.36709,0
356,16852.48018,0
357,17001.6541,0
358,15952.2208,0
359,14428.1432,0
360,12979.17415,0
361,11942.25894,0
362,11361.21087,0
363,10985.66814,0
364,10836.49422,0
365,11041.99955,0
366,11850.4596,0
367,13145.03886,0
368,14499.07905,0
369,15529.73522,0
370,16392.44033,0
371,17157.08707,0
372,17667.19928,0
373,18013.53314,0
374,18361.95334,0
375,18548.68153,0
376,18609.18564,0
377,18611.27199,0
378,18307.70828,0
379,17693.27864,0
380,17347.98796,0
381,17428.31237,0
382,16349.67019,0
383,14740.0523,0
384,13215.97471,0
385,12122.72808,0
386,11449.88069,0
387,11022.17924,0
388,10798.93995,0
389,10924.12086,0
390,11639.7384,0
391,12752.80534,0
392,14227.85374,0
393,15350.30925,0
394,16313.15909,0
395,17156.04389,0
396,17757.95544,0
397,18124.10961,0
398,18515.29995,0
399,18756.27321,0
400,18820.95001,0
401,18861.63381,0
402,18631.0923,0
403,18056.30328,0
404,17651.55167,0
405,17744.39418,0
406,16686.61548,0
407,15061.34998,0
408,13534.14286,0
409,12417.9464,0
410,11722.14917,0
411,11256.89345,0
412,11076.4243,0
413,11195.34617,0
414,11965.20877,0
415,13131.47759,0
416,14664.94376,0
417,15928.22779,0
418,16947.40904,0
419,17819.50272,0
420,18519.47265,0
421,19064.00962,0
422,19609.58975,0
423,19866.21062,0
424,19989.30518,0
425,20024.77311,0
