Time_Index,Demand_Electricity_NE,Demand_Zero
426,19793.18842,0
427,19191.27688,0
428,18757.31638,0
429,18788.61161,0
430,17684.93324,0
431,16012.7249,0
432,14397.89115,0
433,13236.83819,0
434,12446.11211,0
435,11935.99989,0
436,11663.73141,0
437,11756.57392,0
438,12444.02576,0
439,13544.5746,0
440,14989.37095,0
441,16233.87785,0
442,17291.65655,0
443,18245.11782,0
444,18948.21727,0
445,19409.3003,0
446,19856.82205,0
447,20046.67977,0
448,19997.65058,0
449,19907.93759,0
450,19510.4882,0
451,18775.05035,0
452,18383.86,0
453,18284.75844,0
454,17260.36132,0
455,15814.52179,0
456,14311.30768,0
457,13099.13919,0
458,12339.70833,0
459,11823.33707,0
460,11527.07558,0
461,11480.13274,0
462,11722.14917,0
463,12155.06649,0
464,13128.34807,0
465,14404.15019,0
466,15539.12379,0
467,16375.74955,0
468,16912.98429,0
469,17247.84323,0
470,17454.39173,0
471,17557.66598,0
472,17521.15488,0
473,17424.13968,0
474,17173.77786,0
475,16666.79516,0
476,16439.38318,0
477,16395.56986,0
478,15571.46219,0
479,14391.6321,0
480,13131.47759,0
481,12132.11665,0
482,11421.71498,0
483,10974.19322,0
484,10684.19078,0
485,10593.43462,0
486,10700.88157,0
487,10829.192,0
488,11634.52253,0
489,12864.42498,0
490,14012.95985,0
491,14894.4421,0
492,15578.76441,0
493,16115.99915,0
494,16412.26064,0
495,16680.35643,0
496,16951.58174,0
497,17222.80705,0
498,17359.46287,0
499,17043.38107,0
500,16847.26431,0
501,16894.20715,0
502,15848.94654,0
503,14391.6321,0
504,13082.4484,0
