Period_Index,Rep_Period,Rep_Period_Index
1,15,1
2,15,1
3,15,1
4,15,1
5,15,1
6,15,1
7,15,1
8,15,1
9,15,1
10,15,1
11,24,2
12,24,2
13,15,1
14,15,1
15,15,1
16,15,1
17,15,1
18,24,2
19,15,1
20,24,2
21,24,2
22,24,2
23,24,2
24,24,2
25,34,3
26,34,3
27,34,3
28,34,3
29,34,3
30,34,3
31,34,3
32,34,3
33,34,3
34,34,3
35,34,3
36,34,3
37,24,2
38,24,2
39,24,2
40,24,2
41,24,2
42,15,1
43,24,2
44,15,1
45,24,2
46,24,2
47,24,2
48,24,2
49,24,2
50,24,2
51,15,1
52,15,1
