Time_Index,Electricity_MW_CA,Electricity_MW_NW,Electricity_MW_SW,Electricity_MW_TX,Electricity_MW_NCEN,Electricity_MW_CEN,Electricity_MW_SE,Electricity_MW_MIDAT,Electricity_MW_NE,Hydrogen_MW_CA,Hydrogen_MW_NW,Hydrogen_MW_SW,Hydrogen_MW_TX,Hydrogen_MW_NCEN,Hydrogen_MW_CEN,Hydrogen_MW_SE,Hydrogen_MW_MIDAT,Hydrogen_MW_NE,NaturalGas_MW_CA,NaturalGas_MW_NW,NaturalGas_MW_SW,NaturalGas_MW_TX,NaturalGas_MW_NCEN,NaturalGas_MW_CEN,NaturalGas_MW_SE,NaturalGas_MW_MIDAT,NaturalGas_MW_NE,Diesel_MW_Global,Gasoline_MW_Global,JetFuel_MW_Global,Demand_Zero
17,53048,27776,36964,60226,123965,63322,165512,141832,79935,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
18,53611,28227,38362,62851,127059,66964,167241,135510,76145,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
19,56404,29392,40733,62184,125191,65603,166890,134330,75491,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
20,58489,30655,41160,61351,122136,65241,160626,128150,71734,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
21,59234,29612,41166,58469,115738,62353,153282,123471,68762,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
22,57498,28754,39093,55684,109489,60069,146103,115754,63407,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
23,52503,26842,36662,53987,102443,57575,140882,110495,59594,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
24,47786,25339,34098,53455,97095,56417,138783,104053,54979,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
25,42740,23849,32129,55038,92399,55938,137067,99836,52070,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
26,38405,23183,31117,55138,88260,54912,136919,97385,50523,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
27,34989,23012,29925,55013,85456,54101,139168,97340,50187,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
28,32824,22654,29215,55686,84483,54425,142099,97174,50005,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
29,32415,22589,29282,56622,84401,54795,147452,99904,52142,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
30,33070,22845,29457,58635,87910,56429,167520,108345,56987,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
31,33933,23212,30077,69522,94674,68495,177444,118146,63587,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
32,35872,24167,33171,66539,103139,67396,173981,128809,70617,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
33,42265,27216,34493,66797,111657,66305,171225,131697,73087,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
34,43564,27086,37202,66688,115795,66762,172400,132866,73765,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
35,47860,29238,38858,67798,117212,68100,164268,128606,72594,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
36,50103,30351,40257,63888,117346,65126,160739,130009,74341,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
37,51908,31571,39110,63185,119279,65213,156681,128164,73790,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
38,52453,30249,39556,61423,118020,63689,149059,122934,71202,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
