commodity,zone,resource_id,component_id,resource_type,component_type,variable,value
Biomass_Herb,CA,CA_Bio_Electricity_CCS_93_Herb,CA_Bio_Electricity_CCS_93_Herb_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Herb},capacity,0.014196520033642406
Biomass_Herb,NW,NW_Bio_Electricity_CCS_93_Herb,NW_Bio_Electricity_CCS_93_Herb_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Herb},capacity,0.11147095707884168
Biomass_Herb,SW,SW_Bio_Electricity_CCS_93_Herb,SW_Bio_Electricity_CCS_93_Herb_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Herb},capacity,0.19105957301016346
Biomass_Herb,TX,TX_Bio_Electricity_CCS_93_Herb,TX_Bio_Electricity_CCS_93_Herb_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Herb},capacity,0.2881135304046936
Biomass_Herb,NCEN,NCEN_Bio_Electricity_CCS_93_Herb,NCEN_Bio_Electricity_CCS_93_Herb_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Herb},capacity,0.22945097759081834
Biomass_Herb,CEN,CEN_Bio_Electricity_CCS_93_Herb,CEN_Bio_Electricity_CCS_93_Herb_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Herb},capacity,0.2597803708760136
Biomass_Herb,SE,SE_Bio_Electricity_CCS_93_Herb,SE_Bio_Electricity_CCS_93_Herb_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Herb},capacity,0.24750805811949392
Biomass_Herb,MIDAT,MIDAT_Bio_Electricity_CCS_93_Herb,MIDAT_Bio_Electricity_CCS_93_Herb_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Herb},capacity,0.1514687532405378
Biomass_Herb,NE,NE_Bio_Electricity_CCS_93_Herb,NE_Bio_Electricity_CCS_93_Herb_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Herb},capacity,0.10626007801783352
Biomass_Wood,CA,CA_Bio_Electricity_CCS_93_Wood,CA_Bio_Electricity_CCS_93_Wood_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Wood},capacity,0.12371977339745381
Biomass_Wood,NW,NW_Bio_Electricity_CCS_93_Wood,NW_Bio_Electricity_CCS_93_Wood_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Wood},capacity,0.11601921998595623
Biomass_Wood,SW,SW_Bio_Electricity_CCS_93_Wood,SW_Bio_Electricity_CCS_93_Wood_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Wood},capacity,0.14122338865978354
Biomass_Wood,TX,TX_Bio_Electricity_CCS_93_Wood,TX_Bio_Electricity_CCS_93_Wood_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Wood},capacity,0.14479625283431005
Biomass_Wood,NCEN,NCEN_Bio_Electricity_CCS_93_Wood,NCEN_Bio_Electricity_CCS_93_Wood_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Wood},capacity,0.16602380297270342
Biomass_Wood,CEN,CEN_Bio_Electricity_CCS_93_Wood,CEN_Bio_Electricity_CCS_93_Wood_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Wood},capacity,0.17614419973482756
Biomass_Wood,SE,SE_Bio_Electricity_CCS_93_Wood,SE_Bio_Electricity_CCS_93_Wood_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Wood},capacity,0.18274021889275188
Biomass_Wood,MIDAT,MIDAT_Bio_Electricity_CCS_93_Wood,MIDAT_Bio_Electricity_CCS_93_Wood_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Wood},capacity,0.15901311125227618
Biomass_Wood,NE,NE_Bio_Electricity_CCS_93_Wood,NE_Bio_Electricity_CCS_93_Wood_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Wood},capacity,0.11859553117840435
Biomass_Agri,CA,CA_Bio_Electricity_CCS_93_Agri,CA_Bio_Electricity_CCS_93_Agri_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Agri},capacity,0.1448314674553857
