natgas_fossil_CA,natgas_fossil_SW,natgas_fossil_NW,natgas_fossil_NCEN,natgas_fossil_CEN,natgas_fossil_TX,natgas_fossil_SE,natgas_fossil_MIDAT,natgas_fossil_NE,natgas_CA,natgas_SW,natgas_NW,natgas_NCEN,natgas_CEN,natgas_TX,natgas_SE,natgas_MIDAT,natgas_NE,natgas_demand_CA,natgas_demand_SW,natgas_demand_NW,natgas_demand_NCEN,natgas_demand_CEN,natgas_demand_TX,natgas_demand_SE,natgas_demand_MIDAT,natgas_demand_NE,uranium_source,bioagri_CA,bioagri_NW,bioagri_SW,bioagri_TX,bioagri_NCEN,bioagri_CEN,bioagri_SE,bioagri_MIDAT,bioagri_NE,bioherb_CA,bioherb_NW,bioherb_SW,bioherb_TX,bioherb_NCEN,bioherb_CEN,bioherb_SE,bioherb_MIDAT,bioherb_NE,biowood_CA,biowood_NW,biowood_SW,biowood_TX,biowood_NCEN,biowood_CEN,biowood_SE,biowood_MIDAT,biowood_NE,elec_CA,elec_NW,elec_SW,elec_NCEN,elec_CEN,elec_TX,elec_SE,elec_MIDAT,elec_NE,h2_CA,h2_NW,h2_SW,h2_NCEN,h2_CEN,h2_TX,h2_SE,h2_MIDAT,h2_NE,co2_captured_CA,co2_captured_NW,co2_captured_SW,co2_captured_NCEN,co2_captured_CEN,co2_captured_TX,co2_captured_SE,co2_captured_MIDAT,co2_captured_NE,gasoline_fossil_global,gasoline_global,gasoline_demand_global,jetfuel_fossil_global,jetfuel_global,jetfuel_demand_global,diesel_fossil_global,diesel_global,diesel_demand_global
30.197460680000002,23.50966148,27.67247527,20.77994752,19.17624057,16.68537658,22.48601875,21.59886171,25.96640405,30.194629709258642,23.5064984130742,27.667867403762884,20.778787892965678,19.17356590866334,16.682611033400697,22.484031298655296,21.597201733495325,25.96422438419476,50.610006043909635,43.92187474772519,48.083243738413884,41.194164227616675,39.588942243314335,37.09798736805169,42.89940763330629,42.012578068146325,46.37960071884576,2.814676307,169.85425320498794,172.63677962501546,145.53339458690064,129.60735484355865,124.57478886062064,131.89626830469717,120.69998087046385,120.06604250737954,123.26742344111435,2159.9127079701,212.9338449950467,159.16666553495193,155.28908999449038,139.44754914074463,148.31357933962053,133.96931219266907,133.77962397223422,135.06040520422783,195.1189822252665,227.37748966905195,178.50577682046756,173.91069272478046,153.70118540753842,166.375974888986,148.55548829449273,142.98913668387837,141.14388407213966,24.25396694501676,0.18488003136307207,25.455365311498348,24.720128240324005,23.55326379806781,24.69600415469764,24.139919380008998,22.84905494005641,17.92752692181145,27.74795692831464,11.2341400714947,29.11947593216629,30.884187644504053,26.959677432734132,28.242210100308036,31.225403909401848,32.62184569425556,31.292195251082884,-6.355582828844073,-7.286030761124851,-14.458020777780977,-39.57285889482953,-29.562105809251342,-19.364542479169888,-45.64864247996977,-54.2821631159784,-61.894879762939595,94.95992439,90.22636102209195,117.45955895930273,75.68131954,49.876561575072735,77.37637826535178,97.3484241,113.27404470108624,141.1166568672382
30.197460680000002,23.50966148,27.67247527,20.77994752,19.17624057,16.68537658,22.48601875,21.59886171,25.96640405,30.19462823306262,23.506522824289544,27.667883003396547,20.778792163015744,19.17358744532151,16.682646887783736,22.48404684012708,21.597206181076167,25.964242059549335,50.61000456771362,43.92189915894054,48.08325933804754,41.19416849766674,39.58896377997251,37.09802322243473,42.89942317477808,42.01258251572716,46.379618394200335,2.814676307,170.66583188675602,168.74844597371956,146.41996429840657,129.75071694011802,124.88007171584007,132.06914230926617,120.78820534733404,120.12920911831425,123.29220266342037,2158.251061786335,202.43844124327342,160.56043144281566,155.803148755406,140.22058155824013,148.66297316620285,134.134439845032,133.93153167553774,135.09758085542765,196.71216126547768,222.98841664425183,180.06121391214924,174.37418298562272,154.33317833899608,166.52925345848973,148.95470616086106,143.17963757673445,141.2332262207656,18.488452502714267,10.522487007393202,19.424819461532984,22.50269631070693,23.63401448366944,24.69712489009103,22.181753913136614,20.793761360397408,17.927152183074984,21.189228287459418,12.101790465521823,22.2246585592074,30.924591277319163,27.0287870054827,28.243375947212662,31.26203618892276,32.65861915461242,31.2912264484505,-6.3551840604722045,-7.28598528067988,-14.458016331605538,-39.57286585746395,-29.5621094983323,-19.36453275610625,-45.64863277415696,-54.282550388272455,-61.971543885065806,94.95992439,90.1482290069183,117.38142694412906,75.68131954,50.53507990160744,78.03489659188648,97.3484241,113.13467458659757,140.9772867527495
30.197460680000002,23.50966148,27.67247527,20.77994752,19.17624057,16.68537658,22.48601875,21.59886171,25.96640405,30.195002055528906,23.506539744738934,27.667959364064224,20.778802528252406,19.173614976800582,16.682668789661587,22.484090808378483,21.597216928279266,25.964338053732643,50.6103783901799,43.92191607938993,48.08333569871522,41.1941788629034,39.58899131145158,37.098045124312584,42.89946714302948,42.01259326293026,46.37971438838363,2.814676307,170.33899317323227,168.54321643636155,146.58242721707725,129.45484647617474,124.2968876726176,131.25831793608813,120.42955661796837,119.84902333544666,122.90343025931776,2156.2634281685937,202.2685582749633,160.38599316155953,155.20210837734976,138.88663805352317,146.8416317878139,133.23323663814682,133.24923209843726,134.5012952720937,196.74118425171707,222.844042563495,180.18211241728602,173.7681443762809,153.3512802427755,164.86804896315843,148.0670081029869,142.578959290732,140.88060337025254,14.404923526748865,10.468963996172754,15.142681475764439,25.820236379872874,27.146388193906336,24.700641221085007,25.94708234217558,23.88004334616977,17.92755140591314,21.23491009173478,12.083180517114021,18.96167480979871,30.865538453918262,31.043482956515977,28.245701131519834,31.196389693522224,32.60316264478807,31.291829703007302,-6.358807696205784,-7.286380440007837,-14.458147290991342,-39.5726966852051,-29.562006469492022,-19.36465165476974,-45.648406922418204,-54.2828930611805,-61.903544058337864,94.95992439,89.47153175444154,116.7047296916523,75.68131954,50.243409388310205,77.74322607858925,97.3484241,114.15130233294464,141.99391449909658
30.197460680000002,23.50966148,27.67247527,20.77994752,19.17624057,16.68537658,22.48601875,21.59886171,25.96640405,30.194549433923562,23.50641822206225,27.667839686916064,20.77878064647815,19.17357702536159,16.68258681613435,22.48402054018556,21.59716459091449,25.96417286165901,50.60992576857456,43.921794556713245,48.08321602156706,41.19415698112914,39.58895336001258,37.09796315078535,42.89939687483656,42.01254092556548,46.37954919631001,2.814676307,170.3069090390408,168.49765904886158,146.55269525399098,129.43464955471424,124.26762931471816,131.1864185743658,120.39344627049222,119.81892739876714,122.84539602276665,2156.3726586009166,202.08836664622066,160.19264916067326,155.0719263931043,138.7441009601268,146.71776049422454,133.13760863586973,133.11383365693567,134.38984918415886,196.68465566595916,222.8336850968502,180.11775250179707,173.6934074797549,153.23993523711965,164.77354909089595,147.9906910525271,142.54033021495582,140.82301267780483,14.392074706002768,10.493243890600045,15.121299874777375,25.847335957936885,27.179271934605122,24.70202240346293,26.02152592695236,23.926453429827387,17.92754988231318,21.21511765981545,12.081541793353198,18.94459869590338,30.865541798645523,31.062541929172102,28.246320759863845,31.1992837680634,32.60196045947005,31.292133593350854,-6.355165140588591,-7.286056732667307,-14.45800354328817,-39.572739025579175,-29.56200731820562,-19.364505631457437,-45.64847640225728,-54.282542683598045,-62.043312724593534,94.95992439,89.44223819610453,116.67543613331529,75.68131954,50.17170467894143,77.67152136922047,97.3484241,114.21722485275559,142.05983701890753
30.197460680000002,23.50966148,27.67247527,20.77994752,19.17624057,16.68537658,22.48601875,21.59886171,25.96640405,30.19461213338145,23.50645518974034,27.667859326313025,20.7787835104975,19.173591607717295,16.682597764879933,22.48403499721438,21.597177018776446,25.964193129564435,50.60998846803245,43.92183152439133,48.08323566096402,41.19415984514849,39.58896794236829,37.09797409953093,42.89941133186537,42.01255335342744,46.37956946421543,2.814676307,170.4515228961287,168.90709908064508,146.58475598720085,129.5250018511544,124.18692353389166,131.06246788983884,120.51508186865641,119.88814050934404,122.90421393029018,2157.0299761958418,202.9692689657651,160.48058296410588,155.1493438426608,138.6059866057236,145.73251953057962,133.17558383296048,133.35000414141783,134.50718743486254,196.6960663794651,223.40370251881527,180.20841474728886,173.8652672586289,153.27076011463825,164.11727481236736,147.98361553818205,142.60171942250548,140.97241199478825,14.390472110249117,10.332921050115534,15.121969722693446,26.976416486664505,29.55983928639071,24.7018516231792,27.287311662142926,25.88138274447812,17.92810775730779,21.21005642466001,12.032213806055273,18.93746613021351,30.852339012141098,31.088198524410547,28.246427819824472,31.209054914647457,32.56680564662443,31.293076356935416,-6.353726388716854,-7.2859142787319495,-14.45796989628213,-39.57275410936818,-29.56201380359988,-19.364443489955068,-45.64844000933936,-54.28233645850477,-62.05593939778733,94.95992439,89.27468671849155,116.50788465570233,75.68131954,50.204202543095285,77.70401923337432,97.3484241,114.4301029797089,142.27271514586084
30.197460680000002,23.50966148,27.67247527,20.77994752,19.17624057,16.68537658,22.48601875,21.59886171,25.96640405,30.19500642170794,23.506586533380446,27.66797286701954,20.778796392725756,19.173628013779023,16.68263772145405,22.48410737970311,21.597221222101957,25.964356685107166,50.61038275635893,43.921962868031436,48.08334920167053,41.19417272737675,39.58900434843002,37.09801405610504,42.899483714354105,42.01259755675296,46.37973301975816,2.814676307,170.1045108785063,172.4892205708061,146.43360137504712,129.34262161714065,124.06877407492068,130.71698122081003,120.32148204386941,119.75682130556692,122.69353846263517,2156.348987977918,212.57581891060298,159.97255269539585,154.82652659031515,138.3001444692411,145.16805036249988,132.84735919378713,133.0002546977246,134.06250768733779,196.38565637570406,227.3307542931168,179.88066061853405,173.45980549149195,152.97712243288927,163.4500942881152,147.60659915369445,142.31278939589737,140.5572157655412,14.393495911714334,0.18413896449019715,15.129416025156708,26.97216733628186,30.34944519461117,24.700984939052837,27.96045512996749,26.619549968865275,27.197171051637913,21.214984648020327,11.11257552082424,18.932906620729895,30.849336437034346,31.097006158563296,28.24651556654366,31.971627630926495,32.55390788790157,31.128815365178127,-6.357478727445289,-7.286314670462068,-14.458101099984892,-39.57255049794678,-29.561893689742192,-19.36448050656902,-45.64810890167143,-54.28184550674624,-61.87801776086297,94.95992439,89.2337266590452,116.46692459625596,75.68131954,49.955418116682026,77.45523480696106,97.3484241,114.57736897703698,142.41998114318892
30.197460680000002,23.50966148,27.67247527,20.77994752,19.17624057,16.68537658,22.48601875,21.59886171,25.96640405,30.19456348115375,23.506404581588942,27.667844283711784,20.77877876576436,19.17362552192692,16.682613177416787,22.484023618691392,21.597170004374323,25.964165849799308,50.60993981580474,43.92178091623994,48.08322061836278,41.19415510041536,39.589001856577916,37.097989512067784,42.89939995334239,42.01254633902532,46.3795421844503,2.814676307,311.84476196253115,227.1849051148506,194.90289139459884,109.23101839849595,233.79902502626254,79.08297617006706,143.9599160566263,140.5894501396602,158.309281697143,2199.5193784734724,496.5722307463852,369.5029388842802,176.83034288090025,344.1516977302699,87.57450432722973,254.9331016236991,200.6842035079595,214.67312811223323,448.8182903811076,273.0888691518482,341.71158160102834,151.58913179882052,207.40448761108775,120.44104701433974,212.75824557690657,182.80361002571934,172.94754318505142,14.397591466391944,0.04074668625472936,15.142777957640144,26.981072111294793,339.5956355662399,283.2373380506059,27.97260921850342,29.051235278477563,27.717504759799727,21.220080046387,11.119395875919421,18.928495173298053,30.85435132871923,34.12823366094544,30.780473482480197,31.97380793200574,33.22599040854731,31.701558965086036,-6.353924171202745,-7.286004748266318,-14.457962251962932,-39.572636785879496,-29.56067903254043,-19.36384203430469,-45.64833979276579,-54.2791953770881,-62.82150516817196,94.95992439,182.5429019626811,209.77609989989188,75.68131954,5620.0100743056055,5647.509890995883,97.3484241,-2076.7439755274845,-2048.9013633613326
30.197460680000002,23.50966148,27.67247527,20.77994752,19.17624057,16.68537658,22.48601875,21.59886171,25.96640405,30.19463066072635,23.506453962215055,27.66786580458386,20.778781771624985,19.173592920611902,16.68260434576403,22.48403950032926,21.597178328543375,25.96416419506649,50.61000699537735,43.92183029686605,48.083242139234855,41.194158106275985,39.588969255262896,37.09798068041503,42.89941583498025,42.01255466319437,46.37954052971749,2.814676307,170.22686137068277,172.89003805308516,146.33346615002156,129.3954712734191,124.0985263572885,130.95957678393216,120.45291022238393,119.83014508967429,122.76897425002643,2157.5508304845393,213.13765968579983,159.94636336740675,154.79380278057943,138.29546612222066,145.5223713983809,133.06376590462943,133.1441564489887,134.15237713089937,196.25724860540893,227.9056181413679,179.7678780756614,173.54834124452333,153.03013799288357,163.96764153618565,147.8187472897263,142.38056873670652,140.64529683491347,16.080577778534813,0.033457187877180244,16.910787679431575,27.63269413635402,29.616691007954635,24.730064376821243,27.291270794429035,28.703381087334705,27.87916057566513,21.1932913070161,11.130411741782869,19.34524489187704,31.598490686605302,31.090771624109518,28.24608646220021,31.210781732201248,32.82714450021766,31.885390651680826,-6.352259273797087,-7.285839770619164,-14.457924672701362,-39.57265332828357,-29.561931440317643,-19.36431570208753,-45.648255279059946,-54.28223098679915,-62.0663543384608,94.95992439,89.28506360913755,116.51826154634833,75.68131954,50.002397859996,77.50221455027504,97.3484241,114.49102720759005,142.333639373742
30.197460680000002,23.50966148,27.67247527,20.77994752,19.17624057,16.68537658,22.48601875,21.59886171,25.96640405,30.19500279786773,23.506515491248464,27.667977151366035,20.778799734496182,19.1736275772371,16.6826777535499,22.484115662766225,21.59721212631995,25.964356170128305,50.61037913251872,43.921891825899465,48.083353486017025,41.194176069147176,39.58900391188809,37.0980540882009,42.899491997417215,42.012588460970946,46.379732504779305,2.814676307,169.87178132726694,172.31097260593197,146.25870368395005,129.31075581953948,124.08851492403367,130.9328844958257,120.32959022081295,119.77296253211226,122.7687185395645,2157.375705789242,212.54836482896377,159.58251476371916,154.66494568021977,138.2589806100567,146.11161539565373,132.93341329385115,132.94812124613958,134.1380289618543,195.83930295132674,227.06530720148135,179.55261150719448,173.34740325336423,152.90298038662013,164.25369300660253,147.7642602883501,142.23993406902844,140.58031805697146,17.8042062750191,0.09285651612723671,16.943305091228137,26.973309581329804,28.135130698976866,24.69559178622167,25.92860548633363,28.426796953048676,27.882523635852028,21.161459371830883,11.117205158493416,19.357042630371787,30.85209563873444,31.076473342928743,28.241628895470782,31.23589546401208,32.52331943771612,31.88748481848314,-6.355388162590845,-7.28618372496457,-14.458013204943217,-39.5724077371078,-29.561787496797322,-19.364300283632122,-45.64783059517985,-54.28044231386571,-61.951530145408114,94.95992439,89.43118229843785,116.66438023564862,75.68131954,49.831560355311865,77.3313770455909,97.3484241,114.35823590941548,142.20084807556742
30.197460680000002,23.50966148,27.67247527,20.77994752,19.17624057,16.68537658,22.48601875,21.59886171,25.96640405,30.194532356125087,23.50633105961726,27.667833038739985,20.77876749494329,19.17355949764115,16.682579051284126,22.484015263963375,21.59715593104808,25.964138475306815,50.60990869077608,43.92170739426825,48.08320937339098,41.19414382959429,39.588935832292144,37.09795538593512,42.89939159861437,42.01253226569908,46.37951480995781,2.814676307,170.38213503937092,172.49430038605936,146.6992216049603,129.6998692592813,124.06300111724023,131.08823199876392,120.2783880892475,119.70924501591236,122.68170609750487,2156.383342016231,212.56064684129052,160.25556265200677,155.5078860278124,138.2153887126549,146.62518029163394,132.85918379674519,132.73728417572477,133.99603712355704,196.81587093057016,227.37661057407968,180.3720048938493,174.50812673010591,152.7950312286953,164.6086485353684,147.88503438089592,142.1531933596347,140.52266823073188,14.375077096049248,0.04627847216961011,13.592579154719921,27.638281656226187,27.320694288588385,16.667830273452395,25.20231220364569,28.457242546020073,27.885571205369356,21.170091782410346,11.115035348541083,18.941760449289767,31.60379619984522,31.068601167538272,27.694266494027197,31.249889394488942,32.545557667883,31.88876357102929,-6.352071889749683,-7.2858941381495175,-14.457898499872417,-39.572615367812766,-29.561881884170457,-19.364401283155008,-45.648206875598774,-54.28144456462274,-62.17388962703244,94.95992439,89.33641534746452,116.56961328467528,75.68131954,50.37265841661695,77.87247510689599,97.3484241,114.28475236267042,142.12736452882234
