commodity,zone,component_id,component_type,variable,segment,time,value
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,74,0.00033254658135552836
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,75,0.0003413993146378953
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,76,0.0003435785421400589
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,77,0.0003419338775032448
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,78,0.0003375149097502218
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,79,0.00033189450130537146
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,80,0.00031845129289967666
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,81,0.00029990217795086965
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,82,0.0002961414653671925
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,83,0.00029823099000263935
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,84,0.00030251328310750583
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,85,0.0003016233348751428
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,86,0.0003004782579774761
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,87,0.0003000841446928202
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,88,0.00030066336552917757
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,89,0.00029981826548165433
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,90,0.0002977600255483694
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,91,0.00029469100852641414
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,92,0.0002918418363728658
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,93,0.00029506320346897407
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,94,0.0003024274399498452
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,95,0.0003053541685633928
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,96,0.0003131145400989577
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,97,0.00032314986988932367
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,98,0.00033264820092302556
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,99,0.00034115984362226434
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,100,0.00034402406843947876
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,101,0.0003421397208274214
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,102,0.00033725505360272784
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,103,0.00033146676284784933
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,104,0.00031800789187606045
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,105,0.0002997719096014223
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,106,0.00029628453466017254
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,107,0.00029831426256575526
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,108,0.0003023398342272644
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,109,0.0003017582963377452
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,110,0.0003008075834673198
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,111,0.00030044746633668413
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,112,0.0003006276835782215
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,113,0.0002995706405134113
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,114,0.000297749764027747
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,115,0.00029480918897272195
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,116,0.00029190791004497373
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,117,0.0002950849334621951
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,118,0.0003023821474108767
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,119,0.00030548700642308126
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,120,0.0003132869375875276
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,121,0.0003225676275028101
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,122,0.00033177266611077974
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,123,0.00034141749265365507
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,124,0.0003444428085981638
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,125,0.0003432559848143639
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,126,0.0003388308656843939
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,127,0.00033332928817101694
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,128,0.000320325572655212
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,129,0.00030121897296147616
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,130,0.0002971070123269172
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,131,0.00029888870349992864
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,132,0.00030203167939318366
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,133,0.00030118850651139004
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,134,0.00029969957315949513
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,135,0.00029941908973308304
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,136,0.00030022358348943734
