commodity,zone,resource_id,component_id,resource_type,component_type,variable,time,value
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,41,0.2756383969255012
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,42,0.214448131998779
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,43,0.06784541180024917
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,44,0.06911697460077448
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,45,0.0687246413824596
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,46,0.0677609415530469
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,47,0.06737927615120043
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,48,0.06886288820351183
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,49,0.0811279849795028
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,50,0.12530682827389228
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,51,0.1279335841146576
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,52,0.12875481709090764
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,53,0.12593193889347276
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,54,0.09732502721863057
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,55,0.06614119626101456
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,56,0.0637549268907378
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,57,0.0613358950942029
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,58,0.06176356860055421
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,59,0.06232340370320344
