zone,category,value
NCEN_Bio_H2_CCS_99_Herb_transforms_co2_sink,VariableOM,608.2126420783819
co2_sink_CEN_Bio_H2_CCS_99_Herb_transforms,VariableOM,31216.24089473119
CEN_Bio_H2_CCS_99_Herb_transforms_co2_sink,VariableOM,754.9800944320458
co2_sink_SE_Bio_H2_CCS_99_Herb_transforms,VariableOM,27436.030970289943
SE_Bio_H2_CCS_99_Herb_transforms_co2_sink,VariableOM,664.9138876679341
co2_sink_MIDAT_Bio_H2_CCS_99_Herb_transforms,VariableOM,16129.919359071053
MIDAT_Bio_H2_CCS_99_Herb_transforms_co2_sink,VariableOM,388.39656473279797
co2_sink_NE_Bio_H2_CCS_99_Herb_transforms,VariableOM,14393.90720592675
NE_Bio_H2_CCS_99_Herb_transforms_co2_sink,VariableOM,345.549457008346
co2_sink_CA_Bio_H2_CCS_99_Wood_transforms,VariableOM,18333.60200347575
CA_Bio_H2_CCS_99_Wood_transforms_co2_sink,VariableOM,426.4736032837883
co2_sink_NW_Bio_H2_CCS_99_Wood_transforms,VariableOM,14655.788050190333
NW_Bio_H2_CCS_99_Wood_transforms_co2_sink,VariableOM,343.59358378455704
co2_sink_SW_Bio_H2_CCS_99_Wood_transforms,VariableOM,17269.81753468707
SW_Bio_H2_CCS_99_Wood_transforms_co2_sink,VariableOM,407.46011722787625
co2_sink_TX_Bio_H2_CCS_99_Wood_transforms,VariableOM,17107.715525423097
TX_Bio_H2_CCS_99_Wood_transforms_co2_sink,VariableOM,400.69820909250507
co2_sink_NCEN_Bio_H2_CCS_99_Wood_transforms,VariableOM,18621.87067864308
NCEN_Bio_H2_CCS_99_Wood_transforms_co2_sink,VariableOM,438.79823706742513
co2_sink_CEN_Bio_H2_CCS_99_Wood_transforms,VariableOM,19289.480605366243
CEN_Bio_H2_CCS_99_Wood_transforms_co2_sink,VariableOM,454.52952765311306
co2_sink_SE_Bio_H2_CCS_99_Wood_transforms,VariableOM,20628.280708542505
SE_Bio_H2_CCS_99_Wood_transforms_co2_sink,VariableOM,483.1571535245079
co2_sink_MIDAT_Bio_H2_CCS_99_Wood_transforms,VariableOM,18805.74144960083
MIDAT_Bio_H2_CCS_99_Wood_transforms_co2_sink,VariableOM,442.5659468292127
co2_sink_NE_Bio_H2_CCS_99_Wood_transforms,VariableOM,14925.7112049416
NE_Bio_H2_CCS_99_Wood_transforms_co2_sink,VariableOM,349.04257882666235
co2_sink_CA_Bio_H2_CCS_99_Agri_transforms,VariableOM,17814.732005891525
CA_Bio_H2_CCS_99_Agri_transforms_co2_sink,VariableOM,431.4460710872201
