Time_Index,None,NE_reference_uranium,SE_reference_uranium,TX_reference_uranium,CA_reference_uranium,NW_reference_uranium,SW_reference_uranium,NCEN_reference_uranium,CEN_reference_uranium,MIDAT_reference_uranium,,NE_reference_uranium,SE_reference_uranium,TX_reference_uranium,CA_reference_uranium,NW_reference_uranium,SW_reference_uranium,NCEN_reference_uranium,CEN_reference_uranium,MIDAT_reference_uranium,,Assumptions,,
24,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
25,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
26,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
27,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
28,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
29,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
30,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
31,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
32,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
33,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
34,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
35,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
36,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
37,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
38,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
39,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
40,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
41,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
42,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
43,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
44,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
45,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
46,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
47,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
48,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
49,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
50,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
51,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
52,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
53,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
54,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
55,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
56,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
57,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
58,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
59,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
60,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
61,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
62,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
63,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
64,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
65,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
66,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
67,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
68,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
69,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
70,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
