case_name,commodity,commodity_subtype,zone,resource_id,component_id,type,variable,year,value
missing,all,cost,all,all,all,Cost,DiscountedFixedCost,missing,2.282035126672898e7
missing,all,cost,all,all,all,Cost,DiscountedVariableCost,missing,2.4925262592043392e7
missing,all,cost,all,all,all,Cost,DiscountedTotalCost,missing,4.774561385877237e7
