case_name,commodity,commodity_subtype,zone,resource_id,component_id,type,variable,year,value
missing,all,cost,all,all,all,Cost,DiscountedFixedCost,missing,1.1649086469542812e11
missing,all,cost,all,all,all,Cost,DiscountedVariableCost,missing,9.096786358454427e10
missing,all,cost,all,all,all,Cost,DiscountedTotalCost,missing,2.0745872827997238e11
