natgas_SE,natgas_MIDAT,natgas_NE,natgas_demand_SE,natgas_demand_MIDAT,natgas_demand_NE,ethylene_demand_SE,ethylene_demand_MIDAT,ethylene_demand_NE,ethane_SE,ethane_MIDAT,ethane_NE,ethylene_SE,ethylene_MIDAT,ethylene_NE,biowood_SE,biowood_MIDAT,biowood_NE,bioherb_SE,bioherb_MIDAT,bioherb_NE,elec_SE,elec_MIDAT,elec_NE,h2_SE,h2_MIDAT,h2_NE,co2_captured_SE,co2_captured_MIDAT,co2_captured_NE,gasoline_SE,gasoline_MIDAT,gasoline_NE,gasoline_demand_SE,gasoline_demand_MIDAT,gasoline_demand_NE,jetfuel_SE,jetfuel_MIDAT,jetfuel_NE,jetfuel_demand_SE,jetfuel_demand_MIDAT,jetfuel_demand_NE,diesel_SE,diesel_MIDAT,diesel_NE,diesel_demand_SE,diesel_demand_MIDAT,diesel_demand_NE
-24.0104304288173,-26.64191787347232,-30.474593307312063,52.65952353626474,50.02803609160972,46.19536065776998,84579.0637933421,84347.93980809087,84368.38373619318,73.46474602,73.46474602,73.46474602,83249.34270969061,83018.21872443937,83038.6626525417,176.16057555815252,192.65152992638377,179.07904647407835,176.16057555815252,192.6515299263838,179.07904647407835,119.67281033628105,51.35265574946144,48.92027276230523,54.52371465723288,51.11694322669994,44.529471762141405,-295.82548997152486,-282.2130889996484,-289.758697167672,-87.70703682814893,-87.70703682814893,-87.70703682814893,14.4521609669296,14.4521609669296,14.4521609669296,-158.97332751185243,-158.97332751185243,-158.97332751185243,-54.64667842172927,-54.64667842172927,-54.64667842172927,83.29037731,83.29037731,83.29037731,190.36246467894784,190.36246467894784,190.36246467894784
-24.0104304288173,-26.64191787347232,-32.76366617066849,52.65952353626474,50.02803609160972,43.90628779441355,11192.3051929896,10961.181207738373,10981.62513584069,73.46474602,73.46474602,73.46474602,9862.584109338117,9631.46012408689,9651.904052189208,176.16057555815252,192.6515299263838,166.37510902088744,176.16057555815252,192.6515299263838,166.37510902088744,119.67281033628105,51.35265574946144,48.92027276230523,54.52371465723288,51.11694322669994,44.529471762141405,-295.82548997152486,-282.2130889996484,-303.13800090606486,-87.70703682814893,-87.70703682814893,-87.70703682814893,14.4521609669296,14.4521609669296,14.4521609669296,-151.43476598904923,-151.43476598904923,-151.43476598904923,-47.10811689892605,-47.10811689892605,-47.10811689892605,83.29037731,83.29037731,83.29037731,190.36246467894784,190.36246467894784,190.36246467894784
-24.0104304288173,-26.64191787347232,-25.10088971895788,52.65952353626474,50.02803609160972,51.569064246124164,11192.3051929896,10961.181207738373,10981.62513584069,73.46474602,73.46474602,73.46474602,9862.584109338117,9631.46012408689,9651.904052189208,176.16057555815252,192.6515299263838,209.50703459750284,176.16057555815252,192.6515299263838,209.50703459750284,119.67281033628105,51.35265574946144,48.92027276230523,54.52371465723288,51.11694322669994,44.529471762141405,-295.82548997152486,-282.2130889996484,-257.0814764339518,-83.48183276024483,-83.48183276024483,-83.48183276024483,18.67736503483371,18.67736503483371,18.67736503483371,69.30059661,69.30059661,69.30059661,173.62724570012315,173.62724570012315,173.62724570012315,83.29037731,83.29037731,83.29037731,190.36246467894784,190.36246467894784,190.36246467894784
-24.0104304288173,-26.64191787347232,-24.862421236400806,52.65952353626474,50.02803609160972,51.80753272868123,11192.3051929896,10961.181207738373,10981.62513584069,73.46474602,73.46474602,73.46474602,9862.584109338117,9631.46012408689,9651.904052189208,176.16057555815252,192.6515299263838,210.22557925017387,176.16057555815252,192.6515299263838,210.22557925017387,119.67281033628105,51.35265574946144,48.92027276230523,54.52371465723288,51.11694322669994,44.529471762141405,-295.82548997152486,-282.2130889996484,-256.95635348921473,-58.068049195374584,-58.068049195374584,-58.068049195374584,44.09114859970395,44.09114859970395,44.09114859970395,69.30059661,69.30059661,69.30059661,173.62724570012315,173.62724570012315,173.62724570012315,83.29037731,83.29037731,83.29037731,190.36246467894784,190.36246467894784,190.36246467894784
-24.0104304288173,-26.64191787347232,-31.41027310991325,52.65952353626474,50.02803609160972,45.259680855168796,11192.3051929896,10961.181207738373,10961.790314465929,73.46474602,73.46474602,73.46474602,9862.584109338117,9631.46012408689,9632.069230814446,176.16057555815252,192.6515299263838,200.7898088275293,176.16057555815252,192.6515299263838,200.7898088275293,119.67281033628105,51.35265574946144,28.033809794317246,54.52371465723288,51.11694322669994,32.02643921666098,-295.82548997152486,-282.2130889996484,-249.87627591571598,-87.70703682814893,-87.70703682814893,-87.70703682814893,14.4521609669296,14.4521609669296,14.4521609669296,-57.01074165814308,-57.01074165814308,-57.01074165814308,47.31590743198009,47.31590743198009,47.31590743198009,83.29037731,83.29037731,83.29037731,190.36246467894784,190.36246467894784,190.36246467894784
-24.0104304288173,-64.34032937346551,-53.555258999517555,52.65952353626474,12.329624591616538,23.114694965564485,11192.3051929896,10871.921463452789,10859.511501731035,73.46474602,73.46474602,73.46474602,9862.584109338117,9542.200379801305,9529.790418079552,176.16057555815252,101.4731473094815,139.5460742013712,176.16057555815252,101.4731473094815,139.5460742013712,119.67281033628105,0.0,0.0,54.52371465723288,29.508107293125175,32.306777314604155,-295.82548997152486,-282.2130889996484,-264.8601416435761,-87.70703682814893,-87.70703682814893,-87.70703682814893,14.4521609669296,14.4521609669296,14.4521609669296,69.30059661,69.30059661,69.30059661,173.62724570012315,173.62724570012315,173.62724570012315,83.29037731,83.29037731,83.29037731,190.36246467894784,190.36246467894784,190.36246467894784
-20.69096923783478,-39.98541812799194,-81.20923812049612,55.978984727247266,36.684535837090095,-4.539284155414091,10936.646746664253,10871.921463452789,10871.921463452789,73.46474602,73.46474602,73.46474602,9606.925663012771,9542.200379801305,9542.200379801305,211.25014439022507,168.76552353161247,80.00000000000001,211.25014439022507,168.76552353161247,79.99999999999999,45.235392428618844,0.0,0.0,51.67790452622107,29.508107293125175,29.508107293125175,-280.9342326121649,-282.2130889996484,-229.4960611693702,83.87044139,83.87044139,83.87044139,186.02963918507854,186.02963918507854,186.02963918507854,69.30059661,69.30059661,69.30059661,173.62724570012315,173.62724570012315,173.62724570012315,83.29037731,83.29037731,83.29037731,190.36246467894784,190.36246467894784,190.36246467894784
-20.69096923783478,-55.70755153290961,-53.555258999517555,55.978984727247266,20.96240243217242,23.114694965564485,10936.646746664253,10871.921463452789,10859.511501731035,73.46474602,73.46474602,73.46474602,9606.925663012771,9542.200379801305,9529.790418079552,211.25014439022507,125.32542615515901,113.02879613568791,211.25014439022507,125.32542615515901,113.02879613568791,45.235392428618844,0.0,0.0,51.67790452622107,29.508107293125175,32.306777314604155,-280.9342326121649,-282.2130889996484,-320.4752382578448,-79.584286886885,-79.584286886885,-79.584286886885,22.574910908193537,22.574910908193537,22.574910908193537,-108.33051956995985,-108.33051956995985,-108.33051956995985,-4.003870479836676,-4.003870479836676,-4.003870479836676,83.29037731,83.29037731,83.29037731,190.36246467894784,190.36246467894784,190.36246467894784
-20.915504397253716,-56.3831231927023,-53.555258999517555,55.754449567828324,20.286830772379734,23.114694965564485,10936.646746664253,10871.921463452789,10859.511501731035,73.46474602,73.46474602,73.46474602,9606.925663012771,9542.200379801305,9529.790418079552,210.57358312557878,123.4588284148684,158.4166611512903,210.57358312557878,123.4588284148684,158.4166611512903,45.235392428618844,0.0,0.0,51.67790452622107,29.508107293125175,32.306777314604155,-281.0520448280277,-282.2130889996484,-225.28256834257132,-79.84703439562122,-79.84703439562122,-79.84703439562122,22.312163399457305,22.312163399457305,22.312163399457305,-145.65541532067044,-145.65541532067044,-145.65541532067044,-41.32876623054728,-41.32876623054728,-41.32876623054728,83.29037731,83.29037731,83.29037731,190.36246467894784,190.36246467894784,190.36246467894784
-20.69096923783478,-56.394425402488324,-46.503457559799195,55.978984727247266,20.275528562593717,30.166496405282846,10936.646746664253,10871.921463452789,10859.511501731035,73.46474602,73.46474602,73.46474602,9606.925663012771,9542.200379801305,9529.790418079552,211.25014439022507,123.42760052225174,179.66489555893196,211.25014439022507,123.42760052225174,179.66489555893196,45.235392428618844,0.0,0.0,51.67790452622107,29.508107293125175,32.306777314604155,-280.9342326121649,-282.2130889996484,-221.58253153947936,-79.584286886885,-79.584286886885,-79.584286886885,22.574910908193537,22.574910908193537,22.574910908193537,69.30059661,69.30059661,69.30059661,173.62724570012315,173.62724570012315,173.62724570012315,83.29037731,83.29037731,83.29037731,190.36246467894784,190.36246467894784,190.36246467894784
-20.69096923783478,-56.810290211564926,-35.789775678036165,55.978984727247266,19.859663753517115,40.88017828704588,10936.646746664253,10878.279774220906,10871.921463452789,73.46474602,73.46474602,73.46474602,9606.925663012771,9548.558690569424,9542.200379801305,211.25014439022507,122.27857021342118,183.50742993643001,211.25014439022507,122.27857021342118,183.50742993643001,45.235392428618844,0.0,0.0,51.67790452622107,28.07419362497988,29.508107293125175,-280.9342326121649,-282.2130889996484,-275.60782836203475,-79.584286886885,-79.584286886885,-79.584286886885,22.574910908193537,22.574910908193537,22.574910908193537,-145.32737677151374,-145.32737677151374,-145.32737677151374,-41.000727681390565,-41.000727681390565,-41.000727681390565,83.29037731,83.29037731,83.29037731,190.36246467894784,190.36246467894784,190.36246467894784
-20.69096923783478,-72.11203586153876,-53.55525899951758,55.978984727247266,4.557918103543286,23.11469496556446,10936.646746664253,10871.921463452789,10859.511501731035,73.46474602,73.46474602,73.46474602,9606.925663012771,9542.200379801305,9529.790418079552,211.25014439022507,79.99999999999999,112.22896817196262,211.25014439022507,79.99999999999999,112.22896817196262,45.235392428618844,0.0,0.0,51.67790452622107,29.508107293125175,32.306777314604155,-280.9342326121649,-282.2130889996484,-322.15272979250335,-79.584286886885,-79.584286886885,-79.584286886885,22.574910908193537,22.574910908193537,22.574910908193537,-145.32737677151374,-145.32737677151374,-145.32737677151374,-41.000727681390565,-41.000727681390565,-41.000727681390565,83.29037731,83.29037731,83.29037731,190.36246467894784,190.36246467894784,190.36246467894784
-20.69096923783478,-72.11203586153876,-61.588024891962554,55.978984727247266,4.557918103543286,15.081929073119488,10936.646746664253,10871.921463452789,10859.511501731035,73.46474602,73.46474602,73.46474602,9606.925663012771,9542.200379801305,9529.790418079552,211.25014439022507,79.99999999999999,79.99999999999999,211.25014439022507,79.99999999999999,79.99999999999997,46.14010027719123,0.0,0.0,51.67790452622107,29.508107293125175,32.306777314604155,-280.9342326121649,-282.2130889996484,-343.19827580507905,-79.584286886885,-79.584286886885,-79.584286886885,22.574910908193537,22.574910908193537,22.574910908193537,-145.32737677151374,-145.32737677151374,-145.32737677151374,-41.000727681390565,-41.000727681390565,-41.000727681390565,83.29037731,83.29037731,83.29037731,190.36246467894784,190.36246467894784,190.36246467894784
