,commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight,zone,weighted_value_flow,value
24,Electricity,flow,SE_naturalgas_ccavgcf_moderate_0_transforms,elec_SE,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ccavgcf_moderate_0_elec_edge,ThermalPower{NaturalGas},flow,504,0.0,,SE,0.0,
25,Electricity,flow,SE_naturalgas_ccccsavgcf_conservative_0_transforms,elec_SE,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccccsavgcf_conservative_0_elec_edge,ThermalPowerCCS{NaturalGas},flow,504,-6.773498434270017e-11,,SE,-6.773498434270017e-11,
26,Electricity,flow,SE_naturalgas_ctavgcf_moderate_0_transforms,elec_SE,SE_naturalgas_ctavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0_elec_edge,ThermalPower{NaturalGas},flow,504,0.0,,SE,0.0,
27,Electricity,flow,SE_nuclear_1_transforms,elec_SE,SE_nuclear_1,SE_nuclear_1_elec_edge,ThermalPower{Uranium},flow,504,267542028.21647996,,SE,267542028.21647996,
28,Electricity,flow,SE_nuclear_2_transforms,elec_SE,SE_nuclear_2,SE_nuclear_2_elec_edge,ThermalPower{Uranium},flow,504,18093530.16836542,,SE,18093530.16836542,
29,Electricity,flow,SE_nuclear_mid_0_transforms,elec_SE,SE_nuclear_mid_0,SE_nuclear_mid_0_elec_edge,ThermalPower{Uranium},flow,504,0.0,,SE,0.0,
30,Electricity,flow,SE_small_hydroelectric_1_transforms,elec_SE,SE_small_hydroelectric_1,SE_small_hydroelectric_1_elec_edge,MustRun,flow,504,553695.3030814632,,SE,553695.3030814632,
31,Electricity,flow,SE_utilitypv_class1_moderate_70_0_2_1_transforms,elec_SE,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_1_edge,VRE,flow,504,273732229.6354198,,SE,273732229.6354198,
32,Electricity,flow,SE_utilitypv_class1_moderate_70_0_2_2_transforms,elec_SE,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_2_edge,VRE,flow,504,0.0,,SE,0.0,
33,Electricity,flow,SE_utilitypv_class1_moderate_70_0_2_3_transforms,elec_SE,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_3_edge,VRE,flow,504,0.0,,SE,0.0,
34,Electricity,flow,SE_utilitypv_class1_moderate_70_0_2_4_transforms,elec_SE,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_4_edge,VRE,flow,504,0.0,,SE,0.0,
35,Electricity,flow,SE_utilitypv_class1_moderate_70_0_2_5_transforms,elec_SE,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_5_edge,VRE,flow,504,0.0,,SE,0.0,
36,Electricity,flow,SE_utilitypv_class1_moderate_70_0_2_6_transforms,elec_SE,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_6_edge,VRE,flow,504,0.0,,SE,0.0,
37,Electricity,flow,SE_utilitypv_class1_moderate_70_0_2_7_transforms,elec_SE,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_7_edge,VRE,flow,504,0.0,,SE,0.0,
38,Electricity,flow,SE_utilitypv_class1_moderate_70_0_2_8_transforms,elec_SE,SE_utilitypv_class1_moderate_70_0_2_8,SE_utilitypv_class1_moderate_70_0_2_8_edge,VRE,flow,504,0.0,,SE,0.0,
39,Electricity,flow,battery_SE_storage,elec_SE,battery_SE,battery_SE_discharge_edge,Battery,flow,504,788973.1977342487,,SE,788973.1977342487,
40,Electricity,flow,elec_SE,SE_ATR_wCCS_94pct_transforms,SE_ATR_wCCS_94pct,SE_ATR_wCCS_94pct_elec_edge,ThermalHydrogenCCS{NaturalGas},flow,504,0.0,,SE,-0.0,
41,Electricity,flow,elec_SE,SE_Above_ground_storage_transforms,SE_Above_ground_storage,SE_Above_ground_storage_charge_elec_edge,GasStorage{Hydrogen},flow,504,228539.79828529397,,SE,-228539.79828529397,
42,Electricity,flow,elec_SE,SE_Above_ground_storage_transforms,SE_Above_ground_storage,SE_Above_ground_storage_discharge_elec_edge,GasStorage{Hydrogen},flow,504,457079.596570588,,SE,-457079.596570588,
43,Electricity,flow,elec_SE,SE_BECCS_FT_Herb_transforms,SE_BECCS_FT_Herb,SE_BECCS_FT_Herb_elec_consumption_edge,BECCSLiquidFuels,flow,504,0.0,,SE,-0.0,
44,Electricity,flow,elec_SE,SE_BECCS_FT_Wood_transforms,SE_BECCS_FT_Wood,SE_BECCS_FT_Wood_elec_consumption_edge,BECCSLiquidFuels,flow,504,0.0,,SE,-0.0,
45,Electricity,flow,elec_SE,SE_BECCS_H2_Herb_transforms,SE_BECCS_H2_Herb,SE_BECCS_H2_Herb_elec_edge,BECCSHydrogen,flow,504,0.0,,SE,-0.0,
46,Electricity,flow,elec_SE,SE_BECCS_H2_Wood_transforms,SE_BECCS_H2_Wood,SE_BECCS_H2_Wood_elec_edge,BECCSHydrogen,flow,504,9436.230461702879,,SE,-9436.230461702879,
47,Electricity,flow,elec_SE,SE_BECCS_NaturalGas_Herb_transforms,SE_BECCS_NaturalGas_Herb,SE_BECCS_NaturalGas_Herb_elec_edge,BECCSNaturalGas,flow,504,0.0,,SE,-0.0,
48,Electricity,flow,elec_SE,SE_BECCS_NaturalGas_Wood_transforms,SE_BECCS_NaturalGas_Wood,SE_BECCS_NaturalGas_Wood_elec_edge,BECCSNaturalGas,flow,504,0.0,,SE,-0.0,
49,Electricity,flow,elec_SE,SE_Bio_FT_Herb_transforms,SE_Bio_FT_Herb,SE_Bio_FT_Herb_elec_consumption_edge,BECCSLiquidFuels,flow,504,9.624356871196987e-12,,SE,-9.624356871196987e-12,
50,Electricity,flow,elec_SE,SE_Bio_FT_Wood_transforms,SE_Bio_FT_Wood,SE_Bio_FT_Wood_elec_consumption_edge,BECCSLiquidFuels,flow,504,0.0,,SE,-0.0,
51,Electricity,flow,elec_SE,SE_Bio_Gasoline_Herb_transforms,SE_Bio_Gasoline_Herb,SE_Bio_Gasoline_Herb_elec_edge,BECCSGasoline,flow,504,0.0,,SE,-0.0,
52,Electricity,flow,elec_SE,SE_Bio_Gasoline_Wood_transforms,SE_Bio_Gasoline_Wood,SE_Bio_Gasoline_Wood_elec_edge,BECCSGasoline,flow,504,0.0,,SE,-0.0,
53,Electricity,flow,elec_SE,SE_Bio_NaturalGas_Herb_transforms,SE_Bio_NaturalGas_Herb,SE_Bio_NaturalGas_Herb_elec_edge,BECCSNaturalGas,flow,504,0.0,,SE,-0.0,
54,Electricity,flow,elec_SE,SE_Bio_NaturalGas_Wood_transforms,SE_Bio_NaturalGas_Wood,SE_Bio_NaturalGas_Wood_elec_edge,BECCSNaturalGas,flow,504,0.0,,SE,-0.0,
55,Electricity,flow,elec_SE,SE_ESC_transforms,SE_ESC,SE_ESC_elec_consumption_edge,SteamCracker,flow,504,266.8728176837913,,SE,-266.8728176837913,
56,Electricity,flow,elec_SE,SE_Electrolyzer_transforms,SE_Electrolyzer,SE_Electrolyzer_elec_edge,Electrolyzer,flow,504,105415468.45575066,,SE,-105415468.45575066,
