natgas_SE,natgas_MIDAT,natgas_NE,natgas_demand_SE,natgas_demand_MIDAT,natgas_demand_NE,bioherb_SE,bioherb_MIDAT,bioherb_NE,biowood_SE,biowood_MIDAT,biowood_NE,elec_SE,elec_MIDAT,elec_NE,h2_SE,h2_MIDAT,h2_NE,co2_captured_SE,co2_captured_MIDAT,co2_captured_NE,gasoline_SE,gasoline_MIDAT,gasoline_NE,gasoline_demand_SE,gasoline_demand_MIDAT,gasoline_demand_NE,jetfuel_SE,jetfuel_MIDAT,jetfuel_NE,jetfuel_demand_SE,jetfuel_demand_MIDAT,jetfuel_demand_NE,diesel_SE,diesel_MIDAT,diesel_NE,diesel_demand_SE,diesel_demand_MIDAT,diesel_demand_NE
12.55668122,12.21546705,15.01342319,12.55668122,12.21546705,15.01342319,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,29.100913880009717,24.519534552066535,29.73719330432003,32.05127796214368,22.618740653057657,30.47742123048692,-12.26,-15.879572390427589,6.435178237959679,34.441893329995736,36.71089885634424,32.840049051631354,34.441893329995736,36.71089885634424,32.840049051631354,72.71273824,69.30059661,76.12487988,72.71273824,69.30059661,76.12487988,90.11466058,86.70251895,83.29037731,90.11466058,86.70251895,83.29037731
12.55668122,12.21546705,15.01342319,12.55668122,12.21546705,15.01342319,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,25.786831479548738,24.519534552066535,29.73719330432003,19.000882745757007,21.88315461649566,30.47742123048692,-12.26,-15.879572390427589,5.904948979457459,83.87044139,90.69472466,37.92983475922936,83.87044139,90.69472466,37.92983475922936,72.71273824,69.30059661,76.12487988,72.71273824,69.30059661,76.12487988,90.11466058,86.70251895,83.29037731,90.11466058,86.70251895,83.29037731
12.55668122,12.21546705,15.01342319,12.55668122,12.21546705,15.01342319,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,25.155834412182788,24.519534552066535,29.73719330432003,19.76186774879615,21.88315461649566,30.47742123048692,-12.26,-15.879572390427589,21.990678802308608,34.441893329995736,36.71089885634424,70.39057244901815,34.441893329995736,36.71089885634424,70.39057244901815,72.71273824,69.30059661,76.12487988,72.71273824,69.30059661,76.12487988,90.11466058,86.70251895,83.29037731,90.11466058,86.70251895,83.29037731
12.55668122,12.21546705,15.01342319,12.55668122,12.21546705,15.01342319,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,25.155834412182788,24.519534552066535,29.73719330432003,18.990534329775326,21.88315461649566,30.47742123048692,-12.26,-15.879572390427589,6.435178237959753,83.87044139,90.69472466,32.84004905163154,83.87044139,90.69472466,32.84004905163154,72.71273824,69.30059661,76.12487988,72.71273824,69.30059661,76.12487988,90.11466058,86.70251895,83.29037731,90.11466058,86.70251895,83.29037731
12.55668122,12.21546705,15.01342319,12.55668122,12.21546705,15.01342319,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,25.155834412182788,24.519534552066535,29.73719330432003,19.745209362140805,30.194901696666392,29.58530543135732,-12.26,-15.879572390427589,36.69597662093257,34.441893329995736,36.71089885634424,87.28258303,34.441893329995736,36.71089885634424,87.28258303,72.71273824,69.30059661,76.12487988,72.71273824,69.30059661,76.12487988,90.11466058,86.70251895,83.29037731,90.11466058,86.70251895,83.29037731
12.55668122,12.21546705,15.01342319,12.55668122,12.21546705,15.01342319,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,25.155834412182788,20.75333404486912,19.770326332399666,18.990534329775326,29.496977665176367,29.684974101076524,-12.26,-15.879572390427589,-96.5527438070551,83.87044139,90.69472466,87.28258303,83.87044139,90.69472466,87.28258303,72.71273824,69.30059661,76.12487988,72.71273824,69.30059661,76.12487988,90.11466058,86.70251895,83.29037731,90.11466058,86.70251895,83.29037731
12.55668122,12.21546705,15.01342319,12.55668122,12.21546705,15.01342319,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,25.155834412182788,20.75333404486912,19.770326332399666,19.745209362140805,30.119577686522444,30.27808389104851,-12.26,-15.879572390427589,34.50603386647786,34.441893329995736,36.71089885634424,87.28258303,34.441893329995736,36.71089885634424,87.28258303,72.71273824,69.30059661,76.12487988,72.71273824,69.30059661,76.12487988,90.11466058,86.70251895,83.29037731,90.11466058,86.70251895,83.29037731
12.55668122,12.21546705,15.01342319,12.55668122,12.21546705,15.01342319,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,25.155834412182788,20.75333404486912,19.770326332399666,18.990534329775326,29.496977665176367,30.27808389104851,-12.26,-15.879572390427589,34.50603386647784,83.87044139,90.69472466,87.28258303,83.87044139,90.69472466,87.28258303,72.71273824,69.30059661,76.12487988,72.71273824,69.30059661,76.12487988,90.11466058,86.70251895,83.29037731,90.11466058,86.70251895,83.29037731
12.55668122,12.21546705,15.01342319,12.55668122,12.21546705,15.01342319,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,25.155834412182788,20.75333404486912,19.770326332399666,18.990534329775326,30.119577686522444,30.27808389104851,-12.26,-15.879572390427589,34.50603386647786,83.87044139,36.71089885634424,87.28258303,83.87044139,36.71089885634424,87.28258303,72.71273824,69.30059661,76.12487988,72.71273824,69.30059661,76.12487988,90.11466058,86.70251895,83.29037731,90.11466058,86.70251895,83.29037731
12.55668122,12.21546705,15.01342319,12.55668122,12.21546705,15.01342319,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,25.155834412182788,20.75333404486912,19.770326332399666,18.990534329775326,30.119577686522444,22.096763303934694,-12.26,-15.879572390427589,-96.5527438070551,83.87044139,36.71089885634424,87.28258303,83.87044139,36.71089885634424,87.28258303,72.71273824,69.30059661,76.12487988,72.71273824,69.30059661,76.12487988,90.11466058,86.70251895,83.29037731,90.11466058,86.70251895,83.29037731
