case_name,commodity,commodity_subtype,zone,resource_id,component_id,type,variable,year,value
missing,all,cost,all,all,all,Cost,FixedCost,missing,9.312921264216452e9
missing,all,cost,all,all,all,Cost,VariableCost,missing,2.2691770169386703e10
missing,all,cost,all,all,all,Cost,TotalCost,missing,3.2004691433603157e10
