natgas_SE,ethane_SE,natgas_demand_SE,biocorn_SE,biowood_SE,bioherb_SE,elec_SE,ethylene_SE,ethylene_demand_SE,h2_SE,co2_captured_SE,ethanol_SE,gasoline_SE,gasoline_demand_SE,jetfuel_SE,jetfuel_demand_SE,diesel_SE,diesel_demand_SE
-55.198417385248796,21.98,137.1487535725229,155.0,516.0299417049476,592.9680608617105,10.432150001454795,1144.93171060711,1144.93171060711,11.928510693289317,-603.4823292133043,104.27133680002909,94.95991,334.5224929012509,75.68131,320.32655057437694,97.34841,348.43168356079974
-55.415370780639385,21.98,136.93180017713232,155.0,592.9680608617107,592.9680608617107,10.432150001454795,1144.8418511966056,1144.8418511966056,11.928510693289317,-603.4823292133041,104.27133680002909,94.95991,334.5224929012509,75.68131,320.32655057437694,97.34841,348.43168356079974
-55.198417385248796,21.98,137.1487535725229,155.0,592.9680608617105,592.9680608617105,10.432150001454795,1144.93171060711,1144.93171060711,11.928510693289317,-603.4823292133043,104.27133680002909,94.95991,334.5224929012509,75.68131,320.32655057437694,97.34841,348.43168356079974
-89.19133022379769,21.98,103.15584073397402,155.0,423.1969963885127,592.9680608617107,10.432150001454795,1130.8522669390557,1130.8522669390557,11.928510693289317,-603.4823292133041,104.27133680002909,94.95991,334.5224929012509,75.68131,320.32655057437694,97.34841,348.43168356079974
-55.19841738524879,21.98,137.14875357252293,155.0,592.9680608617107,592.9680608617107,10.432150001454795,1144.9317106071098,1144.9317106071098,11.928510693289317,-603.4823292133041,104.27133680002909,94.95991,334.5224929012509,75.68131,320.32655057437694,97.34841,348.43168356079974
-55.19841738524879,21.98,137.14875357252293,155.0,592.9680608617107,592.9680608617107,10.432150001454795,1144.9317106071098,1144.9317106071098,11.928510693289317,-603.4823292133041,104.27133680002909,94.95991,334.5224929012509,75.68131,320.32655057437694,97.34841,348.43168356079974
-55.19841738524879,21.98,137.14875357252293,155.0,592.9680608617107,592.9680608617107,10.432150001454795,1144.9317106071098,1144.9317106071098,11.928510693289317,-603.4823292133041,104.27133680002909,94.95991,334.5224929012509,75.68131,320.32655057437694,97.34841,348.43168356079974
-55.415841030559164,21.98,136.93132992721254,155.0,592.532147438635,592.532147438635,10.160817986087501,1144.8005085991856,1144.8005085991856,11.618259513399346,-603.4823292133041,104.26591015972174,94.95991,334.5224929012509,75.68131,320.32655057437694,97.34841,348.43168356079974
-54.543900999969686,21.98,137.80326995780203,155.0,576.2080990451313,576.2080990451313,0.0,1143.6207551248765,1143.6207551248765,11.71986769326022,-603.4823292133043,104.06269379999999,94.95991,334.5224929012509,75.68131,320.32655057437694,97.34841,348.43168356079974
-54.54390099996968,21.98,137.80326995780203,155.0,86.55,576.2080990451316,0.0,1143.6207551248765,1143.6207551248765,11.71986769326022,-603.4823292133041,104.06269379999999,94.95991,334.5224929012509,75.68131,320.32655057437694,97.34841,348.43168356079974
-54.54390099996968,21.98,137.80326995780203,155.0,576.2080990451316,576.2080990451316,0.0,1143.6207551248765,1143.6207551248765,11.71986769326022,-603.4823292133041,104.06269379999999,94.95991,334.5224929012509,75.68131,320.32655057437694,97.34841,348.43168356079974
-54.543900999969686,21.98,137.80326995780203,155.0,576.2080990451313,576.2080990451313,0.0,1143.6207551248765,1143.6207551248765,11.71986769326022,-603.4823292133043,104.06269379999999,94.95991,334.5224929012509,75.68131,320.32655057437694,97.34841,348.43168356079974
-54.54390099996968,21.98,137.80326995780203,155.0,520.4567271776938,576.2080990451316,0.0,1143.6207551248765,1143.6207551248765,11.71986769326022,-603.4823292133041,104.06269379999999,94.95991,334.5224929012509,75.68131,320.32655057437694,97.34841,348.43168356079974
-90.05000556620986,21.98,102.29716539156185,155.0,576.2080990451313,576.2080990451313,0.0,1128.9145661764107,1128.9145661764107,11.71986769326022,-603.4823292133043,104.06269379999999,94.95991,334.5224929012509,75.68131,320.32655057437694,97.34841,348.43168356079974
-54.54390099996968,21.98,137.80326995780203,155.0,576.2080990451316,576.2080990451316,0.0,1143.6207551248765,1143.6207551248765,11.71986769326022,-603.4823292133041,104.06269379999999,94.95991,334.5224929012509,75.68131,320.32655057437694,97.34841,348.43168356079974
-54.54390099996968,21.98,137.80326995780203,155.0,576.2080990451316,576.2080990451316,0.0,-1808.4909647527038,-1808.4909647527038,11.71986769326022,-603.4823292133041,104.06269379999999,94.95991,334.5224929012509,75.68131,320.32655057437694,97.34841,348.43168356079974
-89.62775207349812,21.98,102.71941888427361,155.0,592.532147438635,592.532147438635,10.160817986087501,-222.377661803953,-222.377661803953,11.618259513399346,-603.4823292133041,104.26591015972174,94.95991,334.5224929012509,75.68131,320.32655057437694,97.34841,348.43168356079974
