ethylene_CA,ethylene_NW,ethylene_SW,ethylene_TX,ethylene_NCEN,ethylene_CEN,ethylene_SE,ethylene_MIDAT,ethylene_NE,ethylene_demand_CA,ethylene_demand_SW,ethylene_demand_NW,ethylene_demand_TX,ethylene_demand_NCEN,ethylene_demand_CEN,ethylene_demand_SE,ethylene_demand_MIDAT,ethylene_demand_NE,natgas_CA,natgas_NW,natgas_SW,natgas_TX,natgas_NCEN,natgas_CEN,natgas_SE,natgas_MIDAT,natgas_NE,natgas_demand_CA,natgas_demand_SW,natgas_demand_NW,natgas_demand_TX,natgas_demand_NCEN,natgas_demand_CEN,natgas_demand_SE,natgas_demand_MIDAT,natgas_demand_NE,elec_CA,elec_NW,elec_SW,elec_TX,elec_NCEN,elec_CEN,elec_SE,elec_MIDAT,elec_NE,h2_CA,h2_NW,h2_SW,h2_TX,h2_NCEN,h2_CEN,h2_SE,h2_MIDAT,h2_NE,co2_captured_CA,co2_captured_NW,co2_captured_SW,co2_captured_TX,co2_captured_NCEN,co2_captured_CEN,co2_captured_SE,co2_captured_MIDAT,co2_captured_NE,gasoline_CA,gasoline_NW,gasoline_SW,gasoline_TX,gasoline_NCEN,gasoline_CEN,gasoline_SE,gasoline_MIDAT,gasoline_NE,gasoline_demand_CA,gasoline_demand_NW,gasoline_demand_SW,gasoline_demand_TX,gasoline_demand_NCEN,gasoline_demand_CEN,gasoline_demand_SE,gasoline_demand_MIDAT,gasoline_demand_NE,jetfuel_CA,jetfuel_NW,jetfuel_SW,jetfuel_TX,jetfuel_NCEN,jetfuel_CEN,jetfuel_SE,jetfuel_MIDAT,jetfuel_NE,jetfuel_demand_CA,jetfuel_demand_NW,jetfuel_demand_SW,jetfuel_demand_TX,jetfuel_demand_NCEN,jetfuel_demand_CEN,jetfuel_demand_SE,jetfuel_demand_MIDAT,jetfuel_demand_NE,diesel_CA,diesel_NW,diesel_SW,diesel_TX,diesel_NCEN,diesel_CEN,diesel_SE,diesel_MIDAT,diesel_NE,diesel_demand_CA,diesel_demand_NW,diesel_demand_SW,diesel_demand_TX,diesel_demand_NCEN,diesel_demand_CEN,diesel_demand_SE,diesel_demand_MIDAT,diesel_demand_NE
732.6295827719155,732.6295827719155,732.6295827719155,732.6295827719155,732.6295827719155,732.6295827719155,732.6295827719155,732.6295827719155,732.6295827719155,0.0,0.0,0.0,732.6295827719155,732.6295827719155,732.6295827719155,732.6295827719155,732.6295827719155,0.0,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.888389422031345,40.25938934772562,37.93534294631771,43.05900189138676,41.42384851636854,40.930223484237175,37.737749427331906,38.31450874850617,36.499693956924695,14.448448462322979,14.420483057031102,13.805311988040753,13.597668210178544,13.901877950520648,14.90746525103194,12.565927239129573,7.8822781033182245,8.961467518023035,-5.4,-5.42595198258295,-5.6,-5.0,-6.1,-6.2,-6.1,-41.25439060343525,-53.263256355673654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.21240034407069,-83.09882475490764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.21240034407069,-83.09882475490764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
734.1352562642332,734.1352562642332,734.1352562642332,734.1352562642332,734.1352562642332,734.1352562642332,734.1352562642332,734.1352562642332,734.1352562642332,0.0,0.0,0.0,734.1352562642332,734.1352562642332,734.1352562642332,734.1352562642332,734.1352562642332,0.0,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.88838942203134,40.25938934772562,37.93534294631771,43.05900189138676,41.42384851636854,40.930223484237175,37.737749427331906,39.68823236973019,37.80834943480629,14.448448462322979,14.420483057031104,13.805311988040753,13.597668210178544,12.659162495029593,14.90746525103194,12.565927239129573,8.486465896969774,8.987640627580667,-5.4,-5.42595198258295,-5.6,-5.0,-6.1,-6.2,-6.1,-41.25439060343525,-56.87671355590133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.21240034407069,-89.98532984048498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.21240034407069,-89.98532984048498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
629.3105011329063,629.3105011329063,629.3105011329063,629.3105011329063,629.3105011329063,629.3105011329063,629.3105011329063,629.3105011329063,629.3105011329063,0.0,0.0,0.0,629.3105011329063,629.3105011329063,629.3105011329063,629.3105011329063,629.3105011329063,0.0,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5869340865978,49.605080353713944,46.741536957864795,53.05458635560817,47.98478495557908,50.43163986653352,46.498074686194315,48.90133674887834,46.58506356259011,14.622419355614307,14.607396877150869,13.981435868271694,15.089349956204577,14.03309667930486,15.097493578677868,13.87326622712678,7.165472797435274,7.165472797435274,-5.4,-5.42595198258295,-5.6,-5.0,-6.1,-6.2,-6.1,-41.25439060343525,-80.57860715365045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.21240034407069,-135.15625667156183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.21240034407069,-135.15625667156183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
645.5483952731604,645.5483952731604,645.5483952731604,645.5483952731604,645.5483952731604,645.5483952731604,645.5483952731604,645.5483952731604,645.5483952731604,0.0,0.0,0.0,645.5483952731604,645.5483952731604,645.5483952731604,645.5483952731604,645.5483952731604,0.0,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.88838942203134,40.25938934772562,37.93534294631771,43.05900189138676,38.944360668673085,40.930223484237175,37.737749427331906,36.02113519112646,34.31494891627409,14.448448462322979,13.952241713844312,13.805311988040753,14.889438266920145,12.683957373506546,14.90746525103194,13.698059721949532,7.447735973672688,7.447735973672688,-5.4,-5.42595198258295,-5.6,-5.0,-6.1,-6.2,-6.1,-41.25439060343525,-47.4131216661984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.21240034407069,-71.94967310926332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.21240034407069,-71.94967310926332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
645.5483952731604,645.5483952731604,645.5483952731604,645.5483952731604,645.5483952731604,645.5483952731604,645.5483952731604,645.5483952731604,645.5483952731604,0.0,0.0,0.0,645.5483952731604,645.5483952731604,645.5483952731604,645.5483952731604,645.5483952731604,0.0,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.077923057477264,35.745456346223385,37.93534294631771,43.05900189138676,38.944360668673085,40.930223484237175,37.737749427331906,36.02113519112646,34.31494891627409,14.372239135031895,14.33020439700106,13.805311988040753,14.889438266920145,11.236869968208905,14.90746525103194,13.698059721949532,8.4131239533977,7.447735973672688,-5.4,-5.42595198258295,-5.6,-5.0,-6.1,-6.2,-6.1,-41.25439060343525,-56.55464991290038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.21240034407069,-89.37154287899395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.21240034407069,-89.37154287899395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
778.8878090219962,778.8878090219962,778.8878090219962,778.8878090219962,778.8878090219962,778.8878090219962,778.8878090219962,778.8878090219962,778.8878090219962,0.0,0.0,0.0,778.8878090219962,778.8878090219962,778.8878090219962,778.8878090219962,778.8878090219962,0.0,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.80702692527393,102.85042028270459,109.15138214509133,123.89368871355306,112.05462936655009,117.76855348675902,108.58284620933527,103.64363116765466,98.73442050464156,15.72682121238783,15.672303675730685,15.229632772016226,16.506132003363472,15.314493567524277,16.01994450765468,15.114961657589598,9.765573872928263,9.765573872928261,-5.4,-5.42595198258295,-5.6,-5.0,-6.1,-6.2,-6.1,-41.25439060343525,-222.88475636164662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.21240034407069,-406.36246333925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.21240034407069,-406.36246333925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
805.0614341973223,805.0614341973223,805.0614341973223,805.0614341973223,805.0614341973223,805.0614341973223,805.0614341973223,805.0614341973223,805.0614341973223,0.0,0.0,0.0,805.0614341973223,805.0614341973223,805.0614341973223,805.0614341973223,805.0614341973223,0.0,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.93952437826218,126.54755790189108,134.3002859308701,152.43927738031545,137.8724526254853,144.90288712892843,133.60075710005307,127.52352766570652,121.48321573579312,16.349471161447596,16.146246428114413,15.732610847731799,17.07704377669872,15.830850032702982,16.986918523925763,10.42719372284979,3.166807005830008,10.220549777551291,-5.4,-5.42595198258295,-5.6,-5.0,-6.1,-6.2,-6.1,-41.25439060343525,-17.453931274515945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.21240034407069,-14.853627532993187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.21240034407069,-14.853627532993187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
778.8878090219962,778.8878090219962,778.8878090219962,778.8878090219962,778.8878090219962,778.8878090219962,778.8878090219962,778.8878090219962,778.8878090219962,0.0,0.0,0.0,778.8878090219962,778.8878090219962,778.8878090219962,778.8878090219962,778.8878090219962,0.0,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.97248811062835,103.00149069303407,109.15138214509133,123.89368871355306,112.05462936655009,117.76855348675902,108.58284620933527,103.64363116765466,98.73442050464156,15.750130436094917,15.675325083937274,15.229632772016226,16.506132003363472,15.314493567524277,16.444231851082378,15.114961657589598,4.136128984819082,9.765573872928261,-5.4,-5.42595198258295,-5.6,-5.0,-6.1,-6.2,-6.1,-41.25439060343525,-228.8583191731369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.21240034407069,-417.7468435604274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.21240034407069,-417.7468435604274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571.4800893514956,571.4800893514956,571.4800893514956,571.4800893514956,571.4800893514956,571.4800893514956,571.4800893514956,571.4800893514956,571.4800893514956,0.0,0.0,0.0,571.4800893514956,571.4800893514956,571.4800893514956,571.4800893514956,571.4800893514956,0.0,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.31211234207574,20.50103428850664,19.31757483382329,18.835291446892967,17.035424677461073,17.90410029142553,16.50761693934663,15.756718682987307,15.010381927885664,10.979736471075165,10.331697592668569,9.67612294678914,13.839905314623483,8.41193111099773,6.378310313009314,6.160207239503568,7.703594863233892,6.160207239503568,-5.4,-5.42595198258295,-5.6,-5.0,-6.1,-6.2,-6.1,-41.25439060343525,-87.28677225328465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.21240034407069,-147.94063753280815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.21240034407069,-147.94063753280815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
481.54128016749524,481.54128016749524,481.54128016749524,481.54128016749524,481.54128016749524,481.54128016749524,481.54128016749524,481.54128016749524,481.54128016749524,0.0,0.0,0.0,481.54128016749524,481.54128016749524,481.54128016749524,481.54128016749524,481.54128016749524,0.0,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,5.59525703105355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.596801681614564,4.596801681614564,4.596801681614564,4.596801681614564,4.596801681614564,2.214866776027651,4.596801681614564,1.7729241887520526,4.596801681614565,-5.4,-5.42595198258295,-5.6,-5.0,-6.1,-6.2,-6.1,-41.25439060343525,-52.84532842792898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.21240034407069,-82.30234021383238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.21240034407069,-82.30234021383238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
