Time_Index,Demand_Electricity_MIDAT,Demand_Zero
181,1.04E+06,0
182,1.07E+06,0
183,1.08E+06,0
184,1.09E+06,0
185,1.10E+06,0
186,1.09E+06,0
187,1.07E+06,0
188,1.08E+06,0
189,1.07E+06,0
190,1.01E+06,0
191,926132.0689,0
192,839901.1333,0
193,775249.5542,0
194,735146.8355,0
195,711448.4641,0
196,702064.2549,0
197,715160.344,0
198,767198.7388,0
199,836081.1403,0
200,883715.7319,0
201,912178.2833,0
202,945657.2782,0
203,983684.2271,0
204,1.01E+06,0
205,1.04E+06,0
206,1.07E+06,0
207,1.08E+06,0
208,1.09E+06,0
209,1.09E+06,0
210,1.07E+06,0
211,1.05E+06,0
212,1.03E+06,0
213,1.01E+06,0
214,965946.4862,0
215,901366.9824,0
216,827915.0044,0
217,763393.1609,0
218,717041.5104,0
219,690380.8425,0
220,674070.1932,0
221,673897.2124,0
222,690553.8233,0
223,717884.7918,0
224,759090.2632,0
225,810227.7162,0
226,866150.9718,0
227,908833.9875,0
228,935732.5041,0
229,957419.9736,0
230,971525.1174,0
231,980930.9492,0
232,984959.9606,0
233,983763.51,0
234,971734.1359,0
235,952684.6238,0
236,945765.3913,0
237,942262.5298,0
238,906080.7096,0
239,847425.7987,0
240,779963.2813,0
241,725315.7593,0
242,687656.3946,0
243,664138.2115,0
244,652418.7614,0
245,649910.5396,0
246,660318.2185,0
247,683641.7983,0
248,724847.2696,0
249,779566.867,0
250,830041.2269,0
251,857631.6667,0
252,874252.2399,0
253,890577.3042,0
254,902339.9995,0
255,911839.5292,0
256,923097.6971,0
257,933512.5836,0
258,936885.7095,0
259,937224.4636,0
260,945030.2228,0
261,949333.1205,0
262,904869.8439,0
263,835079.2931,0
264,761115.5802,0
265,703116.5549,0
266,668549.2223,0
267,651070.9526,0
268,649269.0691,0
269,668462.7319,0
270,734656.7232,0
271,808764.5868,0
272,853263.9011,0
273,873956.731,0
274,900141.7016,0
275,924892.3731,0
276,948670.0274,0
277,974062.1694,0
278,999007.4442,0
279,1.02E+06,0
280,1.05E+06,0
281,1.07E+06,0
282,1.07E+06,0
283,1.05E+06,0
284,1.05E+06,0
285,1.04E+06,0
286,979972.3472,0
287,890534.059,0
288,804195.0103,0
289,737352.3409,0
290,698402.8277,0
291,677616.2999,0
292,674423.3624,0
293,694532.382,0
294,758160.4913,0
295,834481.0678,0
296,873257.6002,0
297,884443.6928,0
298,905158.1452,0
299,926117.6538,0
300,944446.4126,0
301,966306.8629,0
302,989889.9138,0
303,1.01E+06,0
304,1.04E+06,0
305,1.05E+06,0
306,1.05E+06,0
307,1.04E+06,0
308,1.05E+06,0
309,1.04E+06,0
310,983179.6997,0
311,896011.7847,0
312,813946.8037,0
313,748769.0746,0
314,712342.1983,0
315,691800.7266,0
316,687980.7337,0
317,707268.0944,0
318,769303.3387,0
319,840931.8106,0
320,875268.5021,0
321,887578.9701,0
322,910477.3053,0
323,937008.2376,0
324,963294.1137,0
325,992253.9849,0
326,1.02E+06,0
327,1.05E+06,0
328,1.07E+06,0
329,1.08E+06,0
330,1.08E+06,0
331,1.07E+06,0
332,1.06E+06,0
333,1.06E+06,0
334,997104.6552,0
335,909511.4957,0
336,822588.6368,0
337,948266.4055,0
338,895348.6916,0
339,859484.0029,0
340,843490.4852,0
341,849962.8506,0
342,885668.9736,0
343,936215.4088,0
344,985212.2243,0
345,1.05E+06,0
346,1.11E+06,0
347,1.18E+06,0
348,1.23E+06,0
349,1.28E+06,0
350,1.31E+06,0
351,1.33E+06,0
352,1.33E+06,0
353,1.33E+06,0
354,1.31E+06,0
355,1.27E+06,0
356,1.23E+06,0
357,1.21E+06,0
358,1.17E+06,0
359,1.08E+06,0
360,991158.4398,0
361,915983.8612,0
362,863815.7308,0
363,832981.9007,0
364,818314.5692,0
365,827979.8722,0
366,863822.9383,0
367,918326.3097,0
368,969896.2148,0
369,1.03E+06,0
370,1.10E+06,0
371,1.16E+06,0
372,1.21E+06,0
373,1.25E+06,0
374,1.29E+06,0
375,1.31E+06,0
376,1.31E+06,0
377,1.31E+06,0
378,1.29E+06,0
379,1.26E+06,0
380,1.23E+06,0
381,1.21E+06,0
382,1.17E+06,0
383,1.09E+06,0
384,999814.688,0
385,927969.99,0
386,873711.6748,0
387,842639.9962,0
388,826523.9504,0
389,833327.8624,0
390,862619.2801,0
391,911789.0764,0
392,971755.7585,0
393,1.04E+06,0
394,1.12E+06,0
395,1.19E+06,0
396,1.26E+06,0
397,1.32E+06,0
398,1.36E+06,0
399,1.39E+06,0
400,1.40E+06,0
401,1.39E+06,0
402,1.37E+06,0
403,1.32E+06,0
404,1.28E+06,0
405,1.24E+06,0
406,1.20E+06,0
407,1.12E+06,0
408,1.03E+06,0
409,957794.7653,0
410,903067.9604,0
411,866511.3485,0
412,843101.2783,0
413,834819.8219,0
414,841407.5079,0
415,860550.7179,0
416,908488.0259,0
417,997875.8614,0
418,1.09E+06,0
419,1.18E+06,0
420,1.26E+06,0
421,1.31E+06,0
422,1.35E+06,0
423,1.37E+06,0
424,1.38E+06,0
425,1.39E+06,0
426,1.37E+06,0
427,1.33E+06,0
428,1.28E+06,0
429,1.24E+06,0
430,1.20E+06,0
431,1.12E+06,0
432,1.03E+06,0
433,953967.5648,0
434,895067.5978,0
435,853271.1087,0
436,826891.5346,0
437,813240.4654,0
438,806169.8746,0
439,818480.3425,0
440,868868.212,0
441,967755.5772,0
442,1.07E+06,0
443,1.15E+06,0
444,1.23E+06,0
445,1.29E+06,0
446,1.34E+06,0
447,1.37E+06,0
448,1.39E+06,0
449,1.39E+06,0
450,1.38E+06,0
451,1.35E+06,0
452,1.30E+06,0
453,1.26E+06,0
454,1.22E+06,0
455,1.14E+06,0
456,1.04E+06,0
457,955257.7134,0
458,898692.9873,0
459,861862.4891,0
460,843930.1447,0
461,850380.8876,0
462,884083.3161,0
463,937065.8978,0
464,1.00E+06,0
465,1.09E+06,0
466,1.19E+06,0
467,1.29E+06,0
468,1.38E+06,0
469,1.44E+06,0
470,1.47E+06,0
471,1.49E+06,0
472,1.49E+06,0
473,1.48E+06,0
474,1.45E+06,0
475,1.41E+06,0
476,1.36E+06,0
477,1.32E+06,0
478,1.26E+06,0
479,1.17E+06,0
480,1.08E+06,0
481,988470.0296,0
482,930442.1742,0
483,892328.7349,0
484,870259.2661,0
485,872479.1865,0
486,906224.8603,0
487,958501.1037,0
488,1.02E+06,0
489,1.10E+06,0
490,1.19E+06,0
491,1.29E+06,0
492,1.37E+06,0
493,1.43E+06,0
494,1.47E+06,0
495,1.48E+06,0
496,1.47E+06,0
497,1.46E+06,0
498,1.43E+06,0
499,1.39E+06,0
500,1.36E+06,0
501,1.32E+06,0
502,1.27E+06,0
503,1.18E+06,0
504,1.07E+06,0
