Time_Index,MIDAT_conventional_hydroelectric_1,MIDAT_hydroelectric_pumped_storage_1,MIDAT_natural_gas_fired_combined_cycle_1,MIDAT_natural_gas_fired_combined_cycle_2,MIDAT_natural_gas_fired_combined_cycle_3,MIDAT_natural_gas_fired_combined_cycle_4,MIDAT_natural_gas_fired_combustion_turbine_1,MIDAT_natural_gas_fired_combustion_turbine_2,MIDAT_nuclear_1,MIDAT_nuclear_2,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,MIDAT_naturalgas_ccavgcf_moderate_0,MIDAT_naturalgas_ctavgcf_moderate_0,MIDAT_battery_moderate_0,MIDAT_nuclear_mid_0,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7
12,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.304427838,0.201446917,0.558538238,1.0,1.0,1.0,1.0,0.558538238,0.555172234,0.554388145,0.28188313,0.476464723,0.577900233,0.558389105,0.304427838,0.186685954,0.29391686,0.532055201,0.301294938,0.084307659,0.19088761
13,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.291938691,0.201446917,0.592422742,1.0,1.0,1.0,1.0,0.592422742,0.582645305,0.596199022,0.281620532,0.483554625,0.613215007,0.599332533,0.291938691,0.177161757,0.254774395,0.535776488,0.294102005,0.089078532,0.194981853
14,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.272372687,0.201446917,0.605888327,1.0,1.0,1.0,1.0,0.605888327,0.596574879,0.603096816,0.262658262,0.467984016,0.644896943,0.634734544,0.272372687,0.184067374,0.228179554,0.553689217,0.29449937,0.091727356,0.218239453
15,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.240459297,0.201446917,0.399763918,1.0,1.0,1.0,1.0,0.399763918,0.423388614,0.364187086,0.24277319,0.308395986,0.53365621,0.571699554,0.240459297,0.195947425,0.232410986,0.585230638,0.297972071,0.10301088,0.257556438
16,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.222150881,0.201446917,0.060231093,1.0,1.0,1.0,1.0,0.060231093,0.073766112,0.047518562,0.088338367,0.053064997,0.135600684,0.196971861,0.222150881,0.212463006,0.236934001,0.603413909,0.315408347,0.117643487,0.280458754
17,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.339479057,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.001991576,0.0,0.000383585,0.003537753,0.339479057,0.385391642,0.396695114,0.630448827,0.43137405,0.21943501,0.459901243
18,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.424104771,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.424104771,0.505992732,0.525946995,0.666338528,0.483119114,0.311753255,0.533315756
19,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.390488658,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.390488658,0.580189175,0.630007344,0.69700141,0.511975393,0.386293759,0.557109899
20,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41987453,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41987453,0.618991819,0.677807063,0.695310312,0.527646907,0.459132827,0.567769248
21,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.440880621,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.440880621,0.63090471,0.697433942,0.706642433,0.538330776,0.517653458,0.581727719
22,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.488141491,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.488141491,0.632923809,0.700328644,0.724660794,0.548683698,0.546028392,0.58403292
23,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.503051742,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503051742,0.639499057,0.695723579,0.73002516,0.548973418,0.546716073,0.579821674
24,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.511290294,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.511290294,0.64402226,0.697309811,0.736321985,0.557085783,0.54391077,0.584127935
25,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.575845242,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.575845242,0.645230186,0.69099069,0.744293268,0.553848877,0.540927,0.578152055
