type,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,Total
BECCSElectricity,8.302488853399578e6,2.3044768868673537e6,2.92979266886977e6,4.600130152263394e6,0.0,0.0,1.8136888561400093e7
BECCSHydrogen{NaturalGas},2.0769079235654685e6,1.7265404868091906e6,7.741303188373123e6,3.6145756970143598e6,0.0,0.0,1.5159327295762142e7
BECCSLiquidFuels,6.21978353343647e10,4.698786051372281e10,2.000193518108672e10,6.30723855326025e10,0.0,0.0,1.9226001656177673e11
BECCSNaturalGas,1.431585355483521e7,8.243149566665714e6,1.2518656138977632e6,7.98174935243746e6,0.0,0.0,3.1792618087836146e7
CO2Injection,0.0,0.0,4.654172668210438e9,0.0,0.0,0.0,4.654172668210438e9
GasStorage{CO2Captured},3.461615104729481e9,4.510869162084607e8,0.0,0.0,0.0,0.0,3.912702020937942e9
Battery,6.708149166460404e6,1.7711220874192999e6,436735.8893746162,0.0,0.0,0.0,8.91600714325432e6
ElectricDAC,2.4658265400837255e6,1.9656160133810272e6,200517.89039836125,0.0,0.0,0.0,4.631960443863114e6
Electrolyzer,2.400607203883659e10,3.600928077216807e8,0.0,0.0,0.0,0.0,2.436616484655827e10
ThermalPower{Hydrogen},6.314563369315069e10,2.5819693517529716e10,5.958568294816095e10,0.0,4.336577678252578e6,0.0,1.4855534673651962e11
GasStorage{Hydrogen},5.253414516403382e9,1.5616675545413122e8,0.0,0.0,0.0,0.0,5.409581271857513e9
ConstrainedFossilLiquidFuels,0.0,0.0,0.0,1.2406331109072743e11,0.0,0.0,1.2406331109072743e11
NaturalGasDAC,5.706659207480293e6,2.8176721027717944e6,892359.111941054,0.0,0.0,0.0,9.416690422193142e6
UpstreamEmissions{NaturalGas},0.0,0.0,0.0,2.7338445437109447e10,0.0,0.0,2.7338445437109447e10
ThermalHydrogenCCS{NaturalGas},2.7437003014390346e7,1.1207978675712192e7,4.825740488038037e6,0.0,25339.413638503727,0.0,4.349606159177908e7
ThermalPower{NaturalGas},8.50852599759081e6,3.5877800283603277e6,690902.2091614604,0.0,3.7356707057924015e6,0.0,1.6522878940905e7
ThermalPowerCCS{NaturalGas},6.630132339598845e6,2.9353344819709766e6,767448.721770111,0.0,1.6359507716447865e6,0.0,1.1968866314984718e7
VRE,7.766747747445258e10,2.6276350766845448e10,0.0,0.0,0.0,0.0,1.0394382824129802e11
ThermalPower{Uranium},8.718042036336701e6,6.202529823832621e6,501597.62608858454,1.5512032328097124e6,1.0516318793045334e6,0.0,1.802500459837215e7
SyntheticLiquidFuels,1.4605868186042085e7,1.175134229503523e7,2.5853655112734744e6,0.0,0.0,0.0,2.8942575992350787e7
SyntheticNaturalGas,1.420641154841437e6,0.0,0.0,0.0,0.0,0.0,1.420641154841437e6
TransmissionLink{Electricity},3.6286553194916296e9,0.0,0.0,0.0,0.0,0.0,3.6286553194916296e9
Node{Electricity},0.0,0.0,0.0,0.0,0.0,1.2993866634295576e6,1.2993866634295576e6
Node{Hydrogen},0.0,0.0,0.0,0.0,0.0,1.2776498440408115e6,1.2776498440408115e6
Total,2.3946759957940372e11,1.0010576481993106e11,8.426461442637729e10,2.144918897188739e11,1.0785170448632803e7,2.5770365074703693e6,6.38343230751542e11
