bioagri_CA,bioagri_NW,bioagri_SW,bioagri_TX,bioagri_NCEN,bioagri_CEN,bioagri_SE,bioagri_MIDAT,bioagri_NE,bioherb_CA,bioherb_NW,bioherb_SW,bioherb_TX,bioherb_NCEN,bioherb_CEN,bioherb_SE,bioherb_MIDAT,bioherb_NE,biowood_CA,biowood_NW,biowood_SW,biowood_TX,biowood_NCEN,biowood_CEN,biowood_SE,biowood_MIDAT,biowood_NE,natgas_fossil_CA,natgas_fossil_SW,natgas_fossil_NW,natgas_fossil_NCEN,natgas_fossil_CEN,natgas_fossil_TX,natgas_fossil_SE,natgas_fossil_MIDAT,natgas_fossil_NE,natgas_CA,natgas_SW,natgas_NW,natgas_NCEN,natgas_CEN,natgas_TX,natgas_SE,natgas_MIDAT,natgas_NE,natgas_demand_CA,natgas_demand_SW,natgas_demand_NW,natgas_demand_NCEN,natgas_demand_CEN,natgas_demand_TX,natgas_demand_SE,natgas_demand_MIDAT,natgas_demand_NE,uranium_source,elec_CA,elec_NW,elec_SW,elec_NCEN,elec_CEN,elec_TX,elec_SE,elec_MIDAT,elec_NE,h2_CA,h2_NW,h2_SW,h2_NCEN,h2_CEN,h2_TX,h2_SE,h2_MIDAT,h2_NE,co2_captured_CA,co2_captured_NW,co2_captured_SW,co2_captured_NCEN,co2_captured_CEN,co2_captured_TX,co2_captured_SE,co2_captured_MIDAT,co2_captured_NE,gasoline_fossil_global,gasoline_global,gasoline_demand_global,jetfuel_fossil_global,jetfuel_global,jetfuel_demand_global,diesel_fossil_global,diesel_global,diesel_demand_global
170.18601556252165,162.61738427166077,144.05413739649043,125.30877548055015,119.57100732545011,127.104932477209,120.72726474580749,120.66728693939936,124.12654739029621,1159.5335644606612,190.27158567285338,151.36133751315967,137.9912955571495,126.50816734831113,135.4242132027142,132.56694406049064,134.81188939385157,136.49668556259073,194.53057404838185,215.92771952369625,171.2163699297544,160.3561321733938,148.9095495745957,163.22069333132578,140.05323554120872,143.60437831688077,142.3267740177259,30.197460680000002,23.50966148,27.67247527,20.77994752,19.17624057,16.68537658,22.48601875,21.59886171,25.96640405,16.707277267968905,16.711224492015436,16.711857681929168,16.685623758207598,16.68561858580327,16.68521249853748,16.68549433374846,16.686155380529332,16.68508720219214,37.13147508458217,37.1354223086287,37.13605549854243,37.10982157482086,37.109816402416534,37.10941031515075,37.109692150361724,37.1103531971426,37.1092850188054,2.814676307,14.700322499957695,12.117533943765846,15.514562101265799,19.901033273904975,20.911215480168252,23.659375330499397,19.357738554148284,18.396112610281307,16.408163413780724,22.00121840359629,16.0786791693031,21.785905331507404,30.077948525822123,26.755228823330924,27.061570298447034,30.99635832176366,32.62560291812254,26.96628037139316,-6.265597398024544,-7.310755358457921,-14.473281589869291,-39.588885764848996,-29.577984033185977,-19.374786622778796,-45.669908376001146,-54.471932494625285,-57.458545173352114,94.95992439,93.98169610773425,121.22666150690311,75.68131954,17.578972321196233,45.090671679368455,97.3484241,120.21296568049982,148.06760863643393
169.99762898442015,162.5226325221069,143.93717686319545,125.13985004656081,119.37869745270245,126.77252790111196,120.53583172128529,120.49977150819613,123.94451145886154,1159.4294925570657,190.12382985367967,151.05898944506868,137.6387629794117,126.22961601455641,134.95165785625375,132.21689535925427,134.38551841395685,136.1972224458591,194.3861447789159,215.97144120472288,170.94669479021368,160.049662931342,148.46512283887074,162.32150567856385,139.82878310784832,143.2777428937077,142.11337595081804,30.197460680000002,23.50966148,27.67247527,20.77994752,19.17624057,16.68537658,22.48601875,21.59886171,25.96640405,16.707301880213123,16.71124256743164,16.711875742787466,16.685624269328763,16.68561777070758,16.685211595872893,16.68549377974679,16.686154540324278,16.685086828569254,37.13149969682639,37.135440384044905,37.136073559400735,37.10982208594203,37.109815587320846,37.10940941248616,37.10969159636005,37.11035235693754,37.10928464518252,2.814676307,14.660510010103298,12.245848247263412,15.429039217022662,21.919174280309655,23.048047827588668,24.251186755959694,21.261305123927436,19.8815424694392,16.408106303960825,21.98477134307911,16.052328848522034,21.77914375396528,30.04152405039849,26.717928703800727,27.72208934358839,30.962084433367828,32.59938599098723,26.966003118094378,-6.265348661056092,-7.310804973049093,-14.473280766494945,-39.58888263225259,-29.577981412755076,-19.37480194767891,-45.66994847105389,-54.47266955509056,-57.49942470129451,94.95992439,93.55229816977719,120.79726356894605,75.68131954,17.448378568817144,44.96007792698937,97.3484241,120.83786085307992,148.69250380901406
169.68814104445016,161.90845925732035,143.7228130840032,124.91743801373802,119.24454926973763,126.49564363843778,120.25963440777898,120.30610899354114,123.76133789997107,1159.0318300882043,189.5518350432915,150.8167670715678,137.45383027168373,126.16531705983431,134.65525057102258,131.78009428572773,133.9216256950643,135.87638539813221,194.13830733848786,215.53693688743152,170.7012563246998,159.73752933422819,148.18057108108894,161.22863716960907,139.7569742847584,142.87561688671943,141.88340378261506,30.197460680000002,23.50966148,27.67247527,20.77994752,19.17624057,16.68537658,22.48601875,21.59886171,25.96640405,16.70732392358647,16.711260476141206,16.7118939805188,16.685625102161275,16.685617385246275,16.685212985737365,16.685493342637653,16.686155507714624,16.685087962432448,37.13152174019973,37.13545829275447,37.13609179713207,37.10982291877454,37.10981520185954,37.10941080235063,37.109691159250914,37.11035332432789,37.10928577904571,2.814676307,14.649954682530995,12.670648717819942,15.407603095025644,23.16508678870068,25.507301525659333,24.25504931906898,23.546522664305467,21.373509072800935,16.408120083679314,21.9580511757316,16.1637110362043,21.775973723251226,30.019011067643984,29.157226329040352,27.724692505670642,30.920934474824033,32.57238743274373,26.96591842172678,-6.268111216440844,-7.31143937689993,-14.473368239679955,-39.58909726211181,-29.578030007456537,-19.37505124068008,-45.67084083884791,-54.47753476735092,-57.61178503888115,94.95992439,92.94532118095691,120.19028658012577,75.68131954,17.48667989805803,44.99837925623025,97.3484241,121.63848572886243,149.49312868479655
169.7738934178677,162.05175200404244,143.7565245635492,124.85707951179576,119.08207912214117,126.39846801770905,120.29632674756913,120.31002894386204,123.79585693621672,1158.977953411192,189.70407031975492,150.7079456626448,137.2210086705558,125.96118461661848,134.45998248916447,131.536948855385,134.00514731685024,135.97035465110565,194.26705306956273,215.55356224408683,170.54429126171476,159.48271545165264,147.98896859450616,161.1176592021001,139.7414248175583,142.83529990923245,141.83320882888165,30.197460680000002,23.50966148,27.67247527,20.77994752,19.17624057,16.68537658,22.48601875,21.59886171,25.96640405,16.7073476357682,16.711280664217274,16.711912287657736,16.685629954565023,16.685622190391587,16.68521153217513,16.685498268942546,16.686159707244006,16.685094499023027,37.13154545238147,37.13547848083054,37.136110104271005,37.10982777117829,37.10982000700485,37.1094093487884,37.10969608555581,37.110357523857274,37.109292315636296,2.814676307,13.87717275474141,12.837083747776811,14.597659304907847,24.19644984062548,25.530549582831252,24.2566865096749,26.511135367450002,22.364130305910066,16.408127035400952,19.756868898234753,16.157706389528126,21.78918543883254,30.000431413309187,29.17984086608909,27.72517558477115,30.867555081952307,32.554676105410536,26.96604052357776,-6.267666130706799,-7.311563199995874,-14.473434865683812,-39.589157089248374,-29.578101077441378,-19.375130235623576,-45.67086926161632,-54.480998544413595,-57.50039946858548,94.95992439,92.86981552566994,120.1147809248388,75.68131954,17.300113066592296,44.81181242476452,97.3484241,121.80906279711976,149.66370575305388
169.60624843767826,166.14933363453974,143.64086115062054,124.71310765518017,118.85582737015709,126.08881648944083,120.24389743925113,120.19736790921449,123.67838174844545,1159.1072165546198,197.5352105339554,150.32932141216813,136.74433820098074,125.60663245482613,133.64237393214646,131.30241690238924,133.76321984326066,135.78559514260934,194.09846336495679,220.25925059097844,170.14816850173514,159.15814177322122,147.6402167641779,159.76690924541802,139.44158335530975,142.65020675169043,141.78274617366375,30.197460680000002,23.50966148,27.67247527,20.77994752,19.17624057,16.68537658,22.48601875,21.59886171,25.96640405,16.70735804563106,16.711293036224635,16.71192541760676,16.685627824943168,16.685618364108173,16.68521330902857,16.68549435394938,16.686157216878012,16.6850876575098,37.131555862244326,37.135490852837904,37.13612323422002,37.109825641556434,37.10981618072144,37.109411125641834,37.109692170562646,37.110355033491274,37.10928547412307,2.814676307,13.868208359985498,0.8274617688563185,14.59326956292912,26.205063127131673,29.16760149952835,24.256876241826486,26.99708095514425,24.26559208536465,16.408451847424974,19.73141236785893,15.391064626320018,21.788182086632414,29.964499687683965,29.216631299836834,27.72530007353387,30.85946499153863,32.52045609401673,26.966205235206093,-6.266243031621643,-7.311329944073391,-14.473427598893334,-39.58903891135374,-29.578064893332552,-19.37503394823103,-45.67046209717559,-54.47679699582003,-57.55654164219119,94.95992439,92.64265587797817,119.88762127714703,75.68131954,16.932417535372046,44.44411689354427,97.3484241,122.25039930515737,150.10504226109148
169.41188106616636,166.0036401899667,143.51822251470168,124.5690796400925,118.80657912121643,125.92611578319428,120.08292362249796,120.08697479993334,123.58737216833812,1158.7943922239444,197.55903728639154,150.1663853255125,136.67313473413392,125.51832513396825,133.59908772530756,131.12769296770753,133.4366949719029,135.5257130412934,193.94672735010252,220.3070597044093,169.98088988848102,158.92607512331952,147.54259634433473,159.09432018122743,139.32055307681392,142.34697079186174,141.52207816224268,30.197460680000002,23.50966148,27.67247527,20.77994752,19.17624057,16.68537658,22.48601875,21.59886171,25.96640405,16.70737320626956,16.711305760629454,16.71193788421236,16.685628347620774,16.685618634465456,16.68521429481395,16.685494977505208,16.686156535400603,16.685087660534116,37.131571022882824,37.135503577242716,37.136135700825626,37.10982616423404,37.10981645107872,37.10941211142722,37.10969279411847,37.11035435201387,37.10928547714738,2.814676307,13.873359158556402,0.03421890746645287,14.59498872738011,26.182402558014786,29.999248369661334,24.256044515100907,27.660514260207098,26.322443876791766,23.472185407253953,19.746294638081967,15.355265465405171,21.78746095308527,29.96520179023375,29.225108571852918,27.725287199440473,31.615634905013234,32.48300867048978,26.8397243404578,-6.2679306950798805,-7.311467344257757,-14.473389558593434,-39.58912618894349,-29.578049391194703,-19.375058967531572,-45.67086375750444,-54.4790591153682,-57.67113128635786,94.95992439,92.53383295355823,119.7787983527271,75.68131954,16.871810926473547,44.38351028464577,97.3484241,122.41896011874101,150.27360307467512
300.05342178421546,229.90721455314835,204.3828266279611,150.98673561778173,213.40614319221427,77.43754082146205,152.4368433493005,158.42743541819354,135.97380550123387,1204.011234528302,396.3097571306708,379.83545858821907,242.45372033662903,338.9875040087375,77.68964249185963,226.08696944630057,236.09074377773706,193.62096219663957,348.40977285613997,271.9731240070202,394.28236324792266,224.90705752622745,216.27563728206317,139.02074120436288,219.77641333060077,213.49311168980108,199.12003228172716,30.197460680000002,23.50966148,27.67247527,20.77994752,19.17624057,16.68537658,22.48601875,21.59886171,25.96640405,16.70739200479903,16.711321732794723,16.711952439784664,16.68563244270907,16.685623164785994,16.68521180831373,16.685499848207456,16.686160889447756,16.685095822843433,37.1315898214123,37.13551954940799,37.136150256397926,37.10983025932234,37.10982098139926,37.109409624927,37.10969766482072,37.11035870606102,37.109293639456695,2.814676307,14.520838249399578,0.007055249018042358,15.272357148588675,26.23523651460056,344.9563321967017,233.00458438460356,27.66146090260269,28.382160297901596,23.486615980891845,21.590151995761424,15.498523840286195,21.775594166302994,29.988016849548394,32.31193250480242,29.771265374553746,31.615810506354098,32.446964686161124,26.846995222032962,-6.267679794224589,-7.311568189212597,-14.473449044449815,-39.58922009545033,-29.578436526805902,-19.375176058924207,-45.67104388928205,-54.47716441923051,-57.30706081772773,94.95992439,184.15083759955368,211.39580299872253,75.68131954,5716.493569329731,5744.0052686879035,97.3484241,-2114.6900337397346,-2086.8353907838004
169.5691034239672,166.48129097964636,143.64204615039276,124.85079228922967,118.93401181142056,126.21599283842197,120.25140097205798,120.1008256210893,123.5245374624303,1159.416920117156,197.7528801174198,150.50949358635333,137.11414463071156,125.87160325232232,133.95219107243454,131.16327877452497,133.5078740062172,135.45331045021854,193.99883090766028,220.73160736941958,170.34003481608804,159.47185391167795,147.7042460446783,159.4678003872835,139.70063526685033,142.34073036786342,141.50152625740603,30.197460680000002,23.50966148,27.67247527,20.77994752,19.17624057,16.68537658,22.48601875,21.59886171,25.96640405,16.707397884337812,16.711331035499356,16.711962372799526,16.68562955693725,16.685619642992318,16.68521373205251,16.685497563927317,16.68616066672893,16.685091852436223,37.13159570095108,37.13552885211262,37.13616018941279,37.109827373550516,37.10981745960558,37.109411548665776,37.10969538054058,37.110358483342196,37.10928966904949,2.814676307,14.658334802779908,0.005170626496836342,15.454264201452538,26.85621957794544,29.950955823656525,24.261942986293942,27.617245909883906,29.029873777802074,24.055051075989365,21.978825937886683,15.407164771904199,21.771839853234788,30.697022309035052,29.224991391077236,27.725369849127137,31.566915129825166,33.1832002358046,27.496699438466237,-6.266130929794403,-7.311314730289406,-14.473435188150122,-39.589048344949205,-29.578078131477568,-19.375053183105997,-45.67048697701774,-54.477285944241224,-57.59653714591845,94.95992439,92.20848539088173,119.45345079005061,75.68131954,17.327799194243877,44.8394985524161,97.3484241,122.6866027007596,150.54124565669372
169.5624924633663,166.07202166850948,143.62463938672957,124.82911193355163,119.05619708682939,126.25716096849705,120.3954386040344,120.16060836618959,123.62806777251909,1159.1052473637778,197.4291162792771,150.56190748915415,137.1289079891117,125.98914797302517,134.19006366501387,131.56268049408914,133.53614154943284,135.5855709731398,193.9836978866692,220.30974031030604,170.39346257854532,159.45244057189083,147.6545930720052,160.4058960465656,139.71485961659897,142.39066524727065,141.62227214328473,30.197460680000002,23.50966148,27.67247527,20.77994752,19.17624057,16.68537658,22.48601875,21.59886171,25.96640405,16.707409627728023,16.711341290621046,16.711972087811183,16.685630434377813,16.68561966898482,16.68521449772378,16.685499203416686,16.686161013104634,16.685093701827867,37.13160744434129,37.135539107234315,37.13616990442445,37.10982825099108,37.109817485598086,37.10941231433704,37.109697020029955,37.1103588297179,37.10929151844113,2.814676307,14.66468915792415,0.009682248199010906,15.436626737974528,26.21555711253956,27.541409164638207,24.255248731865475,25.398381312250187,28.32830487493922,24.055389850542245,21.981194172888788,15.354361047892793,21.7715963402638,29.967472387136095,29.201450139702203,27.724273475052424,30.887806005982455,32.446822992425396,27.496929144344005,-6.26786859087044,-7.311439822001934,-14.473384416964327,-39.58910368585399,-29.578028778231506,-19.37502142948423,-45.67082851408551,-54.47810578307417,-57.67555617509101,94.95992439,92.64851046801222,119.89347586718108,75.68131954,17.259604517783178,44.771303875955404,97.3484241,122.121173230029,149.9758161859631
169.9232509600047,166.5285940688514,143.95281473345528,124.84584681442766,119.27764301169334,126.70740679593322,120.49404115891645,120.36265412093591,123.86109489833935,1159.4441432231574,197.8351894607591,151.15079868178634,136.89426065510963,126.4440754490527,134.89342784711403,131.72171353323915,134.11700318966365,136.0085457998295,194.3020288818022,220.62310310383126,170.9938885718252,159.23014678073972,148.0246377825284,161.3944200510008,140.127782029426,142.78278540404884,141.87155563305836,30.197460680000002,23.50966148,27.67247527,20.77994752,19.17624057,16.68537658,22.48601875,21.59886171,25.96640405,16.707425231707276,16.711354459476986,16.71198333561581,16.685632968493046,16.685624269666302,16.68521181100946,16.685503875202965,16.686164400624836,16.68509993710792,37.13162304832054,37.13555227609025,37.13618115222907,37.10983078510631,37.109822086279564,37.109409627622725,37.109701691816234,37.110362217238105,37.10929775372119,2.814676307,14.657435073127925,0.006164950343843702,14.587965371221445,26.857696499869714,25.611744076888424,16.487713675085782,25.441183604539425,28.38793417451429,24.0563554758016,21.977885202281627,15.407807167325833,21.78236153607872,30.698722985317556,29.182607483763675,27.18962156089956,30.887103685760486,32.45098043956625,27.497139167414023,-6.2673925870921865,-7.3114707276062365,-14.473418091311746,-39.589112779622376,-29.578068733330838,-19.37507105092661,-45.670812294177445,-54.48124823669298,-57.52086148884,94.95992439,92.86656481561492,120.11153021478378,75.68131954,17.643285700788052,45.15498505896028,97.3484241,121.68614023321318,149.5407831891473
