time,elec_CA_seg1,elec_NW_seg1,elec_SW_seg1,elec_NCEN_seg1,elec_CEN_seg1,elec_TX_seg1,elec_SE_seg1,elec_MIDAT_seg1,elec_NE_seg1,h2_CA_seg1,h2_NW_seg1,h2_SW_seg1,h2_NCEN_seg1,h2_CEN_seg1,h2_TX_seg1,h2_SE_seg1,h2_MIDAT_seg1,h2_NE_seg1
1,0.0033418111338591825,0.003921565775383633,0.0035957886876055766,0.0032000751258014722,0.0032148623875368483,0.003198047833069567,0.003190086541762428,0.0031874828981690007,0.0031810243274976676,0.0030656276285681953,0.003062696142195636,0.003023136235384676,0.003300442820695125,0.0033609647240420547,0.0032672547770499793,0.003311870197845397,0.0033079383808022745,0.003310538724462774
2,0.0034294603241672565,0.004070254763332127,0.0036972840199651106,0.0032003197609578793,0.0032249208678114664,0.0032043898829594263,0.003194941462328555,0.00319208893097551,0.0031845395125400205,0.0030603249935340403,0.003059165769403365,0.003017448191864854,0.0032934624709596103,0.0033525855573598557,0.00325960680208577,0.0033082272656193823,0.0033049200908200345,0.0033111400948723497
3,0.003554086806022738,0.004260594374716711,0.003781153785919705,0.0031974037965366,0.003230970531128433,0.0032048338937103924,0.0031854523194383426,0.003187060517683715,0.003181243095788033,0.003058471697760519,0.0030588121034652183,0.0030160896570503456,0.0032957890469794953,0.00335855108633351,0.003264625600109583,0.0033138557715167083,0.0033116310841484393,0.0033194370401096315
4,0.003638371439423943,0.004316456184396892,0.0038314731908287818,0.003198038280341621,0.0032291613540677234,0.0031994273214786158,0.0031955488398120358,0.0031904668955864165,0.0031819403892007136,0.003066798057205826,0.0030663509102653148,0.003025351765816503,0.0033094117323726174,0.0033762048961973536,0.003282967687317544,0.0033288469919597673,0.003321402123555303,0.003321674721728642
5,0.003651718440794932,0.0043252366154611175,0.003828694237976364,0.0031999712425732955,0.0032285634585972767,0.0031944329199421685,0.0031942762595572375,0.00319101510669094,0.003181057903096519,0.003066583613487066,0.0030641640282772385,0.003025035290478827,0.0033074849723780052,0.003365718475038735,0.0032740807223011568,0.003316134501405207,0.003316369291159787,0.003324918214002346
6,0.0036212306351111404,0.004296429100455644,0.0038163919556929928,0.0032008718894714116,0.003214335353981439,0.0031859063103015298,0.003175851408159223,0.0031787803149936835,0.003176415718485621,0.003061262772332744,0.0030607751657076958,0.0030200274226805635,0.0033024774495995692,0.0033613423062101096,0.003272516239585823,0.003318740606626106,0.00331482548682841,0.003324046222114727
7,0.0035995496553688114,0.004264453538287185,0.0037733670699644836,0.003204615313877101,0.0033826123321779302,0.0033135696483566454,0.0031806346677745834,0.0031797270102269085,0.003171145922418534,0.0030698049318639183,0.0030658227370826663,0.003026101786756165,0.0033124969069966283,0.0033798510294970807,0.0032872199690413824,0.003330828071048135,0.003324830603347814,0.0033230676073362254
8,0.0035034931470733855,0.004129814775356715,0.0036136979807104815,0.003203779262307654,0.003197030902749161,0.003197243634342947,0.0031740597645301483,0.0031782196557420747,0.0031706801074110605,0.0030669970257784927,0.0030632345272456423,0.0030240846553861965,0.003306276608551731,0.003367102428968812,0.003280981276303338,0.003328113786548522,0.0033251696744188903,0.00332761102297162
9,0.003328136585442407,0.0038803806197871475,0.0035767014461089573,0.0031887061974846306,0.0031922134212804963,0.003191231734659473,0.003178857141737358,0.0031633492349243237,0.003163793871575558,0.003064982373907239,0.0030615326046584427,0.003023072837165266,0.003313605641949574,0.003377431256063141,0.003287156091151984,0.0033362979757425174,0.003334938453744586,0.003339018840964318
10,0.003312853222012597,0.00393016714001401,0.0035181479446664107,0.0032003062928984065,0.0031943015089156506,0.003188458325290481,0.003170131664891477,0.0031722347606599833,0.003165589429544751,0.0030731219935232214,0.0030674020813353424,0.0030301202465681416,0.003324397479723364,0.003390069442837242,0.0032917843282132537,0.003342116635007094,0.0033403297658851972,0.00333518242896519
11,0.0032821496644127295,0.0038325132962135533,0.0034792490972207833,0.0032015373483551208,0.0031961702464846312,0.003188571925450977,0.0031741781577723414,0.003176988896805857,0.003170004607414166,0.0030699353791521986,0.003067907328794216,0.0030283846736812144,0.0033130202383749663,0.0033773286810559276,0.003289054235311979,0.003329536964656143,0.003329617677128759,0.003327312385515455
12,0.0032677918805163572,0.003775759580767733,0.0034425493822278336,0.003192773578872778,0.00319026674806052,0.0031845764995329646,0.003182427434114497,0.003164616998861433,0.003163417995836806,0.0030693967390905087,0.003067002327252438,0.0030268566123695852,0.0033193799598201183,0.0033835533823163262,0.003289579028579196,0.003337718060752182,0.003337791129602419,0.00333614243721793
