commodity,commodity_subtype,zone,resource_id,component_id,type,capacity,new_capacity,retired_capacity,retrofitted_capacity
CO2Captured,capacity,co2_captured_NW,NW_CO2_Injection_NW_Entrada6,NW_CO2_Injection_NW_Entrada6_co2_captured_edge,CO2Injection,2887.5,0.0,0.0,0.0
CO2Captured,capacity,co2_captured_NW,NW_CO2_Injection_NW_Morrison8,NW_CO2_Injection_NW_Morrison8_co2_captured_edge,CO2Injection,9239.9,0.0,0.0,0.0
CO2Captured,capacity,co2_captured_NW,NW_CO2_Injection_NW_Madison_GpMission_Canyon__Fm1,NW_CO2_Injection_NW_Madison_GpMission_Canyon__Fm1_co2_captured_edge,CO2Injection,16169.8,0.0,0.0,0.0
CO2Captured,capacity,co2_captured_NW,NW_CO2_Injection_NW_InyanKara2,NW_CO2_Injection_NW_InyanKara2_co2_captured_edge,CO2Injection,12704.8,0.0,0.0,0.0
CO2Captured,capacity,co2_captured_NW,NW_CO2_Injection_NW_Minnelusa2,NW_CO2_Injection_NW_Minnelusa2_co2_captured_edge,CO2Injection,11549.8,0.0,0.0,0.0
CO2Captured,capacity,co2_captured_NW,NW_CO2_Injection_NW_InyanKara3,NW_CO2_Injection_NW_InyanKara3_co2_captured_edge,CO2Injection,39269.4,0.0,0.0,0.0
CO2Captured,capacity,co2_captured_NW,NW_CO2_Injection_NW_InyanKara1,NW_CO2_Injection_NW_InyanKara1_co2_captured_edge,CO2Injection,33494.5,0.0,0.0,0.0
CO2Captured,capacity,co2_captured_NW,NW_CO2_Injection_NW_Arbuckle3,NW_CO2_Injection_NW_Arbuckle3_co2_captured_edge,CO2Injection,1732.5,0.0,0.0,0.0
CO2Captured,capacity,co2_captured_NW,NW_CO2_Injection_NW_Red_River2,NW_CO2_Injection_NW_Red_River2_co2_captured_edge,CO2Injection,13859.8,0.0,0.0,0.0
CO2Captured,capacity,co2_captured_NW,NW_CO2_Injection_NW_Arbuckle2,NW_CO2_Injection_NW_Arbuckle2_co2_captured_edge,CO2Injection,8662.4,0.0,0.0,0.0
CO2Captured,capacity,co2_captured_NW,NW_CO2_Injection_NW_Madison_GpMission_Canyon_Fm4,NW_CO2_Injection_NW_Madison_GpMission_Canyon_Fm4_co2_captured_edge,CO2Injection,21944.7,0.0,0.0,0.0
CO2Captured,capacity,co2_captured_NW,NW_CO2_Injection_NW_Nugget1,NW_CO2_Injection_NW_Nugget1_co2_captured_edge,CO2Injection,10394.8,0.0,0.0,0.0
CO2Captured,capacity,co2_captured_NW,NW_CO2_Injection_NW_Nugget2,NW_CO2_Injection_NW_Nugget2_co2_captured_edge,CO2Injection,35804.5,0.0,0.0,0.0
CO2Captured,capacity,co2_captured_NW,NW_CO2_Injection_NW_Nugget4,NW_CO2_Injection_NW_Nugget4_co2_captured_edge,CO2Injection,3464.9,0.0,0.0,0.0
CO2Captured,capacity,co2_captured_NW,NW_CO2_Injection_NW_Madison1,NW_CO2_Injection_NW_Madison1_co2_captured_edge,CO2Injection,8084.9,0.0,0.0,0.0
