natgas_SE,natgas_demand_SE,biocorn_SE,biowood_SE,bioherb_SE,elec_SE,ethanol_SE,h2_SE,co2_captured_SE,gasoline_SE,gasoline_demand_SE,jetfuel_SE,jetfuel_demand_SE,diesel_SE,diesel_demand_SE
-54.01341619489784,117.98603405314617,155.0,599.3999046200097,599.3999046200096,10.432150001454795,104.7659009000291,11.928510693289317,-591.8467678958663,94.95991,307.4100881434393,-88.14355568640654,128.81405226940396,97.34841,320.0154289927697
-54.23036959028844,117.76908065775558,155.0,599.3999046200097,86.4192,10.432150001454795,104.7659009000291,11.928510693289317,-591.8467678958665,94.95991,307.4100881434393,-88.14355568640647,128.81405226940402,97.34841,320.0154289927697
-87.93524002677832,84.0642102212657,155.0,599.3999046200097,599.3999046200097,10.432150001454795,104.7659009000291,11.928510693289317,-591.8467678958663,94.95991,307.4100881434393,-88.14355568640654,128.81405226940396,97.34841,320.0154289927697
-54.01341619489784,117.98603405314617,155.0,599.3999046200096,599.3999046200097,10.432150001454795,104.7659009000291,11.928510693289317,-591.8467678958663,94.95991,307.4100881434393,-88.14355568640654,128.81405226940396,97.34841,320.0154289927697
-87.93524002677832,84.0642102212657,155.0,599.3999046200097,599.3999046200097,10.432150001454795,104.7659009000291,11.928510693289317,-591.8467678958663,94.95991,307.4100881434393,75.68131,292.6389179558105,97.34841,320.0154289927697
-54.23036959028844,117.76908065775558,155.0,278.3675719866591,86.4192,10.432150001454795,104.7659009000291,11.928510693289317,-591.8467678958663,94.95991,307.4100881434393,-261.6010079338991,-44.6433999780886,97.34841,320.0154289927697
-87.93524002677832,84.0642102212657,155.0,86.55,479.96609680355255,10.432150001454795,104.7659009000291,11.928510693289317,-591.8467678958663,94.95991,307.4100881434393,-152.6750122101945,64.282595745616,97.34841,320.0154289927697
-54.23083984020822,117.7686104078358,155.0,431.30302859563915,86.4192,10.160817986087501,104.76047425972175,11.618259513399346,-591.8467678958663,94.95991,307.4100881434393,-178.93202162090353,38.025586334906976,97.34841,320.0154289927697
-88.79391536919046,83.20553487885356,155.0,478.3624875696289,478.3624875696289,0.0,104.55725790000001,11.71986769326022,-591.8467678958663,94.95991,307.4100881434393,-152.14946889595112,64.80813905985937,97.34841,320.0154289927697
-53.35889980961872,118.6405504384253,155.0,469.04133753284407,478.3624875696289,0.0,104.55725790000001,11.71986769326022,-591.8467678958663,94.95991,307.4100881434393,-152.14946889595112,64.80813905985937,97.34841,320.0154289927697
-53.35889980961872,118.6405504384253,155.0,599.3999046200097,599.3999046200097,0.0,104.55725790000001,11.71986769326022,-591.8467678958663,94.95991,307.4100881434393,-86.75156390625548,130.206044049555,97.34841,320.0154289927697
-53.35889980961872,118.6405504384253,155.0,599.3999046200097,599.3999046200097,0.0,104.55725790000001,11.71986769326022,-591.8467678958663,94.95991,307.4100881434393,-86.75156390625541,130.2060440495551,97.34841,320.0154289927697
-53.35889980961872,118.6405504384253,155.0,414.9789802021357,86.4192,0.0,104.55725790000001,11.71986769326022,-591.8467678958663,94.95991,307.4100881434393,-186.39630507064928,30.561302885161233,97.34841,320.0154289927697
-53.35889980961872,118.6405504384253,155.0,414.9789802021357,478.3624875696289,0.0,104.55725790000001,11.71986769326022,-591.8467678958663,94.95991,307.4100881434393,-152.14946889595112,64.80813905985937,97.34841,320.0154289927697
-53.35889980961872,118.6405504384253,155.0,599.3999046200097,599.3999046200097,0.0,104.55725790000001,11.71986769326022,-591.8467678958663,94.95991,307.4100881434393,-86.75156390625541,130.2060440495551,97.34841,320.0154289927697
-53.35889980961873,118.64055043842528,155.0,599.3999046200097,599.3999046200097,0.0,104.55725790000001,11.71986769326022,-591.8467678958664,94.95991,307.4100881434393,-86.75156390625541,130.2060440495551,97.34841,320.0154289927697
-88.37166187647871,83.6277883715653,155.0,599.3999046200097,599.3999046200097,10.160817986087501,104.76047425972175,11.618259513399346,-591.8467678958663,94.95991,307.4100881434393,-88.10735107517772,128.85025688063277,97.34841,320.0154289927697
-54.01341619489784,117.98603405314617,155.0,599.3999046200097,599.3999046200097,10.432150001454797,104.7659009000291,11.928510693289317,-591.8467678958665,94.95991,307.4100881434393,-88.14355568640647,128.81405226940402,97.34841,320.0154289927697
-54.01341619489784,117.98603405314617,155.0,599.3999046200097,599.3999046200097,10.432150001454797,104.7659009000291,11.928510693289317,-591.8467678958663,94.95991,307.4100881434393,-88.14355568640654,128.81405226940396,97.34841,320.0154289927697
-87.93524002677832,84.0642102212657,155.0,431.73894201871457,431.73894201871457,10.432150001454795,104.7659009000291,11.928510693289317,-591.8467678958663,94.95991,307.4100881434393,-178.73269720878776,38.22491074702275,97.34841,320.0154289927697
-54.01341619489783,117.98603405314618,155.0,599.3999046200097,599.3999046200097,10.432150001454795,104.7659009000291,11.928510693289317,-591.8467678958663,94.95991,307.4100881434393,-88.14355568640654,128.81405226940396,97.34841,320.0154289927697
-54.01341619489784,117.98603405314617,155.0,599.3999046200097,86.4192,10.432150001454795,104.7659009000291,11.928510693289317,-591.8467678958663,94.95991,307.4100881434393,-88.14355568640654,128.81405226940396,97.34841,320.0154289927697
-87.9352400267783,84.06421022126572,155.0,599.3999046200097,86.4192,10.432150001454795,104.7659009000291,11.928510693289317,-591.8467678958663,94.95991,307.4100881434393,-88.14355568640654,128.81405226940396,97.34841,320.0154289927697
-87.93524002677832,84.0642102212657,155.0,599.3999046200097,599.3999046200096,10.432150001454795,104.7659009000291,11.928510693289317,-591.8467678958665,94.95991,307.4100881434393,-88.14355568640647,128.81405226940402,97.34841,320.0154289927697
-87.93524002677832,84.0642102212657,155.0,185.60199413301237,86.4192,10.432150001454795,104.7659009000291,11.928510693289317,-591.8467678958664,94.95991,307.4100881434393,-311.72331386729326,-94.76570591148275,97.34841,320.0154289927697
-54.01341619489784,117.98603405314617,155.0,599.3999046200095,599.3999046200097,10.432150001454795,104.7659009000291,11.928510693289317,-591.8467678958663,94.95991,307.4100881434393,-88.14355568640654,128.81405226940396,97.34841,320.0154289927697
-87.93524002677832,84.0642102212657,155.0,599.3999046200097,599.3999046200097,10.432150001454804,104.7659009000291,11.928510693289317,-591.8467678958663,94.95991,307.4100881434393,-88.14355568640654,128.81405226940396,97.34841,320.0154289927697
-87.93524002677832,84.0642102212657,155.0,599.3999046200097,599.3999046200095,10.432150001454797,104.7659009000291,11.928510693289317,-591.8467678958663,94.95991,307.4100881434393,-88.14355568640654,128.81405226940396,97.34841,320.0154289927697
-87.9352400267783,84.06421022126572,155.0,599.3999046200097,86.4192,10.432150001454797,104.7659009000291,11.928510693289317,-591.8467678958663,94.95991,307.4100881434393,-88.14355568640654,128.81405226940396,97.34841,320.0154289927697
-87.93524002677832,84.0642102212657,155.0,599.3999046200097,86.4192,10.432150001454797,104.7659009000291,11.928510693289317,-591.8467678958663,94.95991,307.4100881434393,-88.14355568640647,128.81405226940402,97.34841,320.0154289927697
-87.93524002677832,84.0642102212657,155.0,599.3999046200097,599.3999046200096,10.432150001454797,104.7659009000291,11.928510693289317,-591.8467678958663,94.95991,307.4100881434393,-88.14355568640654,128.81405226940396,97.34841,320.0154289927697
-54.23083984020822,117.7686104078358,155.0,599.3999046200097,599.3999046200097,10.160817986087501,104.76047425972175,11.618259513399346,-591.8467678958663,94.95991,307.4100881434393,-88.10735107517772,128.85025688063277,97.34841,320.0154289927697
-53.95817059622697,118.04127965181705,155.0,599.3999046200097,599.3999046200097,6.983371761231341,104.69692533522462,11.650033975647906,-591.8467678958663,94.95991,307.4100881434393,-87.68337528626986,129.27423266954062,97.34841,320.0154289927697
-88.5037071279719,83.49574312007213,155.0,599.3999046200097,86.4192,6.983371761231341,104.69692533522462,11.650033975647906,-591.8467678958663,94.95991,307.4100881434393,-87.6833752862698,129.2742326695407,97.34841,320.0154289927697
-54.03027849878264,117.96917174926136,155.0,599.3999046200095,599.3999046200097,7.823653486491035,104.71373096972982,11.64163115839531,-591.8467678958663,94.95991,307.4100881434393,-87.79549649373047,129.16211146208002,97.34841,320.0154289927697
-54.21471213745378,117.78473811059024,155.0,599.3999046200097,86.4192,9.972880001280538,104.75671550002562,11.620138893247415,-591.8467678958663,94.95991,307.4100881434393,-88.08227396930856,128.87533398650194,97.34841,320.0154289927697
-53.95817059622697,118.04127965181705,155.0,599.3999046200097,86.4192,6.983371761231341,104.69692533522462,11.650033975647906,-591.8467678958663,94.95991,307.4100881434393,-87.68337528626986,129.27423266954062,97.34841,320.0154289927697
