case_name,commodity,commodity_subtype,zone,resource_id,component_id,type,variable,year,value
missing,all,cost,all,all,all,Cost,FixedCost,missing,4.340306056852553e11
missing,all,cost,all,all,all,Cost,VariableCost,missing,2.4762468259726578e11
missing,all,cost,all,all,all,Cost,TotalCost,missing,6.816552882825211e11
