natgas_SE,natgas_demand_SE,biocorn_SE,biowood_SE,bioherb_SE,elec_SE,ethanol_SE,ethanol_demand_SE,h2_SE,co2_captured_SE,gasoline_SE,gasoline_demand_SE,jetfuel_SE,jetfuel_demand_SE,diesel_SE,diesel_demand_SE
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,12.952084172065252,78.33992590960857,78.33992590960857,14.809897722455895,28.433891642906797,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,78.28509393100516,78.28509393100516,14.839689764163744,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.55000000000001,9.972880001280538,78.28509393100516,78.28509393100516,14.839689764163744,58.154685932132324,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,78.28509393100516,78.28509393100516,14.839689764163744,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,111.41146507708993,9.972880001280538,78.28509393100516,78.28509393100516,14.839689764163744,58.154685932132324,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,78.28509393100516,78.28509393100516,14.839689764163744,28.043523188650507,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,13.297953481644974,78.34629160242292,78.34629160242292,15.20537763380945,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,0.0,78.1015439923313,78.1015439923313,14.93941856417655,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,0.0,78.1015439923313,78.1015439923313,14.93941856417655,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,78.28509393100516,78.28509393100516,14.839689764163744,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,78.28509393100516,78.28509393100516,14.839689764163744,58.06537833231503,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,78.28509393100516,78.28509393100516,14.839689764163744,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,78.28509393100516,78.28509393100516,14.839689764163744,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,0.0,78.1015439923313,78.1015439923313,14.93941856417655,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,0.0,78.1015439923313,78.1015439923313,14.93941856417655,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,0.0,78.1015439923313,78.1015439923313,14.93941856417655,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,13.297953481644974,78.34629160242291,78.34629160242291,15.20537763380945,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,161.7909595255721,86.4192,13.297953481644974,78.34629160242291,78.34629160242291,15.20537763380945,93.68724870981917,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,13.297953481644974,78.34629160242292,78.34629160242292,15.20537763380945,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,12.952084172065252,78.33992590960857,78.33992590960857,14.809897722455895,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,78.28509393100516,78.28509393100516,14.839689764163744,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,78.28509393100516,78.28509393100516,14.839689764163744,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,12.952084172065252,78.33992590960857,78.33992590960857,14.809897722455899,28.433891642906797,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,12.952084172065252,78.33992590960857,78.33992590960857,14.809897722455895,58.29598030731823,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,13.297953481644974,78.34629160242291,78.34629160242291,15.20537763380945,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.55000000000001,13.297953481644974,78.34629160242292,78.34629160242292,15.20537763380945,57.595829245929465,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,13.297953481644974,78.34629160242292,78.34629160242292,15.20537763380945,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,13.297953481644974,78.34629160242292,78.34629160242292,15.20537763380945,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,110.58599290728931,13.297953481644974,78.34629160242292,78.34629160242292,15.20537763380945,57.595829245929465,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,151.8173983449609,80.89572923794407,80.89572923794407,17.975766531075767,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,87.22018125205415,151.8173983449609,80.89572923794407,80.89572923794407,17.975766531075767,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,78.28509393100516,78.28509393100516,14.086752481329423,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.4192,0.0,78.1015439923313,78.1015439923313,14.18648128134223,-6.1,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,26.614711219999997,155.0,86.55,86.55000000000001,0.0,78.1015439923313,78.1015439923313,14.18648128134223,58.92325955736781,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
