case_name,commodity,commodity_subtype,zone,resource_id,component_id,type,variable,year,value
missing,all,cost,all,all,all,Cost,DiscountedFixedCost,missing,4.402454565325401e10
missing,all,cost,all,all,all,Cost,DiscountedVariableCost,missing,6.805831254588104e10
missing,all,cost,all,all,all,Cost,DiscountedTotalCost,missing,1.1208285819913506e11
