case_name,commodity,commodity_subtype,zone,resource_id,component_id,type,variable,year,value
missing,all,cost,all,all,all,Cost,FixedCost,missing,1.1649086359921725e11
missing,all,cost,all,all,all,Cost,VariableCost,missing,9.096786169449013e10
missing,all,cost,all,all,all,Cost,TotalCost,missing,2.074587252937074e11
