natgas_MIDAT,elec_MIDAT,co2_captured_MIDAT
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.764729897587202,0.0
12.21546705,25.009925243107865,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,29.296425510475586,0.0
12.21546705,29.296425510475586,0.0
12.21546705,29.296425510475586,0.0
12.21546705,29.296425510475586,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,29.296425510475586,0.0
12.21546705,29.296425510475586,0.0
12.21546705,29.296425510475586,0.0
12.21546705,29.296425510475586,0.0
12.21546705,29.296425510475586,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
12.21546705,24.51953455206654,0.0
