Time_Index,natgas_fossil_CA,natgas_fossil_NW,natgas_fossil_SW,natgas_fossil_TX,natgas_fossil_NCEN,natgas_fossil_CEN,natgas_fossil_SE,natgas_fossil_MIDAT,natgas_fossil_NE,uranium_source,gasoline_fossil_CA,gasoline_fossil_NW,gasoline_fossil_SW,gasoline_fossil_NCEN,gasoline_fossil_CEN,gasoline_fossil_TX,gasoline_fossil_SE,gasoline_fossil_MIDAT,gasoline_fossil_NE,jetfuel_fossil_CA,jetfuel_fossil_NW,jetfuel_fossil_SW,jetfuel_fossil_NCEN,jetfuel_fossil_CEN,jetfuel_fossil_TX,jetfuel_fossil_SE,jetfuel_fossil_MIDAT,jetfuel_fossil_NE,diesel_fossil_CA,diesel_fossil_SW,diesel_fossil_NW,diesel_fossil_NCEN,diesel_fossil_CEN,diesel_fossil_TX,diesel_fossil_SE,diesel_fossil_MIDAT,diesel_fossil_NE
11,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
12,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
13,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
14,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
15,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
16,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
17,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
18,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
19,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
20,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
21,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
22,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
23,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
24,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
25,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
26,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
27,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
28,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
29,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
30,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
31,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
32,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
33,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
34,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
35,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
36,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
37,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
38,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
39,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
40,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
41,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
42,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
43,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
44,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
45,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
46,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
47,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
48,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
49,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
50,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
51,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
52,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
53,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
54,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
55,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
56,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
57,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
58,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
59,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
60,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
61,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
62,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
63,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
64,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
65,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
66,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
67,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
68,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
69,30.1962,27.67132,23.50868,16.68468,20.77908,19.17544,22.48508,21.59796,25.96532,2.79796,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,94.95596,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,75.67816,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436,97.34436
