commodity,zone,resource_id,component_id,resource_type,component_type,capacity,new_capacity,retired_capacity,existing_capacity
Biomass_Herb,CA,CA_Bio_Electricity_CCS_93_Herb,CA_Bio_Electricity_CCS_93_Herb_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Herb},7.331172495299563e-13,7.331172495299563e-13,0.0,0.0
Biomass_Herb,NW,NW_Bio_Electricity_CCS_93_Herb,NW_Bio_Electricity_CCS_93_Herb_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Herb},4.89330016669115e-13,4.89330016669115e-13,0.0,0.0
Biomass_Herb,SW,SW_Bio_Electricity_CCS_93_Herb,SW_Bio_Electricity_CCS_93_Herb_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Herb},4.1438230384511173e-13,4.1438230384511173e-13,0.0,0.0
Biomass_Herb,TX,TX_Bio_Electricity_CCS_93_Herb,TX_Bio_Electricity_CCS_93_Herb_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Herb},4.261794678505788e-13,4.261794678505788e-13,0.0,0.0
Biomass_Herb,NCEN,NCEN_Bio_Electricity_CCS_93_Herb,NCEN_Bio_Electricity_CCS_93_Herb_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Herb},3.817441784585576e-13,3.817441784585576e-13,0.0,0.0
Biomass_Herb,CEN,CEN_Bio_Electricity_CCS_93_Herb,CEN_Bio_Electricity_CCS_93_Herb_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Herb},4.03084879609869e-13,4.03084879609869e-13,0.0,0.0
Biomass_Herb,SE,SE_Bio_Electricity_CCS_93_Herb,SE_Bio_Electricity_CCS_93_Herb_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Herb},3.79928210981217e-13,3.79928210981217e-13,0.0,0.0
Biomass_Herb,MIDAT,MIDAT_Bio_Electricity_CCS_93_Herb,MIDAT_Bio_Electricity_CCS_93_Herb_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Herb},3.8355742508062806e-13,3.8355742508062806e-13,0.0,0.0
Biomass_Herb,NE,NE_Bio_Electricity_CCS_93_Herb,NE_Bio_Electricity_CCS_93_Herb_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Herb},3.9030702953410983e-13,3.9030702953410983e-13,0.0,0.0
Biomass_Wood,CA,CA_Bio_Electricity_CCS_93_Wood,CA_Bio_Electricity_CCS_93_Wood_biomass_edge,BECCSElectricity,UnidirectionalEdge{MacroEnergy.Biomass_Wood},8.912987598309428e-13,8.912987598309428e-13,0.0,0.0
