type,Investment,FixedOM,VariableOM,Fuel,Startup,Total
BECCSElectricity,1.1991657195259637e-5,3.328459372805671e-6,4.238336442248289e-6,5.602835695470507e-6,0.0,2.5161288705784104e-5
BECCSHydrogen{NaturalGas},5.312037977623407e-6,4.5955169999728e-6,2.0434121086183863e-5,8.79025594987178e-6,0.0,3.913193201365185e-5
BECCSNaturalGas,3.3188148448836795e-5,1.911511445446581e-5,2.8487717589348575e-6,1.5990987424700085e-5,0.0,7.114302208693755e-5
BioEthanol,1.1718257587031947e-5,1.2725024644856996e-5,1.6053915909581308e-7,0.0,0.0,2.4603821390984758e-5
CO2Injection,0.0,0.0,7.381372923964567e-6,0.0,0.0,7.381372923964567e-6
GasStorage{CO2Captured},1.401454857299791e-5,1.826251366423749e-6,0.0,0.0,0.0,1.584079993942166e-5
Battery,9.576886265518574e-6,2.531645943521645e-6,7.543982928688466e-7,0.0,0.0,1.2862930501909065e-5
ElectricDAC,4.855435769976306e-6,3.870475942352541e-6,4.311940655785398e-7,0.0,0.0,9.157105777907387e-6
Electrolyzer,1.8250264352295496e-5,2.737552783166385e-7,0.0,0.0,0.0,1.8524019630612136e-5
ThermalPower{Hydrogen},2.8043337219984452e-5,1.2062812545603148e-5,8.760496362715479e-6,0.0,7.531853522311436e-6,5.6398499650614514e-5
GasStorage{Hydrogen},2.7498397215475298e-5,3.9565354483457015e-7,0.0,0.0,0.0,2.789405076030987e-5
NaturalGasDAC,1.106436934274644e-5,5.485192732999812e-6,1.7624427511504346e-6,0.0,0.0,1.8312004826896685e-5
UpstreamEmissions{NaturalGas},0.0,0.0,0.0,3.421117878189329e-5,0.0,3.421117878189329e-5
ThermalHydrogenCCS{NaturalGas},2.672639766226251e-5,1.0932067033244328e-5,4.001398555588605e-6,0.0,3.298539735057385e-8,4.169284864844602e-5
ThermalPower{NaturalGas},1.7072264899796114e-5,7.179567484423847e-6,1.8392511532792694e-6,0.0,6.898410695866489e-6,3.298949423336572e-5
ThermalPowerCCS{NaturalGas},1.1918990407303933e-5,5.276359718346625e-6,1.3949691830545471e-6,0.0,2.754331714008939e-6,2.1344651022714047e-5
VRE,3.383063539478517e-5,1.0718672416727558e-5,0.0,0.0,0.0,4.4549307811512725e-5
ThermalPower{Uranium},1.277750856020287e-5,9.081502242288733e-6,5.130819327351281e-7,1.5867187390046126e-6,1.9580270691472706e-6,2.5916838543378615e-5
SyntheticNaturalGas,5.447745196429292e-6,0.0,0.0,0.0,0.0,5.447745196429292e-6
TransmissionLink{Electricity},4.2905390953376255e-6,0.0,0.0,0.0,0.0,4.2905390953376255e-6
Total,0.00028757742116386373,0.00010939807172118446,5.452037366739823e-5,6.618197659094027e-5,1.917560839868471e-5,0.0005368534515420714
