natgas_SE,ethane_SE,natgas_demand_SE,biocorn_SE,biowood_SE,bioherb_SE,elec_SE,ethylene_SE,ethylene_demand_SE,h2_SE,co2_captured_SE,ethanol_SE,gasoline_SE,gasoline_demand_SE,jetfuel_SE,jetfuel_demand_SE,diesel_SE,diesel_demand_SE
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,472.6829381022088,472.6829381022088,14.839689764163744,-6.1,90.83469445086264,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,460.5066888148235,460.5066888148235,14.839689764163744,0.15789473684202598,90.83469445086267,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,1216.2089342463642,1216.2089342463642,14.839689764163744,58.06537833231503,83.74047697511318,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,460.5066888148235,460.5066888148235,14.839689764163744,41.76070417207427,70.94402731404617,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,460.5066888148235,460.5066888148235,14.839689764163744,41.76070417207427,70.94402731404617,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,603.8247746529565,603.8247746529565,14.839689764163744,58.06537833231503,62.21820388700391,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,13.297953481644974,621.5605462634364,621.5605462634364,15.20537763380945,57.506521646112176,62.81165519811511,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,0.0,460.2013776897205,460.2013776897205,14.93941856417655,57.293438682351564,61.74843374405068,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,0.0,460.20137768972063,460.20137768972063,14.93941856417655,42.941784397215365,69.42905342079517,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,7.989720002118818,460.44597608083643,460.44597608083643,14.859521364155361,41.33318921206506,70.99725418162157,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,472.6829381022088,472.6829381022088,14.839689764163744,-6.1,90.83469445086264,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,604.6097884551841,604.6097884551841,14.839689764163744,58.154685932132324,62.17040885969824,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,169.9262060605,86.4192,9.972880001280538,603.8247746529565,603.8247746529565,14.839689764163744,58.06537833231503,62.21820388700391,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,0.0,460.20137768972063,460.20137768972063,14.93941856417655,46.408641414487974,67.57368471595524,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,169.9262060605,86.4192,0.0,1226.6122992473965,1226.6122992473965,14.93941856417655,57.293438682351564,84.62405483935342,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,0.0,1149.9557625227637,1149.9557625227637,14.93941856417655,24.64,79.223676574892,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,13.297953481644974,588.81292154984,588.81292154984,15.20537763380945,57.506521646112176,62.81165519811511,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,102.38468880170619,13.297953481644974,733.4042765712666,733.4042765712666,15.20537763380945,70.2304955177323,66.29646433362448,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,13.297953481644974,622.3455600656641,622.3455600656641,15.20537763380945,57.595829245929465,62.76386017080945,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,12.952084172065252,609.0443015435355,609.0443015435355,14.809897722455899,58.29598030731823,62.358538591624495,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,169.9262060605,86.4192,9.972880001280538,739.380587357013,739.380587357013,14.839689764163744,73.48697249986843,53.96498113952224,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,169.9262060605,86.4192,9.972880001280538,693.7915918680345,693.7915918680345,14.839689764163744,73.48697249986843,53.96498113952224,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,460.5066888148235,460.5066888148235,14.839689764163744,44.59723152482113,69.42599410572848,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,12.952084172065252,716.282423671139,716.282423671139,14.809897722455899,70.49599420382994,55.82941902614334,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,13.297953481644974,622.3455600656641,622.3455600656641,15.20537763380945,57.595829245929465,62.76386017080945,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,13.297953481644974,588.8129215498399,588.8129215498399,15.20537763380945,57.50652164611216,62.811655198115126,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,13.297953481644974,621.5605462634364,621.5605462634364,15.20537763380945,57.50652164611216,41.753026171097304,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,105.0547448563487,13.297953481644974,733.4042765712666,733.4042765712666,15.20537763380945,70.2304955177323,68.01808149439726,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,13.297953481644974,622.3455600656641,622.3455600656641,15.20537763380945,57.595829245929465,62.76386017080945,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,153.6125167451914,1193.7520389916497,1193.7520389916497,18.01166889908038,-6.1,79.47059397470179,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,153.6125167451914,488.3685541845797,488.3685541845797,18.01166889908038,-6.1,79.47059397470179,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,162.6677244843557,86.4192,0.0,467.2666800929214,467.2666800929214,12.631562503703629,34.42168887399357,73.98877956965977,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,0.0,1146.275630063616,1146.275630063616,12.631562503703629,24.64000000000001,79.22367657489198,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,0.0,467.26668009292143,467.26668009292143,12.631562503703629,56.306011988705365,62.27687797367627,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,0.0,467.26668009292143,467.26668009292143,12.631562503703629,56.306011988705365,62.27687797367627,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,0.0,467.2666800929214,467.2666800929214,12.631562503703629,24.64,79.223676574892,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,0.0,467.2666800929214,467.2666800929214,12.631562503703629,-6.1,91.62370236636791,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,0.0,467.2666800929214,467.2666800929214,12.631562503703629,24.64,79.223676574892,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,0.0,467.26668009292143,467.26668009292143,12.631562503703629,56.306011988705365,62.27687797367627,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,0.0,477.6796638602492,477.6796638602492,12.631562503703629,-6.1,91.62370236636791,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,0.0,467.2666800929214,467.2666800929214,12.631562503703629,-6.1,91.62370236636791,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,11.243672560157659,510.24596292877146,510.24596292877146,12.856435954906784,62.19548889790217,34.208243538713255,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,10.951233481400921,479.95117076822527,479.95117076822527,12.52205016888962,-6.1,90.7572916705346,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,467.5719912180245,467.5719912180245,12.531833703690822,3.2585564403463074,90.45483390300929,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.55000000000001,9.972880001280538,1205.359381540649,1205.359381540649,12.531833703690822,62.8765704495566,83.23539830964417,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,467.5719912180245,467.5719912180245,12.531833703690822,55.124931763564284,63.79185186692726,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,473.5420844816798,473.5420844816798,12.531833703690822,-1.3300039154221603,90.83469445086264,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,479.7482405054097,479.7482405054097,12.531833703690822,-6.1,90.83469445086264,94.95991,94.95991,75.68131,75.68131,97.34841,97.34841
