natgas_SE,ethane_SE,natgas_demand_SE,biocorn_SE,biowood_SE,bioherb_SE,elec_SE,ethylene_SE,ethylene_demand_SE,h2_SE,co2_captured_SE,gasoline_SE,ethanol_SE,gasoline_demand_SE,jetfuel_SE,jetfuel_demand_SE,diesel_SE,diesel_demand_SE
-55.24065824045779,21.98,137.53476659623053,155.0,565.8973273367538,565.8973273367538,10.432150001454797,1145.6864060443136,4271.300165580826,11.928510693289319,-603.9925904161544,94.95991,-48.58036448108731,335.09312155641715,75.68131,320.9092859203192,97.34841,349.0297540482339
-55.24065824045779,21.98,137.53476659623053,155.0,565.8973273367538,565.8973273367538,10.432150001454797,-1773.8158700890544,1351.7978894474575,11.928510693289319,-603.9925904161544,94.95991,-254.25645302801365,335.09312155641715,75.68131,320.9092859203192,97.34841,349.0297540482339
-55.457611635848394,21.98,137.3178132008399,155.0,565.8973273367538,86.4192,10.432150001454797,-1773.5147947713847,1352.0989647651272,11.928510693289319,-603.9925904161544,94.95991,-254.23524256546233,335.09312155641715,-194.70852812357012,50.51944779674905,97.34841,349.0297540482339
-55.24065824045778,21.98,137.53476659623053,155.0,565.8973273367538,517.9802278762137,10.432150001454797,-1773.8158700890544,1351.7978894474575,11.928510693289319,-603.9925904161544,94.95991,-254.25645302801365,335.09312155641715,-194.70852812357015,50.51944779674901,97.34841,349.0297540482339
-55.24065824045779,21.98,137.53476659623053,155.0,565.8973273367538,565.8973273367538,10.432150001454797,-1773.8158700890544,1351.7978894474575,11.928510693289319,-603.9925904161544,94.95991,-254.25645302801365,335.09312155641715,75.68131,320.9092859203192,97.34841,349.0297540482339
-89.2680518010313,21.98,103.507373035657,155.0,86.55,565.8973273367538,10.432150001454797,-1726.594630212744,1399.0191293237679,11.928510693289319,-603.9925904161544,94.95991,-250.9297627241586,335.09312155641715,75.68131,320.9092859203192,97.34841,349.0297540482339
-55.24065824045779,21.98,137.53476659623053,155.0,565.8973273367538,565.8973273367538,10.432150001454797,-1773.8158700890544,1351.7978894474575,11.928510693289319,-603.9925904161544,94.95991,-254.25645302801365,335.09312155641715,75.68131,320.9092859203192,97.34841,349.0297540482339
-89.70447365073173,21.98,103.07095118595657,155.0,564.9902637482604,564.9902637482604,10.160817986087503,-1741.36726459583,1384.246494940682,11.618259513399346,-603.9925904161544,94.95991,-251.93122305790905,335.09312155641715,75.68131,320.9092859203192,97.34841,349.0297540482339
-87.10034368806089,21.98,105.67508114862743,155.0,566.1421530727334,566.1421530727334,0.0,-1760.1949870183053,1365.4187725182067,11.71986769326022,-603.9925904161545,94.95991,-253.10410741966112,335.09312155641715,-193.18425418959578,52.04372173072338,97.34841,349.0297540482339
-90.12672714344346,21.98,102.64869769324486,155.0,566.1421530727334,86.4192,0.0,-1755.995147884287,1369.618611652225,11.71986769326022,-603.9925904161544,94.95991,-252.8082328479327,335.09312155641715,-193.1842541895958,52.04372173072334,97.34841,349.0297540482339
