Time_Index,natgas_fossil_CA,natgas_fossil_NW,natgas_fossil_SW,natgas_fossil_TX,natgas_fossil_NCEN,natgas_fossil_CEN,natgas_fossil_SE,natgas_fossil_MIDAT,natgas_fossil_NE,uranium_source,gasoline_fossil_global,jetfuel_fossil_global,diesel_fossil_global,ethane_CA,ethane_NW,ethane_SW,ethane_NCEN,ethane_CEN,ethane_TX,ethane_SE,ethane_MIDAT,ethane_NE
1,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,75815.01137,75815.01137,75815.01137,24.6398787,24.6398787,24.6398787,24.6398787,24.6398787,75815.01137
2,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,75815.01137,75815.01137,75815.01137,24.6398787,24.6398787,24.6398787,24.6398787,24.6398787,75815.01137
3,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,75815.01137,75815.01137,75815.01137,24.6398787,24.6398787,24.6398787,24.6398787,24.6398787,75815.01137
4,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,75815.01137,75815.01137,75815.01137,24.6398787,24.6398787,24.6398787,24.6398787,24.6398787,75815.01137
5,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,75815.01137,75815.01137,75815.01137,24.6398787,24.6398787,24.6398787,24.6398787,24.6398787,75815.01137
6,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,75815.01137,75815.01137,75815.01137,24.6398787,24.6398787,24.6398787,24.6398787,24.6398787,75815.01137
7,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,75815.01137,75815.01137,75815.01137,24.6398787,24.6398787,24.6398787,24.6398787,24.6398787,75815.01137
8,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,75815.01137,75815.01137,75815.01137,24.6398787,24.6398787,24.6398787,24.6398787,24.6398787,75815.01137
9,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,75815.01137,75815.01137,75815.01137,24.6398787,24.6398787,24.6398787,24.6398787,24.6398787,75815.01137
10,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,75815.01137,75815.01137,75815.01137,24.6398787,24.6398787,24.6398787,24.6398787,24.6398787,75815.01137
