type,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,Total
BECCSElectricity,9.244997492391152e-6,2.566083907675282e-6,3.5624452388957564e-6,5.11225132302574e-6,0.0,0.0,2.0485777961987932e-5
BECCSHydrogen{NaturalGas},4.2103398672742464e-6,3.848903253738936e-6,1.690102155225051e-5,8.069036294528206e-6,0.0,0.0,3.30293009677919e-5
BECCSNaturalGas,1.767760971974696e-5,1.0184052801210128e-5,1.4924707973951628e-6,8.82429157201094e-6,0.0,0.0,3.8178424890363195e-5
BioEthanol,6.877292846210515e-6,7.488961749608185e-6,9.081168860634928e-8,0.0,0.0,0.0,1.4457066284425047e-5
CO2Injection,0.0,0.0,7.3890297886841315e-6,0.0,0.0,0.0,7.3890297886841315e-6
GasStorage{CO2Captured},9.439203900850515e-6,1.2300331476466444e-6,0.0,0.0,0.0,0.0,1.0669237048497158e-5
Battery,5.450480145518646e-6,1.4406390874442351e-6,3.6198645421084093e-7,0.0,0.0,0.0,7.253105687173722e-6
ElectricDAC,2.5211246873148326e-6,2.009696536459538e-6,1.3845579643712991e-7,0.0,0.0,0.0,4.6692770202115e-6
Electrolyzer,1.1311551775734989e-5,1.696740904561151e-7,0.0,0.0,0.0,0.0,1.1481225866191104e-5
ThermalPower{Hydrogen},4.575759524946336e-5,1.9687392404950726e-5,2.2634393275544187e-5,0.0,4.622250687952759e-6,0.0,9.270163161791104e-5
GasStorage{Hydrogen},1.5199102003907558e-5,2.397400399789349e-7,0.0,0.0,0.0,0.0,1.543884204388649e-5
NaturalGasDAC,6.305142057933969e-6,3.1306845697616145e-6,8.107703131459941e-7,0.0,0.0,0.0,1.0246596940841577e-5
UpstreamEmissions{NaturalGas},0.0,0.0,0.0,5.451825609468677e-5,0.0,0.0,5.451825609468677e-5
ThermalHydrogenCCS{NaturalGas},2.351857347374359e-5,9.616809152165058e-6,4.266799977337198e-6,0.0,2.6430327589109963e-8,0.0,3.7428612930834954e-5
ThermalPower{NaturalGas},1.1712402986345805e-5,4.93386324586024e-6,1.5232420600082988e-6,0.0,4.269374241304506e-6,0.0,2.2438882533518847e-5
ThermalPowerCCS{NaturalGas},8.050019078283574e-6,3.5638782819234203e-6,1.1009540018665825e-6,0.0,1.702250613520418e-6,0.0,1.4417101975593994e-5
VRE,4.727680945411509e-5,1.550598833818558e-5,0.0,0.0,0.0,0.0,6.278279779230067e-5
ThermalPower{Uranium},9.00082656885342e-6,6.409813007236512e-6,4.777065773830996e-7,1.4773195657833106e-6,1.211524431243821e-6,0.0,1.8577190150500165e-5
SyntheticNaturalGas,2.061206739270792e-6,0.0,0.0,0.0,0.0,0.0,2.061206739270792e-6
TransmissionLink{Electricity},7.769104091605756e-5,0.0,0.0,0.0,0.0,0.0,7.769104091605756e-5
Node{MacroEnergy.Ethanol},0.0,0.0,0.0,0.0,0.0,4.380000000000013e9,4.380000000000013e9
Total,0.0003133053189630166,9.202621361430115e-5,6.0750087521765246e-5,7.800115485003498e-5,1.1831830301610614e-5,4.380000000000013e9,4.380000000000569e9
