time,co2_CA_to_NW_storage,co2_NW_to_CA_storage,co2_CA_to_SW_storage,co2_SW_to_CA_storage,co2_NW_to_SW_storage,co2_SW_to_NW_storage,co2_SW_to_CEN_storage,co2_CEN_to_SW_storage,co2_TX_to_CEN_storage,co2_CEN_to_TX_storage,co2_NCEN_to_CEN_storage,co2_CEN_to_NCEN_storage,co2_NCEN_to_SE_storage,co2_SE_to_NCEN_storage,co2_NCEN_to_MIDAT_storage,co2_MIDAT_to_NCEN_storage,co2_CEN_to_SE_storage,co2_SE_to_CEN_storage,co2_SE_to_MIDAT_storage,co2_MIDAT_to_SE_storage,co2_MIDAT_to_NE_storage,co2_NE_to_MIDAT_storage,CA_battery_moderate_0_storage,NW_battery_moderate_0_storage,SW_battery_moderate_0_storage,TX_battery_moderate_0_storage,NCEN_battery_moderate_0_storage,CEN_battery_moderate_0_storage,SE_battery_moderate_0_storage,MIDAT_battery_moderate_0_storage,NE_battery_moderate_0_storage,CA_hydroelectric_pumped_storage_1_storage,CEN_hydroelectric_pumped_storage_1_storage,MIDAT_hydroelectric_pumped_storage_1_storage,NE_hydroelectric_pumped_storage_1_storage,NW_hydroelectric_pumped_storage_1_storage,NCEN_hydroelectric_pumped_storage_1_storage,SE_hydroelectric_pumped_storage_1_storage,SW_hydroelectric_pumped_storage_1_storage,h2_CA_to_NW_storage,h2_NW_to_CA_storage,h2_CA_to_SW_storage,h2_SW_to_CA_storage,h2_NW_to_SW_storage,h2_SW_to_NW_storage,h2_SW_to_CEN_storage,h2_CEN_to_SW_storage,h2_TX_to_CEN_storage,h2_CEN_to_TX_storage,h2_NCEN_to_CEN_storage,h2_CEN_to_NCEN_storage,h2_NCEN_to_SE_storage,h2_SE_to_NCEN_storage,h2_NCEN_to_MIDAT_storage,h2_MIDAT_to_NCEN_storage,h2_CEN_to_SE_storage,h2_SE_to_CEN_storage,h2_SE_to_MIDAT_storage,h2_MIDAT_to_SE_storage,h2_MIDAT_to_NE_storage,h2_NE_to_MIDAT_storage,CA_Above_ground_storage_storage,NW_Above_ground_storage_storage,SW_Above_ground_storage_storage,TX_Above_ground_storage_storage,NCEN_Above_ground_storage_storage,CEN_Above_ground_storage_storage,SE_Above_ground_storage_storage,MIDAT_Above_ground_storage_storage,NE_Above_ground_storage_storage,CA_conventional_hydroelectric_1_storage,CEN_conventional_hydroelectric_1_storage,MIDAT_conventional_hydroelectric_1_storage,NE_conventional_hydroelectric_1_storage,NW_conventional_hydroelectric_1_storage,NCEN_conventional_hydroelectric_1_storage,SE_conventional_hydroelectric_1_storage,SW_conventional_hydroelectric_1_storage,TX_conventional_hydroelectric_1_storage,natgas_CA_to_SW_storage,natgas_NW_to_CA_storage,natgas_NW_to_SW_storage,natgas_NW_to_NCEN_storage,natgas_NW_to_CEN_storage,natgas_SW_to_CA_storage,natgas_SW_to_NW_storage,natgas_SW_to_TX_storage,natgas_SW_to_CEN_storage,natgas_TX_to_CEN_storage,natgas_NCEN_to_NW_storage,natgas_NCEN_to_CEN_storage,natgas_NCEN_to_SE_storage,natgas_NCEN_to_MIDAT_storage,natgas_CEN_to_NW_storage,natgas_CEN_to_SW_storage,natgas_CEN_to_TX_storage,natgas_CEN_to_NCEN_storage,natgas_CEN_to_SE_storage,natgas_SE_to_NCEN_storage,natgas_SE_to_CEN_storage,natgas_SE_to_MIDAT_storage,natgas_MIDAT_to_NCEN_storage,natgas_MIDAT_to_SE_storage,natgas_MIDAT_to_NE_storage,natgas_NE_to_MIDAT_storage
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.046654640789966e-11,1.0588595164036997e-11,1.0724955785335342e-11,9.632950514356027e-12,9.63336826899688e-12,9.597551822609691e-12,9.618317645925982e-12,9.743502063494775e-12,9.588453714542955e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.756295068432899e-10,6.447721293169802e-10,6.375180826228568e-10,6.109783238807864e-10,6.010726093298957e-10,6.013649696878875e-10,5.898485209295624e-10,5.781015111975286e-10,5.779057037604408e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5528.220345198832,14388.156584186529,73005.7262161423,20271.85943989201,17509.243177282977,59871.60393439774,52862.07979427045,27272.799195235042,30864.507053880283,160414.6660674232,2293.9232770883286,41641.715934337306,19365.785293039902,45558.324905429625,538.659209885187,20897.70584331309,83742.08153049409,78051.55196137303,205682.24147315483,32664.972293995284,67950.00635408408,66249.5507598761,67404.47604002006,75439.94679487338,64513.72075520512,11295.754129578765
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0230220318659322e-11,1.0348326010687844e-11,1.0477217126042958e-11,9.217716819909349e-12,9.230642623161827e-12,9.186304904941198e-12,9.224580909473914e-12,9.371798245636755e-12,9.263547643395867e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.701476139031784e-10,6.403122911117025e-10,6.332489205640456e-10,6.054892496782821e-10,5.964735591441694e-10,5.968091369996422e-10,5.85474583958861e-10,5.745846325061733e-10,5.746828019647012e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5526.556988012875,14387.68580771972,73016.50492431715,20270.998454185035,17507.62582576083,59878.568406292616,52849.62517850464,27274.878538881,30860.893550377205,160404.57750556155,2293.856799412531,41644.72153848087,19370.405062595364,45571.47810781836,538.6141482385843,20896.413554943847,83897.53396278157,78038.91363522204,205470.98439012718,32679.422030029964,67954.55294783691,66261.23745542199,67396.49554606022,75455.40663913466,64534.66267586971,11296.664690071086
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.004417249904982e-11,1.0156125779819644e-11,1.0280442249400269e-11,9.530128741972064e-12,9.546573009986974e-12,9.501210455407191e-12,9.513257501199704e-12,9.66297064888222e-12,9.544283198233059e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.636127298765651e-10,6.347645675581879e-10,6.279261455594094e-10,5.991507135833191e-10,5.907567755447827e-10,5.913437721855379e-10,5.796436331099734e-10,5.697015699770449e-10,5.715668964263806e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5524.387396037339,14386.875883590104,73030.63864694798,20270.148701738573,17506.153579775484,59883.327974386404,52846.4800657851,27273.464932994488,30856.38707987198,160369.92415957263,2293.7754975815046,41647.729130756816,19372.707656671973,45580.14460557806,538.568016444794,20894.184047595452,83996.30496223131,78044.42345945364,205364.9460926686,32686.713038085894,67960.92308091496,66265.78026080088,67395.05990330735,75455.39859707309,64538.72267435473,11296.10891943833
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.719040393336721e-12,9.823974909208335e-12,9.93877033350656e-12,9.200949238705614e-12,9.221309692665889e-12,9.170686410701565e-12,9.185846245116541e-12,9.343297087413864e-12,9.253211679991578e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.577923828324669e-10,6.298128377125997e-10,6.230221355397956e-10,5.942122736324186e-10,5.865699699937842e-10,5.872008152501417e-10,5.754486070283064e-10,5.663001933787696e-10,5.689347452038197e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5526.249660342748,14385.907577201146,73022.80255145073,20271.249343036132,17508.025319921548,59892.63193268536,52844.69748670739,27280.958629498404,30861.65100713682,160468.53414571233,2294.1846426414563,41653.41701961654,19373.987377230835,45593.841368124056,538.670721999623,20897.20489916753,83951.27794605299,78042.98152007857,205262.2243034733,32689.082355525585,67961.36869088457,66270.81828628105,67403.06982427616,75452.17681756182,64533.48352452419,11298.781412526603
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.410538600841338e-12,9.51105421255895e-12,9.615327109511621e-12,8.958099461881914e-12,8.979214661208664e-12,8.926061838158245e-12,8.93323986158379e-12,9.096615816566173e-12,9.028325410194062e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.519684775100077e-10,6.248034095233842e-10,6.180300874663582e-10,5.895990958993979e-10,5.826934396576202e-10,5.832977366025402e-10,5.716025115551349e-10,5.62980109405396e-10,5.665243474319855e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5527.221120221591,14385.548807513247,73026.00396567919,20272.010413780787,17508.96701925047,59900.56674830602,52845.11133415053,27286.451074367043,30864.90237141739,160483.15293529877,2294.4505218412214,41657.99297260177,19375.874063428833,45608.019815663894,538.7268096117207,20898.9109236304,83961.35238276038,78040.92857881404,205177.90681211083,32693.38687480541,67962.82085435373,66278.76544170878,67405.55043664695,75453.40501183245,64530.10367034958,11301.147403512408
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.174584077943031e-12,9.264404409518437e-12,9.36551965607548e-12,9.546324586573293e-12,9.55849847240075e-12,9.511347742765838e-12,9.448489254743563e-12,9.60727831851943e-12,9.505576399999832e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45500568898976e-10,6.191480363290525e-10,6.124560330314979e-10,5.841737877682384e-10,5.777793028849291e-10,5.784993374225333e-10,5.665266721211388e-10,5.583673437776575e-10,5.640954617773371e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5524.499563505794,14385.335201016533,73050.4554878889,20271.634009966237,17507.54348969139,59905.20123100744,52850.97764739389,27284.418885407093,30862.30267202669,160463.17076647002,2294.2401702234365,41660.32973726088,19379.4998846886,45617.53842676526,538.6439843281696,20897.300791551064,83981.33009602872,78039.51895549854,205139.461053917,32703.182783879947,67967.99250528224,66281.53711995407,67398.70207979828,75448.94083067495,64524.726164002626,11300.794825429704
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.840155640264213e-12,8.926166947627568e-12,9.020449864835442e-12,9.308691685478142e-12,9.323663082598226e-12,9.268475262649171e-12,9.192211522268298e-12,9.361246560639555e-12,9.275919833869087e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.400074237900752e-10,6.144260261252141e-10,6.077664294082754e-10,5.800040097973494e-10,5.742653700064088e-10,5.749426361236408e-10,5.62943310133472e-10,5.552882236334864e-10,5.617855164820615e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5526.595927875667,14385.509063744368,73044.470645885,20272.957817592673,17509.40318450853,59912.17547739149,52856.59309815363,27285.299562539134,30865.198714839877,160457.69439173216,2294.5389069658886,41658.82243736412,19376.53546246221,45616.44297953513,538.7271565001279,20899.1717825285,83942.05260230835,78043.88688248365,205192.31458305538,32694.850618850498,67964.4004907321,66278.39875828654,67408.28064094226,75442.70972152974,64512.10665272102,11300.140803129469
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.938459968128056e-12,9.032436324829014e-12,9.129059404971312e-12,8.821135556667731e-12,8.870880547739306e-12,8.78123755024033e-12,8.791972351350098e-12,8.979333930002231e-12,8.926018680876445e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.351759551578858e-10,6.104059661098087e-10,6.038964408248143e-10,5.757802595708684e-10,5.705859445805096e-10,5.71261986900976e-10,5.593975144335485e-10,5.521015899503709e-10,5.594829840830998e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5527.104325764537,14385.695768200028,73051.09556715486,20273.595130407182,17510.482249227633,59916.884530790776,52860.5505644268,27285.76683825159,30867.63433028091,160409.56255692928,2294.6580498458543,41663.4827572535,19377.02008176925,45619.65752407274,538.7606249644836,20900.716331251224,83908.52541703553,78047.28496664115,205231.42892502932,32695.43165173831,67968.25153349688,66277.75233540272,67414.85485099233,75441.14837659335,64510.58858222004,11301.344493917282
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.447563376224042e-12,9.556144527669818e-12,9.664900193552948e-12,8.887619421965558e-12,8.963364616877978e-12,8.848469348172936e-12,8.93791877159084e-12,9.130743996146534e-12,9.069393780270547e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.298147845533684e-10,6.060101980323678e-10,5.997431854446285e-10,5.705987895031939e-10,5.659416102457249e-10,5.667396753944199e-10,5.546667877835055e-10,5.478664922307473e-10,5.566491900746039e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5524.569632650177,14385.52466132539,73075.97630598159,20271.93034458224,17509.040121668557,59918.20491988173,52863.39444809984,27279.51811940382,30867.273780312626,160391.53797822984,2294.1148162471277,41669.98651189489,19380.228264512498,45619.56398616252,538.6606647300466,20900.479881007068,83859.18536577787,78056.60778078299,205235.22887292225,32703.926680997443,67978.31834699446,66280.16692072767,67407.03221451162,75446.71756746655,64522.278380871794,11299.81179591497
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.662590856601292e-12,9.776734229088555e-12,9.886178388578486e-12,8.599231431156143e-12,8.671143781782364e-12,8.556365411764416e-12,8.677606605741051e-12,8.870577797147637e-12,8.821449807080181e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.254790951713889e-10,6.024272218577893e-10,5.962617772683835e-10,5.674839635025578e-10,5.634065137049091e-10,5.641648916586302e-10,5.522914162761293e-10,5.458574790610242e-10,5.540913075626978e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5527.077083815597,14386.665471706207,73063.95813848422,20272.379294312523,17509.47758480101,59920.746714834786,52864.78383414922,27281.536762052427,30867.929015382233,160383.1206928798,2294.246918523041,41658.24470248148,19374.036348925314,45602.83003470017,538.695638687623,20900.71030717223,83880.13466142837,78058.31905437715,205278.58239365532,32688.28544943446,67964.62473490466,66273.95998873097,67411.63455309327,75448.42512056495,64530.84652061943,11298.027343941036
