zone,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,Total
CA,2.3381252954506566e-5,8.503300193894092e-6,6.616977395338205e-6,5.095289432940311e-6,1.271924113479507e-6,0.0,4.486874409015868e-5
NW,2.155373685924079e-5,8.143075000739888e-6,6.073193750848451e-6,2.6652196643692006e-6,1.2999642719297162e-6,0.0,3.9735189547128046e-5
SW,2.179772848738304e-5,8.175596308317598e-6,5.863153530680874e-6,2.9479140134632018e-6,1.3107611258512577e-6,0.0,4.009515346569596e-5
TX,2.2951017312197494e-5,9.168543829002062e-6,7.068793050697852e-6,5.1939876578655276e-5,1.3309099732861674e-6,0.0,9.245914074383884e-5
NCEN,2.7623219501704346e-5,1.0152471762589441e-5,7.013988637985913e-6,3.340098409283508e-6,1.3091630893065776e-6,0.0,4.9438941400869785e-5
CEN,3.330077702369733e-5,1.218161777542608e-5,6.503303993972014e-6,3.5789001213827654e-6,1.3245467953876942e-6,0.0,5.6889145709865875e-5
SE,2.8127643056977114e-5,1.0458353518027093e-5,6.17294972597188e-6,2.932711003764154e-6,1.3190613594820656e-6,0.0,4.90107186642223e-5
MIDAT,2.6203739491214733e-5,9.336275798178308e-6,4.926247458196088e-6,2.9252550139192865e-6,1.3018543138223768e-6,0.0,4.469337207533079e-5
NE,2.3797870513827065e-5,8.418017678518402e-6,4.66112682833803e-6,2.575890612257273e-6,1.3636452590652513e-6,0.0,4.0816550892006014e-5
co2_sink_CA_Bio_H2_Herb_transforms,0.0,0.0,1.4504766752138097e-7,0.0,0.0,0.0,1.4504766752138097e-7
CA_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,1.471070085871058e-7,0.0,0.0,0.0,1.471070085871058e-7
co2_sink_NW_Bio_H2_Herb_transforms,0.0,0.0,4.8472079711950145e-8,0.0,0.0,0.0,4.8472079711950145e-8
NW_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,4.9158277420020446e-8,0.0,0.0,0.0,4.9158277420020446e-8
co2_sink_SW_Bio_H2_Herb_transforms,0.0,0.0,4.649958834897077e-8,0.0,0.0,0.0,4.649958834897077e-8
SW_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,4.716402166182692e-8,0.0,0.0,0.0,4.716402166182692e-8
co2_sink_TX_Bio_H2_Herb_transforms,0.0,0.0,5.764275252245052e-8,0.0,0.0,0.0,5.764275252245052e-8
TX_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,5.8464488485329646e-8,0.0,0.0,0.0,5.8464488485329646e-8
co2_sink_NCEN_Bio_H2_Herb_transforms,0.0,0.0,6.108122838321545e-8,0.0,0.0,0.0,6.108122838321545e-8
NCEN_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,6.193897085490558e-8,0.0,0.0,0.0,6.193897085490558e-8
co2_sink_CEN_Bio_H2_Herb_transforms,0.0,0.0,5.7222894906255e-8,0.0,0.0,0.0,5.7222894906255e-8
CEN_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,5.80343844877279e-8,0.0,0.0,0.0,5.80343844877279e-8
co2_sink_SE_Bio_H2_Herb_transforms,0.0,0.0,5.9190945145194374e-8,0.0,0.0,0.0,5.9190945145194374e-8
SE_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,6.003327730165394e-8,0.0,0.0,0.0,6.003327730165394e-8
co2_sink_MIDAT_Bio_H2_Herb_transforms,0.0,0.0,5.988335138125235e-8,0.0,0.0,0.0,5.988335138125235e-8
MIDAT_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,6.0726210088548e-8,0.0,0.0,0.0,6.0726210088548e-8
co2_sink_NE_Bio_H2_Herb_transforms,0.0,0.0,6.245360947301825e-8,0.0,0.0,0.0,6.245360947301825e-8
NE_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,6.332811088053347e-8,0.0,0.0,0.0,6.332811088053347e-8
co2_sink_CA_Bio_H2_Wood_transforms,0.0,0.0,6.418298144112032e-8,0.0,0.0,0.0,6.418298144112032e-8
CA_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,6.50339097121779e-8,0.0,0.0,0.0,6.50339097121779e-8
co2_sink_NW_Bio_H2_Wood_transforms,0.0,0.0,6.670515961192864e-8,0.0,0.0,0.0,6.670515961192864e-8
NW_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,6.760168780150801e-8,0.0,0.0,0.0,6.760168780150801e-8
co2_sink_SW_Bio_H2_Wood_transforms,0.0,0.0,6.71644985303733e-8,0.0,0.0,0.0,6.71644985303733e-8
SW_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,6.80772414863253e-8,0.0,0.0,0.0,6.80772414863253e-8
co2_sink_TX_Bio_H2_Wood_transforms,0.0,0.0,9.3895637230773e-8,0.0,0.0,0.0,9.3895637230773e-8
TX_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,9.515553082762342e-8,0.0,0.0,0.0,9.515553082762342e-8
co2_sink_NCEN_Bio_H2_Wood_transforms,0.0,0.0,1.0827962183959613e-7,0.0,0.0,0.0,1.0827962183959613e-7
