time,CA_onshore_wind_turbine_1,CA_solar_photovoltaic_1,CEN_onshore_wind_turbine_1,CEN_solar_photovoltaic_1,MIDAT_onshore_wind_turbine_1,MIDAT_solar_photovoltaic_1,NE_onshore_wind_turbine_1,NE_solar_photovoltaic_1,NW_onshore_wind_turbine_1,NW_solar_photovoltaic_1,NCEN_onshore_wind_turbine_1,NCEN_solar_photovoltaic_1,SE_solar_photovoltaic_1,SW_onshore_wind_turbine_1,SW_solar_photovoltaic_1,TX_onshore_wind_turbine_1,TX_solar_photovoltaic_1,CA_offshorewind_class10_moderate_floating_1_1,NW_offshorewind_class10_moderate_floating_1_1,NE_offshorewind_class10_moderate_floating_1_1,CA_utilitypv_class1_moderate_70_0_2_1,CA_utilitypv_class1_moderate_70_0_2_2,CA_utilitypv_class1_moderate_70_0_2_3,NW_utilitypv_class1_moderate_70_0_2_1,NW_utilitypv_class1_moderate_70_0_2_2,NW_utilitypv_class1_moderate_70_0_2_3,NW_utilitypv_class1_moderate_70_0_2_4,SW_utilitypv_class1_moderate_70_0_2_1,SW_utilitypv_class1_moderate_70_0_2_2,SW_utilitypv_class1_moderate_70_0_2_3,SW_utilitypv_class1_moderate_70_0_2_4,SW_utilitypv_class1_moderate_70_0_2_5,TX_utilitypv_class1_moderate_70_0_2_1,TX_utilitypv_class1_moderate_70_0_2_2,TX_utilitypv_class1_moderate_70_0_2_3,NCEN_utilitypv_class1_moderate_70_0_2_1,NCEN_utilitypv_class1_moderate_70_0_2_2,NCEN_utilitypv_class1_moderate_70_0_2_3,NCEN_utilitypv_class1_moderate_70_0_2_4,NCEN_utilitypv_class1_moderate_70_0_2_5,NCEN_utilitypv_class1_moderate_70_0_2_6,NCEN_utilitypv_class1_moderate_70_0_2_7,CEN_utilitypv_class1_moderate_70_0_2_1,CEN_utilitypv_class1_moderate_70_0_2_2,CEN_utilitypv_class1_moderate_70_0_2_3,CEN_utilitypv_class1_moderate_70_0_2_4,CEN_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,NE_utilitypv_class1_moderate_70_0_2_1,NE_utilitypv_class1_moderate_70_0_2_2,NE_utilitypv_class1_moderate_70_0_2_3,NE_utilitypv_class1_moderate_70_0_2_4,NE_utilitypv_class1_moderate_70_0_2_5,NE_utilitypv_class1_moderate_70_0_2_6,NE_utilitypv_class1_moderate_70_0_2_7,CA_landbasedwind_class4_moderate_70_1,CA_landbasedwind_class4_moderate_70_2,CA_landbasedwind_class4_moderate_70_3,NW_landbasedwind_class4_moderate_70_1,NW_landbasedwind_class4_moderate_70_2,NW_landbasedwind_class4_moderate_70_3,NW_landbasedwind_class4_moderate_70_4,NW_landbasedwind_class4_moderate_70_5,SW_landbasedwind_class4_moderate_70_1,SW_landbasedwind_class4_moderate_70_2,SW_landbasedwind_class4_moderate_70_3,SW_landbasedwind_class4_moderate_70_4,SW_landbasedwind_class4_moderate_70_5,TX_landbasedwind_class4_moderate_70_1,TX_landbasedwind_class4_moderate_70_2,TX_landbasedwind_class4_moderate_70_3,NCEN_landbasedwind_class4_moderate_70_1,NCEN_landbasedwind_class4_moderate_70_2,NCEN_landbasedwind_class4_moderate_70_3,NCEN_landbasedwind_class4_moderate_70_4,NCEN_landbasedwind_class4_moderate_70_5,NCEN_landbasedwind_class4_moderate_70_6,NCEN_landbasedwind_class4_moderate_70_7,CEN_landbasedwind_class4_moderate_70_1,CEN_landbasedwind_class4_moderate_70_2,CEN_landbasedwind_class4_moderate_70_3,CEN_landbasedwind_class4_moderate_70_4,CEN_landbasedwind_class4_moderate_70_5,CEN_landbasedwind_class4_moderate_70_6,CEN_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7,NE_landbasedwind_class4_moderate_70_1,NE_landbasedwind_class4_moderate_70_2,NE_landbasedwind_class4_moderate_70_3,NE_landbasedwind_class4_moderate_70_4,NE_landbasedwind_class4_moderate_70_5,NE_landbasedwind_class4_moderate_70_6,NE_landbasedwind_class4_moderate_70_7
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4512815706488565e-13,4.3621183987588836e-13,4.770770291229296e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4397819694159054e-13,2.819975741398072e-14,2.3594341480516696e-15,6.029561214606621e-13,7.758899372289455e-13,4.891785739168497e-13,6.244113625767054e-13,7.999418845483859e-13,3.171326858546686e-13,6.518830577733046e-13,5.373801946006407e-13,3.5616890663593576e-13,5.058954516039277e-13,5.3342266390027e-13,3.710812699393102e-13,4.1416056861641e-13,6.365353173049231e-13,4.3246758919069567e-13,4.1538974704742704e-13,5.865606635377141e-13,5.828046199496752e-13,1.18389778082218e-12,6.294237339023784e-13,5.634214788529076e-13,6.909090260183322e-13,8.57837545939194e-13,5.40247593653761e-13,9.264475149627874e-13,5.369603866396409e-13,1.2482618172890866e-12,6.095471123444827e-13,9.840036719002614e-13,6.603268376462656e-13,2.2113325916325726e-13,5.624035928422795e-13,5.529290643146004e-13,5.230248305894701e-13,1.309520639524201e-13,6.496298630784124e-13,5.476019992943448e-13,4.929284012590912e-13,5.431897477784763e-13,5.05301865584681e-13,5.752411330285639e-13,4.62714395366934e-13,4.82338435759507e-13,5.126314133093615e-13,4.996576890735283e-13,4.725720795070497e-13,4.267586077148188e-13,5.523078100411576e-13,4.6964707667181e-13
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4990256316883148e-13,4.951916387816616e-13,4.658804459464574e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.400286957212116e-13,2.9099447570182404e-14,1.180458959335587e-15,5.894280548543615e-13,7.327199763083858e-13,4.696567818769591e-13,5.938316203139542e-13,7.759563307012403e-13,2.715363530850951e-13,6.562684179897666e-13,5.448392109007197e-13,3.6350317845472774e-13,5.061562395860614e-13,5.060896150666886e-13,3.470571866994244e-13,4.0589389592630636e-13,5.979750046432073e-13,4.806495655002032e-13,4.717557220885241e-13,5.630023929619007e-13,5.199079091827529e-13,1.200120220706303e-12,6.495117957204974e-13,5.88708966018708e-13,6.969483523558775e-13,9.18946620032431e-13,5.120400117118612e-13,8.896292531238384e-13,5.588337397142366e-13,1.4951452635009805e-12,5.997691809934e-13,1.0233359830947758e-12,6.23043533977683e-13,2.1855093010897073e-13,5.17749689045247e-13,5.344508724542661e-13,4.94727681801092e-13,1.0700004753654729e-13,6.036205897274323e-13,5.987273929689296e-13,4.985182970472253e-13,4.787535330491923e-13,5.025511857313566e-13,5.659381591065033e-13,3.6960244264794476e-13,4.643130919875653e-13,5.141534528811308e-13,4.633620386167675e-13,4.648629820669645e-13,4.014027327380378e-13,5.366224977525228e-13,4.649393317984717e-13
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.092138736924631e-13,5.310613286057331e-13,4.790635468085355e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.387323557114972e-13,2.5897238061088777e-14,1.1804127776026794e-15,5.780770518392771e-13,7.167278872709117e-13,4.550877132221086e-13,5.747102389006815e-13,7.546161995047479e-13,2.414587016719877e-13,6.515673137615137e-13,5.61462962901864e-13,3.7841685065193113e-13,5.056554084158374e-13,5.079257240075105e-13,3.3578822157430794e-13,4.06845752521216e-13,6.404207063368637e-13,5.132362834563072e-13,5.624840650959952e-13,5.786737708527262e-13,5.343754893112652e-13,1.1954605986502026e-12,6.699836941883983e-13,6.171230480416033e-13,8.239808432927405e-13,9.240960701355267e-13,5.578229035911612e-13,1.2916518961238994e-12,6.447546631726391e-13,1.7425116020754407e-12,6.321661396305033e-13,1.1855830161126762e-12,6.654803747447464e-13,2.1615289280565781e-13,4.4482687125849553e-13,5.646487670626343e-13,5.337625693069628e-13,9.619652681487715e-14,6.039148319003636e-13,7.15829827378667e-13,5.665530380424095e-13,4.516636386406649e-13,5.626945781689698e-13,5.720352171759095e-13,2.890812906436491e-13,5.007743361715243e-13,5.051187375330471e-13,4.978975395975054e-13,4.721307456527191e-13,4.3325452292437946e-13,5.351903696740172e-13,4.974356547274586e-13
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6737195108817043e-13,5.285855391772106e-13,4.630446200693636e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4338056904223307e-13,2.945750306158109e-14,1.3783224304915434e-15,5.622041383840664e-13,6.987459416289812e-13,4.414947801701061e-13,5.488300434285487e-13,7.317622906466478e-13,2.4470737738600427e-13,6.352972548275783e-13,5.669182401079369e-13,3.902336367980358e-13,4.937857026857749e-13,5.342983895556375e-13,3.3385876025676115e-13,3.81539319012149e-13,6.158076753121196e-13,5.033463194211674e-13,6.046923252761431e-13,5.63430750817213e-13,4.889586679863756e-13,1.1571748253165928e-12,6.407843414910722e-13,6.135289696416281e-13,8.857439165643298e-13,8.038459039826716e-13,5.527501677032105e-13,1.5918323191647382e-12,6.603940482566382e-13,1.7279185241248669e-12,6.197134539249635e-13,1.159439786497437e-12,6.537592483861765e-13,1.960642284174106e-13,3.5141515836895083e-13,5.419615760096938e-13,4.945704882701708e-13,8.507793346686143e-14,6.917132663957819e-13,7.421068166427448e-13,6.227011758083893e-13,4.769437238243733e-13,5.579935092341614e-13,5.331612142005622e-13,2.082331473184706e-13,4.795528617171951e-13,4.908948017957971e-13,4.66465583181698e-13,4.510535681236886e-13,4.2297498672402443e-13,5.262030337985603e-13,4.738006168014505e-13
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9398073448533836e-13,5.236532891338202e-13,4.638110361306033e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5408335409108213e-13,3.5347089618777454e-14,1.5738223592727503e-15,5.57141254657203e-13,7.06973131926392e-13,4.3165982182793734e-13,5.37607279869665e-13,7.242281650109667e-13,2.5594557595483523e-13,6.249696507766989e-13,5.70986236012737e-13,4.0343095485376797e-13,4.867918721161516e-13,5.679931347111437e-13,3.5846662176969174e-13,3.6672456277027085e-13,6.149389258823646e-13,4.951894998504501e-13,6.17073224017041e-13,5.647948680014559e-13,4.826132768050922e-13,1.149449539858282e-12,6.300070571400679e-13,6.191760373649902e-13,9.4320693574032e-13,6.845112025014472e-13,5.841598272009015e-13,1.7393392625172768e-12,6.297432899460058e-13,1.7329066348524467e-12,6.253816151461653e-13,1.1617517213641e-12,6.739241709203028e-13,2.017906223007324e-13,2.7096930372213363e-13,5.396192694935997e-13,4.885242237617971e-13,8.77053762454776e-14,7.735441113154122e-13,7.779657933723662e-13,6.435271697532331e-13,5.412973279134515e-13,5.822948809929853e-13,5.171442127683344e-13,1.6029507999916122e-13,4.86620710040684e-13,4.825759527618141e-13,4.697944175850329e-13,4.506566320076416e-13,4.3413652134101343e-13,5.245294685443942e-13,4.791884679938251e-13
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4636595902941383e-13,5.244875135737213e-13,4.818001475062975e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6031748919368111e-13,3.998225564355308e-14,2.0646330176348728e-15,5.600409115051625e-13,7.090682349668431e-13,4.32908804796355e-13,5.340178624291292e-13,7.262165645307948e-13,2.8218192528819976e-13,6.183246285050853e-13,5.910890601785987e-13,4.168790839104148e-13,4.870486674626596e-13,6.030854926486676e-13,3.8273597246962113e-13,3.577184215145793e-13,6.413758429992064e-13,5.084231940620232e-13,6.388300457000785e-13,5.820270854510906e-13,5.217323337371883e-13,1.0910314062245636e-12,6.623794094356851e-13,6.371680441864695e-13,9.152475677439559e-13,5.752577080222508e-13,6.435695421048115e-13,1.7545267289641164e-12,6.239953346450046e-13,1.8186439097220838e-12,6.539750694974249e-13,1.1856560776033686e-12,7.362666996193884e-13,2.313733406945623e-13,2.0591432468401867e-13,5.649694655491015e-13,5.299218365229463e-13,9.449264033044145e-14,9.085579475965495e-13,8.200742261782099e-13,6.983290958794585e-13,6.041576494654919e-13,6.397801652476161e-13,5.004956545155614e-13,1.0993753671350086e-13,5.193493431175126e-13,5.221267672881783e-13,5.124234516478027e-13,5.010922892765068e-13,4.669712832245869e-13,5.253219593306178e-13,5.172050274955542e-13
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.177249565121486e-13,5.248747337008001e-13,4.631204402730317e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.119581751246399e-14,1.8809611505934246e-13,4.7132623256184294e-14,0.0,0.0,3.3127983798886794e-14,2.207205850210502e-14,5.161978488950432e-15,4.0777651355529794e-14,3.277375345015585e-14,5.223174099267983e-14,1.6052575171517956e-15,6.909915528323682e-14,2.6893856260989966e-14,3.158914517962343e-14,1.6442067504688248e-13,1.7170058928199594e-13,1.658160114432995e-13,1.5986682644718302e-13,5.618535078834682e-14,2.2522047159268816e-13,8.965513274414253e-14,1.7029633295672624e-13,4.5761373310841865e-14,2.260838521869883e-15,5.596631428008479e-13,7.104889412307477e-13,4.284364419425414e-13,5.250172553281051e-13,7.279568400818761e-13,3.1389382760650273e-13,6.058985532816315e-13,5.947015401619443e-13,4.357426903414123e-13,4.873867600908158e-13,5.940044953088179e-13,4.019888883368658e-13,3.2552731698048396e-13,6.145933957611494e-13,4.699902706194165e-13,6.072736710240334e-13,5.507360868461629e-13,4.816438282699542e-13,9.285671703222495e-13,5.942174668749777e-13,6.089230285461305e-13,8.895747452766421e-13,5.375919628570099e-13,6.277979124218393e-13,1.7283848658210085e-12,5.97812172931882e-13,1.6093554210943182e-12,6.277239493391319e-13,9.782114210903762e-13,7.309160619120519e-13,2.717055070975967e-13,1.710342885068815e-13,5.260395925652047e-13,4.889985996355195e-13,1.0122055009567079e-13,8.639958959227512e-13,7.93615208016207e-13,6.823718020403657e-13,6.0274698269253e-13,6.258672259666341e-13,4.640631514715965e-13,8.515310683477749e-14,4.85615420276551e-13,4.90598126147567e-13,4.791693722274795e-13,4.779114798148285e-13,4.5058431289012466e-13,5.128901353432719e-13,4.969970243868979e-13
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.154865535729914e-13,5.418765581837547e-13,4.59723109716127e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.840379773231862e-14,1.2864076247877425e-13,8.384662474469933e-14,1.2154644496008024e-14,3.705161323454411e-14,8.733613736309235e-14,4.6206423844128696e-14,2.2220338328101076e-15,0.0,1.6885490295961732e-14,5.779969317376287e-15,4.665826983845346e-13,7.038274603863033e-14,3.954404015579251e-14,0.0,4.798904670968086e-13,6.564499828379508e-13,4.628733454550783e-13,2.2066773427135333e-13,4.2062915881867077e-13,2.6199591237718585e-13,2.6408029932366584e-13,2.060831284638014e-13,2.61145347262583e-13,2.602590583045995e-13,3.527501133990461e-13,2.0359038001177077e-13,4.144590543148462e-13,2.485944519815444e-13,3.7537776156612186e-13,4.4992274640204236e-13,4.5207795775127713e-13,4.3134443220260974e-13,4.656457501007275e-13,3.4501606190255247e-13,5.132396727667462e-13,3.9821026170113005e-13,1.8879394128233752e-13,5.6243675522546963e-14,2.5555553027813028e-15,5.812593423231939e-13,7.397480587709487e-13,4.312739811201796e-13,5.294282343936071e-13,7.608535886541104e-13,3.5681089482806017e-13,6.167846831830656e-13,6.192881732844246e-13,4.662910316824256e-13,5.041714953323908e-13,5.834993450422511e-13,4.1527132063157564e-13,3.0281109375773596e-13,6.010055481610312e-13,4.5017931385035903e-13,5.849951332447556e-13,5.499046006165066e-13,4.805223034239669e-13,8.721992024393062e-13,5.133360663695845e-13,5.851597957239054e-13,8.842735657545808e-13,4.960784901600713e-13,5.919566034896891e-13,1.7346770813138886e-12,5.983888174468078e-13,1.2584890920286261e-12,6.204857087649009e-13,9.346006933919224e-13,7.608772123727195e-13,3.0259190658944245e-13,1.5920725002705368e-13,5.088283626296931e-13,4.849564972380888e-13,1.175053885581109e-13,8.63966829058261e-13,7.592046922822067e-13,6.7554583230576e-13,5.945022869850963e-13,6.292264356777761e-13,4.3423678394167857e-13,8.755933445547225e-14,5.012431466763772e-13,5.076642658806059e-13,4.819959777802137e-13,4.850701593793418e-13,4.4816950272890864e-13,5.000018719864002e-13,4.861673199330052e-13
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2482806685519217e-13,5.580867202818287e-13,4.665502028385385e-13,4.22248384513762e-15,2.9846734803322096e-15,0.0,0.0,0.0,0.0,0.0,1.001167852109118e-13,1.1033431492813644e-13,2.2582819728722001e-13,1.8865591860699768e-15,1.1904868368032639e-14,6.289603957539038e-13,5.947202509370675e-13,4.964294292765531e-13,1.5942142297468826e-13,1.5799656270124073e-13,2.6742637188198815e-13,1.4935405916735715e-13,1.1850576700632528e-13,8.54241627819615e-15,1.7513475297245243e-13,1.1183262940707365e-13,5.147614853636172e-13,3.902623938530003e-13,4.356017349847696e-13,1.6078341402371425e-14,5.417985061024134e-13,6.156188291355665e-13,5.547899672326782e-13,4.164275699789013e-13,5.361287623932918e-13,4.1186591985312916e-13,4.385777997438346e-13,4.65814157917726e-13,3.989374462292205e-13,3.855769258883503e-13,4.4567660045238644e-13,3.848512831016196e-13,4.4989470109148794e-13,3.9177512879742563e-13,4.414673971553338e-13,4.690371151605955e-13,4.726956659299809e-13,4.632263840182285e-13,4.842593475166396e-13,4.2609786442619865e-13,4.597909869233062e-13,4.541472070773077e-13,2.088589544467197e-13,6.777643170302421e-14,2.6538793368412343e-15,6.059000892750493e-13,7.668932351830611e-13,4.355466677411052e-13,5.092684199590981e-13,7.924586019113046e-13,3.996065756261634e-13,6.395282880189549e-13,6.42972653463906e-13,4.907472420202699e-13,5.30619556751397e-13,5.95719557928119e-13,4.2105767128067153e-13,2.9839717464955714e-13,6.188696085847792e-13,4.953239539109881e-13,6.165047420139516e-13,5.640470340744756e-13,5.353419710352134e-13,9.097973562870938e-13,5.07641598731919e-13,6.202521476799352e-13,9.529487998476308e-13,3.9284875006419785e-13,6.074698230822665e-13,1.7393796490895221e-12,6.240397901810819e-13,1.2475996212883746e-12,4.888991934932875e-13,1.2334257770406064e-12,8.339759793168667e-13,2.2421913328420558e-13,8.434723595189259e-14,5.405766220230131e-13,5.64464748335268e-13,1.1450655570823614e-13,9.047220285834944e-13,6.39024743175273e-13,6.707169260383864e-13,5.846801918293894e-13,5.996487534808332e-13,4.041316799807404e-13,3.916402050784775e-14,5.299169224453679e-13,6.45398449467748e-13,5.400708582939011e-13,5.661127307903045e-13,4.4664452540268367e-13,6.51598702007753e-13,4.887365568646279e-13
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9621516734131903e-13,5.130529662274974e-13,4.599715268749276e-13,2.582776092811257e-13,1.5742328705368712e-13,6.87670806889729e-14,1.2820492574704897e-13,4.567351972702529e-14,4.103715338628173e-14,2.2964313675654756e-14,6.25794186386305e-13,4.715244878527036e-13,6.235041446018329e-13,2.293921745835265e-13,3.1448213980581696e-13,5.541722316846052e-13,5.01714157493303e-13,4.955076651477426e-13,2.717007149417928e-13,2.3549271004651363e-13,3.180726035056764e-13,1.8842190637084603e-13,3.042022253489005e-13,7.833530451374773e-14,3.6146649913226095e-13,2.447128278536394e-13,4.700005455100609e-13,4.368359492733653e-13,5.405419732044005e-13,8.931851334806323e-14,4.886081448430596e-13,5.992126880750801e-13,5.262369040952002e-13,4.151721596762358e-13,5.025628822158902e-13,4.4341181037997796e-13,4.936373280873365e-13,4.719678855933172e-13,4.4533922857633916e-13,4.2428791564875934e-13,4.4248085560529797e-13,3.837858091056358e-13,4.4281984466404956e-13,4.208327879079155e-13,4.309268772712076e-13,4.678404130988077e-13,4.69887363096492e-13,4.489174186495743e-13,4.783988979243726e-13,4.1532740880092214e-13,4.661721781665729e-13,4.4092837359135473e-13,2.2086750025566547e-13,7.42977451347214e-14,3.830933066518902e-15,5.877676352100525e-13,7.508596650611464e-13,4.256690053135996e-13,4.575760031450266e-13,7.76631223909322e-13,4.209665133846567e-13,6.432486588921873e-13,6.310882549842637e-13,4.854585533217277e-13,5.447739472778158e-13,6.003561163436242e-13,3.426890210070402e-13,2.817600613025942e-13,6.088768902749748e-13,4.684536482765492e-13,6.226871971751641e-13,5.574995911012259e-13,6.174719215765883e-13,9.534428198612633e-13,6.496588732012728e-13,4.124371454556549e-13,9.489568027501455e-13,1.1888371495493813e-13,4.848581923307208e-13,1.6571901994915091e-12,6.277847658608061e-13,1.3028888636484382e-12,4.2749676646969075e-13,1.1910912918443153e-12,7.609980643586104e-13,4.55468369318561e-14,3.6583605303338495e-14,5.495530180758613e-13,6.12775179801328e-13,2.41356187950341e-14,8.836141398376153e-13,6.053895553447139e-13,6.287318304952719e-13,5.242445223218666e-13,4.34045793782736e-13,3.6190061372137787e-13,1.7183033227147404e-14,4.1956705211416026e-13,5.913033382038386e-13,5.478153306336082e-13,5.524238942701966e-13,3.5221269607647345e-13,4.774144766841882e-13,4.510846345507798e-13
