id,commodity,elec_production,elec_consumption,ethanol_production,natgas_consumption,co2_biomass_content,capture_rate,emission_rate,investment_cost,fixed_om_cost,variable_om_cost
SE_Biochemical_CCS_20,Biomass_Agri,0.1227,0,1.5509,0.0,1.32,0.19,0.77,658128.84,195838.97,55.71
SE_Biochemical_CCS_86,Biomass_Agri,0.1227,0.26,1.5509,0.0,1.32,0.83,0.13,727064.6,233553.61,56.9
MIDAT_Biochemical_CCS_20,Biomass_Agri,0.1227,0,1.5509,0.0,1.32,0.19,0.77,658128.84,195838.97,55.71
MIDAT_Biochemical_CCS_86,Biomass_Agri,0.1227,0.26,1.5509,0.0,1.32,0.83,0.13,727064.6,233553.61,56.9
NE_Biochemical_CCS_20,Biomass_Agri,0.1227,0,1.5509,0.0,1.32,0.19,0.77,658128.84,195838.97,55.71
NE_Biochemical_CCS_86,Biomass_Agri,0.1227,0.26,1.5509,0.0,1.32,0.83,0.13,727064.6,233553.61,56.9
CA_Biochemical_CCS_20,Biomass_Agri,0.1227,0,1.5509,0.0,1.32,0.19,0.77,658128.84,195838.97,55.71
CA_Biochemical_CCS_86,Biomass_Agri,0.1227,0.26,1.5509,0.0,1.32,0.83,0.13,727064.6,233553.61,56.9
NW_Biochemical_CCS_20,Biomass_Agri,0.1227,0,1.5509,0.0,1.32,0.19,0.77,658128.84,195838.97,55.71
NW_Biochemical_CCS_86,Biomass_Agri,0.1227,0.26,1.5509,0.0,1.32,0.83,0.13,727064.6,233553.61,56.9
SW_Biochemical_CCS_20,Biomass_Agri,0.1227,0,1.5509,0.0,1.32,0.19,0.77,658128.84,195838.97,55.71
SW_Biochemical_CCS_86,Biomass_Agri,0.1227,0.26,1.5509,0.0,1.32,0.83,0.13,727064.6,233553.61,56.9
NCEN_Biochemical_CCS_20,Biomass_Agri,0.1227,0,1.5509,0.0,1.32,0.19,0.77,658128.84,195838.97,55.71
NCEN_Biochemical_CCS_86,Biomass_Agri,0.1227,0.26,1.5509,0.0,1.32,0.83,0.13,727064.6,233553.61,56.9
CEN_Biochemical_CCS_20,Biomass_Agri,0.1227,0,1.5509,0.0,1.32,0.19,0.77,658128.84,195838.97,55.71
CEN_Biochemical_CCS_86,Biomass_Agri,0.1227,0.26,1.5509,0.0,1.32,0.83,0.13,727064.6,233553.61,56.9
TX_Biochemical_CCS_20,Biomass_Agri,0.1227,0,1.5509,0.0,1.32,0.19,0.77,658128.84,195838.97,55.71
TX_Biochemical_CCS_86,Biomass_Agri,0.1227,0.26,1.5509,0.0,1.32,0.83,0.13,727064.6,233553.61,56.9
