time,co2_CA_to_NW_storage,co2_NW_to_CA_storage,co2_CA_to_SW_storage,co2_SW_to_CA_storage,co2_NW_to_SW_storage,co2_SW_to_NW_storage,co2_SW_to_CEN_storage,co2_CEN_to_SW_storage,co2_TX_to_CEN_storage,co2_CEN_to_TX_storage,co2_NCEN_to_CEN_storage,co2_CEN_to_NCEN_storage,co2_NCEN_to_SE_storage,co2_SE_to_NCEN_storage,co2_NCEN_to_MIDAT_storage,co2_MIDAT_to_NCEN_storage,co2_CEN_to_SE_storage,co2_SE_to_CEN_storage,co2_SE_to_MIDAT_storage,co2_MIDAT_to_SE_storage,co2_MIDAT_to_NE_storage,co2_NE_to_MIDAT_storage,CA_battery_moderate_0_storage,NW_battery_moderate_0_storage,SW_battery_moderate_0_storage,TX_battery_moderate_0_storage,NCEN_battery_moderate_0_storage,CEN_battery_moderate_0_storage,SE_battery_moderate_0_storage,MIDAT_battery_moderate_0_storage,NE_battery_moderate_0_storage,CA_hydroelectric_pumped_storage_1_storage,CEN_hydroelectric_pumped_storage_1_storage,MIDAT_hydroelectric_pumped_storage_1_storage,NE_hydroelectric_pumped_storage_1_storage,NW_hydroelectric_pumped_storage_1_storage,NCEN_hydroelectric_pumped_storage_1_storage,SE_hydroelectric_pumped_storage_1_storage,SW_hydroelectric_pumped_storage_1_storage,h2_CA_to_NW_storage,h2_NW_to_CA_storage,h2_CA_to_SW_storage,h2_SW_to_CA_storage,h2_NW_to_SW_storage,h2_SW_to_NW_storage,h2_SW_to_CEN_storage,h2_CEN_to_SW_storage,h2_TX_to_CEN_storage,h2_CEN_to_TX_storage,h2_NCEN_to_CEN_storage,h2_CEN_to_NCEN_storage,h2_NCEN_to_SE_storage,h2_SE_to_NCEN_storage,h2_NCEN_to_MIDAT_storage,h2_MIDAT_to_NCEN_storage,h2_CEN_to_SE_storage,h2_SE_to_CEN_storage,h2_SE_to_MIDAT_storage,h2_MIDAT_to_SE_storage,h2_MIDAT_to_NE_storage,h2_NE_to_MIDAT_storage,CA_Above_ground_storage_storage,NW_Above_ground_storage_storage,SW_Above_ground_storage_storage,TX_Above_ground_storage_storage,NCEN_Above_ground_storage_storage,CEN_Above_ground_storage_storage,SE_Above_ground_storage_storage,MIDAT_Above_ground_storage_storage,NE_Above_ground_storage_storage,CA_conventional_hydroelectric_1_storage,CEN_conventional_hydroelectric_1_storage,MIDAT_conventional_hydroelectric_1_storage,NE_conventional_hydroelectric_1_storage,NW_conventional_hydroelectric_1_storage,NCEN_conventional_hydroelectric_1_storage,SE_conventional_hydroelectric_1_storage,SW_conventional_hydroelectric_1_storage,TX_conventional_hydroelectric_1_storage
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5131639939409215,1.5574334039743876,0.5243196416316097,2.4139376902425975,1.9292316922860342,3.0320575133376697,1.5654221731530868,1.6304342988865965,1.4932347697145627,2.6967271666678684e6,2.776815112528992e6,2.784546182741354e6,2.74984920589645e6,2.7615564501521713e6,2.77206139654069e6,2.8541556969463355e6,2.755626223684771e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61774.031950512974,18381.545540035313,32248.539369016624,274015.8341372158,438977.0750653129,604425.5010009385,815317.6737415066,185908.805120198,198273.78466985174,1.5333107963021384e6,1.5704243233053337e6,1.5556526594209922e6,1.5242395583742626e6,1.4963792284479921e6,1.5521004428873067e6,1.609028801228038e6,1.542993413860486e6,1.5531319832918404e6
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7571390708473421,1.6043103573889395,0.8056118837002241,2.2698484146504563,2.035679027575559,3.154753367124148,1.8336976372029363,1.7594530721577437,1.526356600995932,2.700140463686547e6,2.776816010375516e6,2.789086679197954e6,2.7526258835453894e6,2.761828200734449e6,2.773790646526629e6,2.8595768387061995e6,2.7563002994272118e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63948.249412317775,19801.308982633105,32249.30329060517,266781.3063460285,447434.8675108969,606165.8463311451,827290.0568616167,191603.36189986614,213148.66808515924,1.534031263496611e6,1.5688903065905168e6,1.5563739281776855e6,1.5267274033870562e6,1.5008457095699722e6,1.5522657368305444e6,1.6121138276375595e6,1.543853531532229e6,1.5531359756434087e6
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1009057728489613,1.5032684788406616,1.2395221752642342,2.2364427783223317,1.86757903223013,2.9959881636117607,1.72543759876338,1.6864822440343894,1.6149210728315626,2.703553822877152e6,2.7768147862022594e6,2.7936261350745647e6,2.755402561937765e6,2.7620999436059096e6,2.7737943762286096e6,2.862867120186033e6,2.75697451360202e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67806.88808762065,21177.47824919669,35129.159029624825,248081.59768202042,455888.1728722807,603233.6285258094,839258.5689748445,197297.1188678456,227618.64827634685,1.534751744733406e6,1.5668801118234987e6,1.5570951386872442e6,1.529215251544461e6,1.505312300393508e6,1.5524307120220433e6,1.6151987096300311e6,1.545080349850275e6,1.5531399680663864e6
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.207360213945935,1.1590786835323699,1.3825767830337943,2.3156077452634207,1.7581238442723657,3.033701969982049,1.648228329279542,1.6864046128541266,1.7136985915568346,2.7069671771516604e6,2.7768135984856165e6,2.798165728877278e6,2.758179231105405e6,2.7623716804719497e6,2.7737983231492187e6,2.863381528830109e6,2.757648719657585e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72785.02610419657,22105.64256145254,38008.28993693793,229121.10498031546,464341.89376616216,581696.0004679314,851225.7393987373,202990.97517454854,241569.66938876006,1.535472224625365e6,1.5643937342598941e6,1.557816356177425e6,1.5317030978175665e6,1.5097788898730855e6,1.5525956512102226e6,1.6182836009703653e6,1.5463072132331373e6,1.5531081380575323e6
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2963928352376772,0.6982238136869359,1.4672649367012118,2.5722903158983232,1.6872088246030377,3.169243244242992,1.5903721563279793,1.662961775969929,2.005529645629829,2.7103805359138018e6,2.7757472099772897e6,2.802693347433836e6,2.760955908722672e6,2.7626434276993037e6,2.7737995628997628e6,2.8633843095797542e6,2.7583229276900967e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77826.10851679213,23812.88954481083,40887.961256398434,210206.40515278437,466454.25254491897,553831.640642832,856387.6374303899,208684.42196553585,254174.03375335693,1.5361927047985925e6,1.5614311724136288e6,1.558537534053862e6,1.5341909285192718e6,1.5142454818808236e6,1.5527603563475152e6,1.6213684551595706e6,1.5475340789585377e6,1.5530376892888194e6
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3707354236549718,1.2344121991161812,1.5305610219330157,3.214092479455292,1.6834553335854103,3.694175354284205,1.5128088647272409,1.6837167780980946,1.6938375453908578,2.713793894026763e6,2.774661855841109e6,2.802736924895445e6,2.7637271299676965e6,2.76291524503441e6,2.7738007906991593e6,2.8633857784769135e6,2.7589971381310425e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82461.44665331376,25910.713767924695,43767.93257028868,190025.77662598467,470989.7333844048,525968.4300218206,825965.4088309129,214376.95499637834,261333.10781373587,1.536913184930766e6,1.5579924248562069e6,1.559258691820108e6,1.5362988622836792e6,1.518712115733267e6,1.5529249801961451e6,1.6244532376098447e6,1.5487609416912824e6,1.552928433647501e6
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3853024912975413,1.3971671087883286,1.4632458338243655,0.1549128688659694,1.6991728170172964,0.08531292597634633,1.3593502475306558,1.4969787844863853,1.5947319837671,2.7172072480396535e6,2.773572946631087e6,2.802737670832731e6,2.765279024607116e6,2.763187061050921e6,2.7738019659862863e6,2.863387149154325e6,2.759671350413943e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86301.78174426271,28008.468462777942,46647.426156346395,147657.58614385658,472875.434618897,498098.94994945684,781967.8726003526,214310.59912874593,261279.72415965406,1.5376336655387818e6,1.5540774908817715e6,1.5599797224232352e6,1.5380190451418601e6,1.523178744484037e6,1.5530894934784723e6,1.627538009758508e6,1.5499878031736433e6,1.5527803564541761e6
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3421166472479336,1.610568503998805,1.2134295398667079,1.0296609022216872,1.7171352787851686,1.2278131891069668,1.3439787294145986,1.4684062921312082,1.4129198223221888,2.720620586374124e6,2.7725086177832065e6,2.802739137970865e6,2.7653524424035326e6,2.7634588834011946e6,2.7738025993794873e6,2.863390851181174e6,2.760345519800372e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89388.01373714114,30106.24825808857,45614.52035865717,111376.2860028652,469583.76477033854,470241.2623049285,783271.3384801656,214312.82034381706,257819.94138064282,1.5383541420248318e6,1.5506387260721154e6,1.5607007971933584e6,1.5393531753332813e6,1.5276453684500433e6,1.5532524404498658e6,1.630622855955122e6,1.5512146446523946e6,1.5526711014629598e6
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1573865334580846,1.6326923959468456,0.8532406631631426,0.9179161521890498,1.804978757116201,1.4893227968068707,1.2947520358483962,1.4328088493725686,1.160827780362806,2.724033871769048e6,2.7725052735189246e6,2.8027404366488773e6,2.7654223997957907e6,2.763730702002224e6,2.773803801693673e6,2.8686038067320464e6,2.7610196911969283e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92467.33288913636,32204.040244309508,38970.75236319502,98877.70219163572,474970.59555647406,442382.7308308496,795241.1211040299,218811.58488309375,252218.7184979483,1.5390746136804488e6,1.547676129088022e6,1.5614218749709483e6,1.5403057724363082e6,1.532111990469504e6,1.5533798636155738e6,1.6337077365703497e6,1.5524414835435783e6,1.5526006560648337e6
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1437095630954301,1.626984380063541,0.4883979134523734,1.3452320897916006,1.8346043242703258,1.9363160933977732,1.402002343305739,1.3463937602545837,1.2814980369298419,2.727447223403373e6,2.7725038411898445e6,2.802741698444281e6,2.7655113260156484e6,2.7640025189731014e6,2.7738044027353963e6,2.874017885405003e6,2.761693907817048e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98306.19810739868,34301.88163632258,43060.10019232593,103837.7524696299,464452.5081118045,415203.62583881227,807212.6793354772,219584.88887698165,242784.52656920438,1.5397950964256993e6,1.545189692777569e6,1.5621429447762745e6,1.5408914484762505e6,1.5365786225746146e6,1.5534699117330564e6,1.6367926479477098e6,1.5536683505328028e6,1.5525688464546632e6
