zone,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,Total
CA,7.153833091217394e9,3.4740186578017597e9,4.921557185906308e9,3.9117366714300237e9,256757.56058334565,27960.90465277811,1.946143032482072e10
NW,8.695807796487564e9,5.378168431880523e9,1.7402205458004752e8,3.5836851235101953e9,223375.6404455786,30296.41301881111,1.7831937078511795e10
SW,6.751918534550476e9,3.448453402154474e9,3.389371142468192e9,4.188482170806625e9,268919.6975449353,29068.717637356734,1.7778523238394947e10
TX,2.5448201106407215e10,1.0866930045220615e10,1.3580043827216564e10,1.3418847984112741e10,359605.01048096485,27506.98545070245,6.3314410074953064e10
NCEN,3.4858840914491e10,1.7317472103530838e10,7.6871692143901415e9,2.2622324004770794e10,324829.3300612833,26766.043461922898,8.248615783255629e10
CEN,5.197391447308811e10,3.0827190816132816e10,4.957908355423992e9,2.406924215597232e10,410468.35119702824,27270.1486877837,1.1182869353911713e11
SE,3.710657411985904e10,1.668499277814323e10,8.60895465274579e9,1.3334841890109903e10,379897.834932199,26647.020420525205,7.573576998571332e10
MIDAT,2.597444474189262e10,9.672044666206753e9,1.833391883898607e10,8.891516819574022e9,361886.2106034333,26599.892681437123,6.287231355276275e10
NE,2.480250958137135e10,8.591598220993822e9,1.762017462700215e10,5.775435713979808e9,274904.7394717501,26686.339610582858,5.679001973442621e10
co2_sink_CA_Bio_H2_Herb_transforms,0.0,0.0,1042.0783824025855,0.0,0.0,0.0,1042.0783824025855
CA_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,1056.8779541317242,0.0,0.0,0.0,1056.8779541317242
co2_sink_NW_Bio_H2_Herb_transforms,0.0,0.0,1380.9003133496653,0.0,0.0,0.0,1380.9003133496653
NW_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,1400.4550138354687,0.0,0.0,0.0,1400.4550138354687
co2_sink_SW_Bio_H2_Herb_transforms,0.0,0.0,1935.4287568528846,0.0,0.0,0.0,1935.4287568528846
SW_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,1963.0924851681027,0.0,0.0,0.0,1963.0924851681027
co2_sink_TX_Bio_H2_Herb_transforms,0.0,0.0,2790.1864323584086,0.0,0.0,0.0,2790.1864323584086
TX_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,2829.9744256975832,0.0,0.0,0.0,2829.9744256975832
co2_sink_NCEN_Bio_H2_Herb_transforms,0.0,0.0,2507.6935052895706,0.0,0.0,0.0,2507.6935052895706
NCEN_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,2542.9188164789007,0.0,0.0,0.0,2542.9188164789007
co2_sink_CEN_Bio_H2_Herb_transforms,0.0,0.0,2850.3389972316313,0.0,0.0,0.0,2850.3389972316313
CEN_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,2890.772453708898,0.0,0.0,0.0,2890.772453708898
co2_sink_SE_Bio_H2_Herb_transforms,0.0,0.0,2844.4790920920655,0.0,0.0,0.0,2844.4790920920655
SE_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,2884.970425844615,0.0,0.0,0.0,2884.970425844615
co2_sink_MIDAT_Bio_H2_Herb_transforms,0.0,0.0,2313.566178002243,0.0,0.0,0.0,2313.566178002243
MIDAT_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,2346.139483875099,0.0,0.0,0.0,2346.139483875099
co2_sink_NE_Bio_H2_Herb_transforms,0.0,0.0,2157.1980485291383,0.0,0.0,0.0,2157.1980485291383
NE_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,2187.4131612676915,0.0,0.0,0.0,2187.4131612676915
co2_sink_CA_Bio_H2_Wood_transforms,0.0,0.0,1716.5776774686772,0.0,0.0,0.0,1716.5776774686772
CA_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,1739.342682833136,0.0,0.0,0.0,1739.342682833136
co2_sink_NW_Bio_H2_Wood_transforms,0.0,0.0,1345.2189914237472,0.0,0.0,0.0,1345.2189914237472
