case_name,commodity,commodity_subtype,zone,resource_id,component_id,type,variable,year,value
missing,all,cost,all,all,all,Cost,DiscountedFixedCost,missing,4.401882942838016e10
missing,all,cost,all,all,all,Cost,DiscountedVariableCost,missing,7.236976593466441e10
missing,all,cost,all,all,all,Cost,DiscountedTotalCost,missing,1.1638859536304457e11
