case_name,commodity,commodity_subtype,zone,resource_id,component_id,type,variable,year,value
missing,all,cost,all,all,all,Cost,DiscountedFixedCost,missing,7.859652635231904e11
missing,all,cost,all,all,all,Cost,DiscountedVariableCost,missing,1.911332578016412e10
missing,all,cost,all,all,all,Cost,DiscountedTotalCost,missing,8.050785893033545e11
