Time_Index,Electricity_Demand_MW_SE,Electricity_Demand_MW_MIDAT,Electricity_Demand_MW_NE,Hydrogen_Demand_MW_SE,Hydrogen_Demand_MW_MIDAT,Hydrogen_Demand_MW_NE,Diesel_Load_mmbtu_z1,Diesel_Load_mmbtu_z2,Diesel_Load_mmbtu_z3,Gasoline_Load_mmbtu_z1,Gasoline_Load_mmbtu_z2,Gasoline_Load_mmbtu_z3,JetFuel_Load_mmbtu_z1,JetFuel_Load_mmbtu_z2,JetFuel_Load_mmbtu_z3,NG_Load_mmbtu_z1,NG_Load_mmbtu_z2,NG_Load_mmbtu_z3,Demand_Zero
57,800997.6333,689315.6824,251484.9137,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
58,873842.7748,742856.0555,265359.4407,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
59,951499.4206,790599.9489,276992.4176,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
60,1.03E+06,833447.9625,285843.1995,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
61,1.10E+06,873358.4484,294390.2483,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
62,1.16E+06,906577.8987,301667.6928,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
63,1.21E+06,929673.1534,307195.6348,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
64,1.24E+06,947564.2693,311933.8708,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
65,1.26E+06,954696.5384,315129.1428,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
66,1.26E+06,942456.8392,312966.5633,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
67,1.23E+06,918805.5093,306302.6596,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
68,1.18E+06,889672.0031,296838.3369,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
69,1.13E+06,870191.2374,291917.861,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
70,1.08E+06,819521.9048,279762.4632,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
71,989893.7309,749003.1044,256119.8805,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
72,895589.3949,688251.8863,232531.9697,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
73,815259.6911,642774.6039,215146.2883,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
74,757067.5062,613151.5096,203950.687,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
75,716511.7555,592866.8526,197584.4417,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
76,693161.3006,584676.8316,195409.7129,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
77,689942.134,596342.3227,198611.0595,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
78,707066.9506,621377.7964,210511.3215,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
79,742966.4068,666963.8761,231930.5782,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
80,794507.5635,722668.1072,255658.2062,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
81,868772.5874,780415.3103,274216.2972,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
82,958685.0604,836844.8568,289554.8177,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
83,1.05E+06,886770.741,304498.4851,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
84,1.14E+06,918249.4341,318105.727,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
85,1.20E+06,942444.7506,331135.876,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
86,1.26E+06,957301.63,342853.8981,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
87,1.29E+06,963793.2038,351564.9628,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
88,1.31E+06,963351.9702,356570.4839,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
89,1.32E+06,937784.5985,358435.405,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
90,1.31E+06,908923.0855,354079.8727,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
91,1.27E+06,867259.7538,344087.0544,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
92,1.23E+06,828328.4439,330613.4551,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
