Time_Index,natgas_fossil_CA,natgas_fossil_CEN,natgas_fossil_MIDAT,natgas_fossil_NCEN,natgas_fossil_NE,natgas_fossil_NW,natgas_fossil_SE,natgas_fossil_SW,natgas_fossil_TX,gasoline_fossil_global,diesel_fossil_global,jetfuel_fossil_global
1,16.44652268,15.04754461,12.21546705,14.97930178,15.01342319,15.55936586,12.55668122,13.27323096,13.40971663,94.95990171,97.34840085,75.68130147
2,16.44652268,15.04754461,12.21546705,14.97930178,15.01342319,15.55936586,12.55668122,13.27323096,13.40971663,94.95990171,97.34840085,75.68130147
3,16.44652268,15.04754461,12.21546705,14.97930178,15.01342319,15.55936586,12.55668122,13.27323096,13.40971663,94.95990171,97.34840085,75.68130147
4,16.44652268,15.04754461,12.21546705,14.97930178,15.01342319,15.55936586,12.55668122,13.27323096,13.40971663,94.95990171,97.34840085,75.68130147
5,16.44652268,15.04754461,12.21546705,14.97930178,15.01342319,15.55936586,12.55668122,13.27323096,13.40971663,94.95990171,97.34840085,75.68130147
6,16.44652268,15.04754461,12.21546705,14.97930178,15.01342319,15.55936586,12.55668122,13.27323096,13.40971663,94.95990171,97.34840085,75.68130147
7,16.44652268,15.04754461,12.21546705,14.97930178,15.01342319,15.55936586,12.55668122,13.27323096,13.40971663,94.95990171,97.34840085,75.68130147
8,16.44652268,15.04754461,12.21546705,14.97930178,15.01342319,15.55936586,12.55668122,13.27323096,13.40971663,94.95990171,97.34840085,75.68130147
9,16.44652268,15.04754461,12.21546705,14.97930178,15.01342319,15.55936586,12.55668122,13.27323096,13.40971663,94.95990171,97.34840085,75.68130147
10,16.44652268,15.04754461,12.21546705,14.97930178,15.01342319,15.55936586,12.55668122,13.27323096,13.40971663,94.95990171,97.34840085,75.68130147
11,16.44652268,15.04754461,12.21546705,14.97930178,15.01342319,15.55936586,12.55668122,13.27323096,13.40971663,94.95990171,97.34840085,75.68130147
12,16.44652268,15.04754461,12.21546705,14.97930178,15.01342319,15.55936586,12.55668122,13.27323096,13.40971663,94.95990171,97.34840085,75.68130147
13,16.44652268,15.04754461,12.21546705,14.97930178,15.01342319,15.55936586,12.55668122,13.27323096,13.40971663,94.95990171,97.34840085,75.68130147
14,16.44652268,15.04754461,12.21546705,14.97930178,15.01342319,15.55936586,12.55668122,13.27323096,13.40971663,94.95990171,97.34840085,75.68130147
15,16.44652268,15.04754461,12.21546705,14.97930178,15.01342319,15.55936586,12.55668122,13.27323096,13.40971663,94.95990171,97.34840085,75.68130147
16,16.44652268,15.04754461,12.21546705,14.97930178,15.01342319,15.55936586,12.55668122,13.27323096,13.40971663,94.95990171,97.34840085,75.68130147
17,16.44652268,15.04754461,12.21546705,14.97930178,15.01342319,15.55936586,12.55668122,13.27323096,13.40971663,94.95990171,97.34840085,75.68130147
18,16.44652268,15.04754461,12.21546705,14.97930178,15.01342319,15.55936586,12.55668122,13.27323096,13.40971663,94.95990171,97.34840085,75.68130147
19,16.44652268,15.04754461,12.21546705,14.97930178,15.01342319,15.55936586,12.55668122,13.27323096,13.40971663,94.95990171,97.34840085,75.68130147
