Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,H2_Load_tonneperhr_z1,H2_Load_tonneperhr_z2,H2_Load_tonneperhr_z3,Diesel_Load_mmbtu_z1,Diesel_Load_mmbtu_z2,Diesel_Load_mmbtu_z3,Gasoline_Load_mmbtu_z1,Gasoline_Load_mmbtu_z2,Gasoline_Load_mmbtu_z3,JetFuel_Load_mmbtu_z1,JetFuel_Load_mmbtu_z2,JetFuel_Load_mmbtu_z3,NG_Load_mmbtu_z1,NG_Load_mmbtu_z2,NG_Load_mmbtu_z3,Demand_Zero
27,646264.9414,441590.2146,162624.7645,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
28,629898.9283,443463.9464,162321.0314,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
29,633037.6158,460931.9615,166500.3986,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
30,656462.8013,490567.1444,179506.2489,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
31,691810.4003,535518.573,201350.7319,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
32,731687.8266,576607.6966,222454.1061,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
33,780371.973,612130.0236,236863.2033,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
34,833062.8321,645168.1451,246436.87,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
35,887340.2805,671037.7315,253999.8236,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
36,938743.4729,690621.2503,258865.6275,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
37,988134.6863,717083.1778,263038.92,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
38,1.04E+06,741278.4943,266926.7034,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
39,1.08E+06,765262.2604,269229.0001,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
40,1.12E+06,784604.0073,270826.6361,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
41,1.14E+06,793906.1787,271373.3556,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
42,1.15E+06,788629.5084,268123.4117,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
43,1.12E+06,769130.6098,261866.5103,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
44,1.08E+06,745255.641,254765.2309,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
45,1.03E+06,728464.5869,251618.5563,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
46,973958.8562,683803.2845,241364.5276,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
47,891519.4486,620870.0755,220589.185,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
48,799870.925,565800.4955,200682.5191,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
49,726755.6035,527721.4313,186352.3925,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
50,675898.5197,502323.2999,177070.3097,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
51,643022.7807,488052.7173,171882.5487,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
52,623851.4939,485882.815,170351.734,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
53,624184.9076,503175.5456,174288.1147,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
54,648782.7896,535403.7314,187044.9039,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
55,686084.8826,585758.7606,209673.0182,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
56,736206.1569,637703.4396,232951.1213,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
57,800997.6333,689315.6824,251484.9137,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
58,873842.7748,742856.0555,265359.4407,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
59,951499.4206,790599.9489,276992.4176,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
60,1.03E+06,833447.9625,285843.1995,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
61,1.10E+06,873358.4484,294390.2483,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
62,1.16E+06,906577.8987,301667.6928,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
63,1.21E+06,929673.1534,307195.6348,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
64,1.24E+06,947564.2693,311933.8708,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
65,1.26E+06,954696.5384,315129.1428,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
66,1.26E+06,942456.8392,312966.5633,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
67,1.23E+06,918805.5093,306302.6596,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
68,1.18E+06,889672.0031,296838.3369,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
69,1.13E+06,870191.2374,291917.861,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
70,1.08E+06,819521.9048,279762.4632,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
71,989893.7309,749003.1044,256119.8805,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
72,895589.3949,688251.8863,232531.9697,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
73,815259.6911,642774.6039,215146.2883,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
74,757067.5062,613151.5096,203950.687,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
75,716511.7555,592866.8526,197584.4417,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
76,693161.3006,584676.8316,195409.7129,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
77,689942.134,596342.3227,198611.0595,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
