elec_MA,elec_CT,elec_ME
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.90194433395675,42.374,43.76203670782064
42.90194433395675,42.374,43.76203670782064
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.90194433395675,42.374,43.76203670782064
42.90194433395675,42.374,43.76203670782064
42.90194433395675,42.374,43.76203670782064
42.90194433395675,42.374,43.76203670782064
42.90194433395675,42.374,43.76203670782064
42.90194433395675,42.374,43.76203670782064
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.90194433395675,42.374,43.76203670782064
42.90194433395675,42.374,43.76203670782064
42.90194433395675,42.374,43.76203670782064
42.90194433395675,42.374,43.76203670782064
42.90194433395675,42.374,43.76203670782064
42.90194433395675,42.374,43.76203670782064
42.90194433395675,42.374,43.76203670782064
42.7804,42.374,43.63805566950595
42.90194433395675,42.374,43.76203670782064
42.90194433395675,42.374,43.76203670782064
42.90194433395675,42.374,43.76203670782064
42.90194433395675,42.374,43.76203670782064
42.90194433395675,42.374,43.76203670782064
42.90194433395675,42.374,43.76203670782064
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.90194433395675,42.374,43.76203670782064
42.90194433395675,42.374,43.76203670782064
42.90194433395675,42.374,43.76203670782064
42.90194433395675,42.374,43.76203670782064
42.90194433395675,42.374,43.76203670782064
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.90194433395675,42.374,43.76203670782064
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
42.7804,42.374,43.63805566950595
