bioagri_CA,bioagri_NW,bioagri_SW,bioagri_TX,bioagri_NCEN,bioagri_CEN,bioagri_SE,bioagri_MIDAT,bioagri_NE,bioherb_CA,bioherb_NW,bioherb_SW,bioherb_TX,bioherb_NCEN,bioherb_CEN,bioherb_SE,bioherb_MIDAT,bioherb_NE,biowood_CA,biowood_NW,biowood_SW,biowood_TX,biowood_NCEN,biowood_CEN,biowood_SE,biowood_MIDAT,biowood_NE,ethylene_CA,ethylene_NW,ethylene_SW,ethylene_TX,ethylene_NCEN,ethylene_CEN,ethylene_SE,ethylene_MIDAT,ethylene_NE,ethylene_demand_CA,ethylene_demand_SW,ethylene_demand_NW,ethylene_demand_TX,ethylene_demand_NCEN,ethylene_demand_CEN,ethylene_demand_SE,ethylene_demand_MIDAT,ethylene_demand_NE,natgas_CA,natgas_NW,natgas_SW,natgas_TX,natgas_NCEN,natgas_CEN,natgas_SE,natgas_MIDAT,natgas_NE,natgas_demand_CA,natgas_demand_SW,natgas_demand_NW,natgas_demand_TX,natgas_demand_NCEN,natgas_demand_CEN,natgas_demand_SE,natgas_demand_MIDAT,natgas_demand_NE,elec_CA,elec_NW,elec_SW,elec_TX,elec_NCEN,elec_CEN,elec_SE,elec_MIDAT,elec_NE,h2_CA,h2_NW,h2_SW,h2_TX,h2_NCEN,h2_CEN,h2_SE,h2_MIDAT,h2_NE,co2_captured_CA,co2_captured_NW,co2_captured_SW,co2_captured_TX,co2_captured_NCEN,co2_captured_CEN,co2_captured_SE,co2_captured_MIDAT,co2_captured_NE
44.09,44.09,44.09,44.09,44.09,41.68425806988212,26.641802155413945,44.09,34.38000785311409,77.16,77.16,5.690053972039872,77.16,75.28178631488281,77.16,41.459763018048584,77.16,77.16,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,-20.68388179090782,1148.936891565811,1148.936891565811,1148.936891565811,1148.936891565811,1148.936891565811,1148.936891565811,1148.936891565811,1148.936891565811,1148.936891565811,0.0,0.0,0.0,1148.936891565811,1148.936891565811,1148.936891565811,1148.936891565811,1148.936891565811,0.0,16.44652268,15.55936586,13.273230959999998,13.40971663,14.97930178,15.04754461,12.55668122,12.21546705,15.01342319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.60523701668055,171.01463837260926,181.49156896106768,186.138715984231,205.8050815576116,195.81977915932902,212.3854083842214,222.50679444438296,211.9674808794977,34.12174720908103,34.237298028504554,23.484019488689192,35.45196485874403,27.939874553608327,26.799982983956465,25.861498260791908,27.93453127917274,5.753940926131468,-5.4,-5.3,-5.6,-4.999999999999999,-6.1000000000000005,-6.2,-6.1000000000000005,-16.24551072516719,-16.24551072516719
44.09,44.09,1.1995538223557716,44.09,44.09,44.09,44.09,44.09,34.380007853114066,77.16,77.16,39.10820527628352,77.16,39.872471387633716,77.16,77.16,77.16,77.16,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,510.0442782861999,510.0442782861999,510.0442782861999,510.0442782861999,510.0442782861999,510.0442782861999,510.0442782861999,510.0442782861999,510.0442782861999,0.0,0.0,0.0,510.0442782861999,510.0442782861999,510.0442782861999,510.0442782861999,510.0442782861999,0.0,16.44652268,14.657581675357173,13.273230959999998,13.40971663,14.97930178,4.28094078266469,12.55668122,12.21546705,15.01342319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.60523701668063,171.0146383726093,181.49156896106777,186.13871598423106,205.80508155761166,195.81977915932907,212.38540838422148,222.50679444438305,211.9674808794978,34.12174720908103,34.23729802850457,23.484019488689196,35.451964858744056,27.939874553608327,26.799982983956465,25.86149826079191,27.93453127917274,25.899106366451424,-5.4,-5.3,-5.6,-4.999999999999999,-6.1000000000000005,-6.2,-6.1000000000000005,-16.24551072516719,33.5323100541981
44.09,44.09,44.09,44.09,34.67143208600255,44.09,44.09,44.09,34.380007853114066,77.16,29.055884313824038,77.16,74.36541330038993,49.438397257834374,41.587392352432936,77.16,77.16,38.83548854383935,44.09,44.09,44.09,44.09,44.09,44.09,44.09,31.80569185989694,-373.90414619996653,510.0442782862,510.0442782862,510.0442782862,510.0442782862,510.0442782862,510.0442782862,510.0442782862,510.0442782862,510.0442782862,0.0,0.0,0.0,510.0442782862,510.0442782862,510.0442782862,510.0442782862,510.0442782862,0.0,16.44652268,14.657581675357175,13.273230959999998,13.40971663,14.97930178,15.04754461,12.55668122,12.21546705,15.01342319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.60523701668058,171.01463837260928,181.49156896106774,186.13871598423108,205.80508155761166,195.8197791593291,212.38540838422148,222.50679444438305,211.9674808794978,34.12174720908103,34.23729802850457,23.484019488689196,35.45196485874403,27.939874553608327,26.799982983956465,25.86149826079191,27.93453127917274,25.899106366451424,-5.4,-5.3,-5.6,-4.999999999999999,-6.1000000000000005,-6.2,-6.1000000000000005,-16.24551072516719,-499.57830323149676
44.09,44.09,44.09,31.27447906178345,44.09,44.09,26.641802155413938,44.09,44.09,77.16,77.16,77.16,77.16,75.2817863148828,77.16,77.16,77.16,77.16,44.09,44.09,44.09,44.09,44.09,44.09,44.09,-40.36870948803273,44.09,510.0442782861999,510.0442782861999,510.0442782861999,510.0442782861999,510.0442782861999,510.0442782861999,510.0442782861999,510.0442782861999,510.0442782861999,0.0,0.0,0.0,510.0442782861999,510.0442782861999,510.0442782861999,510.0442782861999,510.0442782861999,0.0,16.44652268,15.55936586,13.273230959999998,13.40971663,14.97930178,15.04754461,12.55668122,12.21546705,15.01342319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.60523701668058,171.01463837260928,181.49156896106774,186.138715984231,205.80508155761163,195.81977915932907,212.38540838422145,222.50679444438302,222.50679444438302,34.12174720908103,34.237298028504576,23.484019488689192,35.451964858744056,27.939874553608323,26.799982983956465,25.861498260791908,27.93453127917274,26.109892637749123,-5.4,-5.3,-5.6,-4.999999999999999,-6.1000000000000005,-6.2,-6.1000000000000005,-16.24551072516719,-16.24551072516719
44.09,44.09,10.27019808593995,44.09,-121.6923048726074,23.185679284005626,-141.01908179945212,9.003228130716488,16.194342584904668,54.68526298741022,-33.7127051274694,33.92590647649108,70.75640232855339,-113.67559235173918,77.16,77.16,77.16,77.16,44.09,44.09,44.09,44.09,44.09,44.09,44.09,-149.88886836867806,-106.72481059112357,517.4009727444862,517.4009727444862,517.4009727444862,517.4009727444862,517.4009727444862,517.4009727444862,517.4009727444862,517.4009727444862,517.4009727444862,0.0,0.0,0.0,517.4009727444862,517.4009727444862,517.4009727444862,517.4009727444862,517.4009727444862,0.0,9.845936894610585,15.55936586,8.774291061808789,13.40971663,14.97930178,15.04754461,12.55668122,12.21546705,15.01342319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0760256165215,225.9742503554629,239.8181911916546,245.9588091811094,271.94542798726275,258.7511117258198,280.64049898169554,294.01463261884027,299.3985638997353,35.23116298107785,36.387018676399315,24.650551933300928,36.64836672268159,29.26268148220135,28.058609635286277,27.226600072741398,29.364688042661882,23.894699397377025,-5.4,-5.3,-5.6,-4.999999999999999,-6.1000000000000005,-6.2,-6.1000000000000005,-16.24551072516719,-16.24551072516719
-164.6143178714496,44.09,44.09,44.09,-8.61948104840933,-8.066473042818439,44.09,31.261577211359924,-25.243094065658894,6.659154149688302,65.01320538617018,-257.9342609962912,77.16,-3.4184417467781527,33.76228111893393,77.16,77.16,32.348063364678225,44.09,44.09,44.09,44.09,44.09,44.09,31.19018687895198,-4.403832882031551,-21.515244138077005,1820.1592434507304,1820.1592434507304,1820.1592434507304,1820.1592434507304,1820.1592434507304,1820.1592434507304,1820.1592434507304,1820.1592434507304,1820.1592434507304,0.0,0.0,0.0,1820.1592434507304,1820.1592434507304,1820.1592434507304,1820.1592434507304,1820.1592434507304,0.0,14.876171917512837,15.55936586,13.273230959999998,13.40971663,14.97930178,15.04754461,12.55668122,12.21546705,-35.43725031691908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.43725031691908,360.5144512898576,357.1922241819146,379.07501839826267,388.78134995619286,413.9344716268995,409.0018440663201,377.10053336590346,396.5910480113469,380.4448860566013,37.87993149454458,39.011378152928344,27.435688477433093,39.50481753818327,32.10246235499408,31.063624282096285,29.155800760425553,31.41621635051202,29.268654469993496,-5.4,-5.3,-5.6,-4.999999999999999,-6.1000000000000005,-6.2,-6.1000000000000005,-16.24551072516719,157.48296255051014
44.09,44.09,36.7389483328198,34.09822678701024,44.09,35.034531827023315,44.09,33.54415890098952,44.09,69.66160636314763,77.16,77.16,77.16,50.75595474642134,77.16,77.16,77.16,77.16,44.09,44.09,44.09,44.09,18.393754632810964,44.09,44.09,-8.392013184644638,-61.500764974028534,521.5146432545467,521.5146432545467,521.5146432545467,521.5146432545467,521.5146432545467,521.5146432545467,521.5146432545467,521.5146432545467,521.5146432545467,0.0,0.0,0.0,521.5146432545467,521.5146432545467,521.5146432545467,521.5146432545467,521.5146432545467,0.0,16.44652268,1.3058355037064169,13.273230959999998,13.40971663,14.97930178,13.42518681068465,12.55668122,12.21546705,15.01342319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0165680374183,158.5419769963327,168.25479049670955,172.5630057667945,183.72737432615088,181.53799708807702,167.37840310810705,176.02938853098914,169.06779012741868,32.843385291918075,29.485657202411627,23.21928391940203,35.180450654395294,27.498320408979108,26.51434734253143,24.961358155269625,27.004983160904867,25.041112551409842,-5.4,-5.3,-5.6,-4.999999999999999,-6.1000000000000005,-6.2,-6.1000000000000005,-16.24551072516719,-80.05633685998214
44.09,44.09,33.9856984122333,44.09,44.09,36.2753964578357,44.09,44.09,44.09,77.16,77.16,77.16,77.16,77.16,77.16,77.16,77.16,77.16,44.09,44.09,44.09,44.09,44.09,44.09,44.09,-33.23498419316834,44.09,511.073713291384,511.073713291384,511.073713291384,511.073713291384,511.073713291384,511.073713291384,511.073713291384,511.073713291384,511.073713291384,0.0,0.0,0.0,511.073713291384,511.073713291384,511.073713291384,511.073713291384,511.073713291384,0.0,16.44652268,15.55936586,13.273230959999998,13.40971663,14.97930178,15.04754461,12.55668122,3.430548959822583,15.01342319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.60523701668063,171.0146383726093,181.49156896106777,206.0043538350016,198.18139697010662,195.81977915932907,180.54623526979154,189.8001678315473,180.81004468299543,34.12174720908103,34.237298028504554,23.484019488689196,35.84927761575945,27.787400861858227,26.79998298395647,25.224714798503314,27.280398746916028,25.275957642521373,-5.4,-5.3,-5.6,-4.999999999999999,-6.1000000000000005,-6.2,-6.1000000000000005,-16.24551072516719,-16.24551072516719
44.09,19.087257527004283,44.09,34.09822678701025,27.51619161542663,44.09,39.36054935416381,18.94896288335934,44.09,77.16,53.93188336852903,77.16,75.18445059215664,32.840038937952215,48.1993074527338,21.67046810626481,77.16,77.16,45.828817216734755,44.09,44.09,44.09,44.09,37.868563964370075,44.09,30.985556191416602,44.09,868.7263614406338,868.7263614406338,868.7263614406338,868.7263614406338,868.7263614406338,868.7263614406338,868.7263614406338,868.7263614406338,868.7263614406338,0.0,0.0,0.0,868.7263614406338,868.7263614406338,868.7263614406338,868.7263614406338,868.7263614406338,0.0,13.494438101952875,15.55936586,13.273230959999998,13.40971663,14.97930178,15.04754461,12.55668122,11.970366521487643,15.01342319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.58567479862484,143.25328313854675,152.02945995179272,172.56300576679448,161.40468502716905,164.03172579249804,151.2375853133086,149.28939338119932,143.6441333868831,28.154687360223086,23.66120805553848,22.894777308503695,35.1804506543953,27.051866622999473,26.16422191661985,24.638541799373655,26.470183257909067,24.532639416599128,-5.4,-5.3,-5.6,-4.999999999999999,-6.1000000000000005,-6.2,-6.1000000000000005,-16.24551072516719,-16.24551072516719
44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,77.16,77.16,77.16,64.6633397491097,77.16,77.16,64.13110180990539,77.16,77.16,44.09,44.09,44.09,55.12,44.09,44.09,44.09,44.09,44.09,503.5773829055613,503.5773829055613,503.5773829055613,503.5773829055613,503.5773829055613,503.5773829055613,503.5773829055613,503.5773829055613,503.5773829055613,0.0,0.0,0.0,503.5773829055613,503.5773829055613,503.5773829055613,503.5773829055613,503.5773829055613,0.0,16.44652268,9.486596463793475,13.273230959999998,13.40971663,14.97930178,15.04754461,12.55668122,9.306305858404647,7.620682012924978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.39763188381346,50.92399038257112,54.04376490949242,61.343074682322815,55.481240159252316,58.31035661929649,53.7622675811878,51.31673027965194,48.88604894745973,24.748997545412454,3.694524016521435,19.483270055215993,32.95605203270586,24.933397725641136,24.049794533155822,22.68903544473124,24.51072999587812,21.904548597091132,-5.4,-5.3,-5.6,-4.999999999999999,-6.1000000000000005,-6.2,-6.1000000000000005,-16.24551072516719,-16.24551072516719
