case_name,commodity,commodity_subtype,zone,resource_id,component_id,type,variable,year,value
missing,all,cost,all,all,all,Cost,DiscountedFixedCost,missing,1.5055774739387846e9
missing,all,cost,all,all,all,Cost,DiscountedVariableCost,missing,4.086062153996602e-8
missing,all,cost,all,all,all,Cost,DiscountedTotalCost,missing,1.5055774739387846e9
