Time_Index,natgas_fossil_CA,natgas_fossil_NW,natgas_fossil_SW,natgas_fossil_TX,natgas_fossil_NCEN,natgas_fossil_CEN,natgas_fossil_SE,natgas_fossil_MIDAT,natgas_fossil_NE,uranium_source,gasoline_fossil_global,jetfuel_fossil_global,diesel_fossil_global,ethane_global,ethane_high,ethanol_global
1,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
2,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
3,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
4,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
5,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
6,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
7,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
8,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
9,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
10,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
11,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
12,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
13,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
14,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
15,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
16,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
17,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
18,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
19,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
20,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
21,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
22,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
23,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
24,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
25,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
26,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
27,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
28,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
29,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
30,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
31,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
32,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
33,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
34,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
35,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
36,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
37,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
38,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
39,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
40,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
41,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
42,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
43,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
44,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
45,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
46,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
47,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
48,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
49,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
50,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
51,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
52,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
53,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
54,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
55,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
56,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
57,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
58,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
59,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
60,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
61,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
62,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
63,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
64,30.19746068,27.67247527,23.50966148,16.68537658,20.77994752,19.17624057,22.48601875,21.59886171,25.96640405,2.814676307,94.95992439,75.68131954,97.3484241,24.6398787,1000000000,47
