Time_Index,None,natgas_fossil_MIDAT,natgas_fossil_NE,natgas_fossil_SE,gasoline_fossil_MIDAT,gasoline_fossil_NE,gasoline_fossil_SE,diesel_fossil_MIDAT,diesel_fossil_NE,diesel_fossil_SE,jetfuel_fossil_MIDAT,jetfuel_fossil_NE,jetfuel_fossil_SE,ethane_fossil_SE,ethane_fossil_MIDAT,ethane_fossil_NE
1,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
2,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
3,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
4,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
5,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
6,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
7,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
8,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
9,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
10,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
11,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
12,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
13,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
14,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
15,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
16,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
17,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
18,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
19,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
20,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
21,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
22,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
23,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
24,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
25,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
26,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
27,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
28,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
29,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
30,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
31,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
32,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824,73.46474602,73.46474602,73.46474602
