Time_Index,Electricity_Demand_MW_SE,Electricity_Demand_MW_MIDAT,Electricity_Demand_MW_NE,Hydrogen_Demand_MW_SE,Hydrogen_Demand_MW_MIDAT,Hydrogen_Demand_MW_NE,Diesel_Demand_MW_SE,Diesel_Demand_MW_MIDAT,Diesel_Demand_MW_NE,Gasoline_Demand_MW_SE,Gasoline_Demand_MW_MIDAT,Gasoline_Demand_MW_NE,JetFuel_Demand_MW_SE,JetFuel_Demand_MW_MIDAT,JetFuel_Demand_MW_NE,NaturalGas_Demand_MW_SE,NaturalGas_Demand_MW_MIDAT,NaturalGas_Demand_MW_NE,Demand_Zero,Ethylene_Demand_SE,Ethylene_Demand_MIDAT,Ethylene_Demand_NE
25,724048.0545,470107.2027,176049.7665,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
26,676956.2459,452264.4412,166962.0728,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
27,646264.9414,441590.2146,162624.7645,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
28,629898.9283,443463.9464,162321.0314,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
29,633037.6158,460931.9615,166500.3986,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
30,656462.8013,490567.1444,179506.2489,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
31,691810.4003,535518.573,201350.7319,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
32,731687.8266,576607.6966,222454.1061,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
33,780371.973,612130.0236,236863.2033,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
34,833062.8321,645168.1451,246436.87,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
35,887340.2805,671037.7315,253999.8236,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
36,938743.4729,690621.2503,258865.6275,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
37,988134.6863,717083.1778,263038.92,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
