zone,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,Total
CA,8.534120351336198e9,2.7680449748474307e9,5.769350910852056e9,3.9137144072814045e9,751238.9526621762,177462.40672972915,2.098615934567648e10
NW,9.598256181727934e9,3.534768918559649e9,1.985391227011011e8,3.578942032050667e9,831174.9516796402,193992.0974383623,1.6911531422088469e10
SW,9.095760051638124e9,3.563911637883186e9,5.058841615078137e9,4.189958379006212e9,798839.9447425529,184111.38455958117,2.1909454634934963e10
TX,2.717239927746928e10,1.0400758370895172e10,1.3460693134060148e10,1.3422178832875769e10,793443.7429971994,174014.8254670994,6.445699707386884e10
NCEN,3.581675549356605e10,1.6832914813516258e10,7.323647956048869e9,2.26222500408411e10,747859.8315659895,169192.99219970638,8.259648535679605e10
CEN,5.405685713683602e10,2.9138539384579945e10,6.132770927908248e9,2.4068348061004314e10,800068.5462204106,175544.82300794427,1.1339749112369777e11
SE,3.91605288722585e10,1.6512930292303255e10,9.889067493392458e9,1.3328426027503246e10,741127.154961292,169275.10776923306,7.88918630877202e10
MIDAT,2.6426645302106766e10,9.117978210291988e9,1.834393102527365e10,8.890286461987198e9,727538.3214637282,169209.7353444693,6.2779737747716415e10
NE,2.5940055663562374e10,8.212208334529318e9,1.817353953130925e10,5.774203860488557e9,750272.6402054112,169103.59066857467,5.810092676612037e10
co2_sink_CA_Bio_H2_Herb_transforms,0.0,0.0,1415.8467968249354,0.0,0.0,0.0,1415.8467968249354
CA_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,1435.948543383849,0.0,0.0,0.0,1435.948543383849
co2_sink_NW_Bio_H2_Herb_transforms,0.0,0.0,12207.840075409877,0.0,0.0,0.0,12207.840075409877
NW_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,12380.661046369169,0.0,0.0,0.0,12380.661046369169
co2_sink_SW_Bio_H2_Herb_transforms,0.0,0.0,16343.699780060764,0.0,0.0,0.0,16343.699780060764
SW_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,16577.23515047512,0.0,0.0,0.0,16577.23515047512
co2_sink_TX_Bio_H2_Herb_transforms,0.0,0.0,18795.12657678035,0.0,0.0,0.0,18795.12657678035
TX_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,19063.06366790017,0.0,0.0,0.0,19063.06366790017
co2_sink_NCEN_Bio_H2_Herb_transforms,0.0,0.0,20512.372853043,0.0,0.0,0.0,20512.372853043
NCEN_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,20800.420979397193,0.0,0.0,0.0,20800.420979397193
co2_sink_CEN_Bio_H2_Herb_transforms,0.0,0.0,19366.939700322633,0.0,0.0,0.0,19366.939700322633
CEN_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,19641.586235028222,0.0,0.0,0.0,19641.586235028222
co2_sink_SE_Bio_H2_Herb_transforms,0.0,0.0,21269.344530398514,0.0,0.0,0.0,21269.344530398514
SE_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,21572.02347564638,0.0,0.0,0.0,21572.02347564638
co2_sink_MIDAT_Bio_H2_Herb_transforms,0.0,0.0,20772.023993866675,0.0,0.0,0.0,20772.023993866675
MIDAT_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,21064.39041771491,0.0,0.0,0.0,21064.39041771491
co2_sink_NE_Bio_H2_Herb_transforms,0.0,0.0,19290.93599612451,0.0,0.0,0.0,19290.93599612451
NE_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,19561.055702947597,0.0,0.0,0.0,19561.055702947597
co2_sink_CA_Bio_H2_Wood_transforms,0.0,0.0,13799.228598043757,0.0,0.0,0.0,13799.228598043757
CA_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,13982.17668598251,0.0,0.0,0.0,13982.17668598251
co2_sink_NW_Bio_H2_Wood_transforms,0.0,0.0,12722.243399440733,0.0,0.0,0.0,12722.243399440733
NW_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,12893.232419010503,0.0,0.0,0.0,12893.232419010503
co2_sink_SW_Bio_H2_Wood_transforms,0.0,0.0,16689.198765908586,0.0,0.0,0.0,16689.198765908586
SW_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,16915.999366633347,0.0,0.0,0.0,16915.999366633347
co2_sink_TX_Bio_H2_Wood_transforms,0.0,0.0,17859.34445425666,0.0,0.0,0.0,17859.34445425666
TX_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,18098.981506472002,0.0,0.0,0.0,18098.981506472002
co2_sink_NCEN_Bio_H2_Wood_transforms,0.0,0.0,25682.66526351408,0.0,0.0,0.0,25682.66526351408
NCEN_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,26030.90931406976,0.0,0.0,0.0,26030.90931406976
co2_sink_CEN_Bio_H2_Wood_transforms,0.0,0.0,24350.816600223996,0.0,0.0,0.0,24350.816600223996
CEN_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,24681.00145137522,0.0,0.0,0.0,24681.00145137522
co2_sink_SE_Bio_H2_Wood_transforms,0.0,0.0,25038.713648163688,0.0,0.0,0.0,25038.713648163688
SE_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,25374.683624289006,0.0,0.0,0.0,25374.683624289006
co2_sink_MIDAT_Bio_H2_Wood_transforms,0.0,0.0,27343.33245588116,0.0,0.0,0.0,27343.33245588116
MIDAT_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,27713.27314206408,0.0,0.0,0.0,27713.27314206408
co2_sink_NE_Bio_H2_Wood_transforms,0.0,0.0,23795.831901612666,0.0,0.0,0.0,23795.831901612666
NE_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,24114.25056865445,0.0,0.0,0.0,24114.25056865445
co2_sink_CA_Bio_H2_Agri_transforms,0.0,0.0,14688.806642269006,0.0,0.0,0.0,14688.806642269006
CA_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,14897.59632682841,0.0,0.0,0.0,14897.59632682841
co2_sink_NW_Bio_H2_Agri_transforms,0.0,0.0,13597.925756933662,0.0,0.0,0.0,13597.925756933662
NW_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,13797.598021993394,0.0,0.0,0.0,13797.598021993394
co2_sink_SW_Bio_H2_Agri_transforms,0.0,0.0,15635.601717397549,0.0,0.0,0.0,15635.601717397549
SW_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,15862.065062217134,0.0,0.0,0.0,15862.065062217134
co2_sink_TX_Bio_H2_Agri_transforms,0.0,0.0,17426.26981849101,0.0,0.0,0.0,17426.26981849101
TX_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,17687.015215356914,0.0,0.0,0.0,17687.015215356914
co2_sink_NCEN_Bio_H2_Agri_transforms,0.0,0.0,22124.329650687843,0.0,0.0,0.0,22124.329650687843
NCEN_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,22440.46452771527,0.0,0.0,0.0,22440.46452771527
co2_sink_CEN_Bio_H2_Agri_transforms,0.0,0.0,19068.934126905788,0.0,0.0,0.0,19068.934126905788
CEN_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,19343.013213305778,0.0,0.0,0.0,19343.013213305778
co2_sink_SE_Bio_H2_Agri_transforms,0.0,0.0,20602.5318285895,0.0,0.0,0.0,20602.5318285895
SE_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,20900.581978796206,0.0,0.0,0.0,20900.581978796206
co2_sink_MIDAT_Bio_H2_Agri_transforms,0.0,0.0,21292.24907861398,0.0,0.0,0.0,21292.24907861398
MIDAT_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,21596.85060300445,0.0,0.0,0.0,21596.85060300445
co2_sink_NE_Bio_H2_Agri_transforms,0.0,0.0,20722.59513282601,0.0,0.0,0.0,20722.59513282601
NE_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,21017.837323120584,0.0,0.0,0.0,21017.837323120584
co2_sink_CA_Bio_H2_CCS_99_Herb_transforms,0.0,0.0,2748.4448103060977,0.0,0.0,0.0,2748.4448103060977
