natgas_SE,ethane_SE,natgas_demand_SE,biocorn_SE,biowood_SE,bioherb_SE,elec_SE,ethylene_SE,ethylene_demand_SE,h2_SE,co2_captured_SE,gasoline_SE,ethanol_SE,gasoline_demand_SE,jetfuel_SE,jetfuel_demand_SE,diesel_SE,diesel_demand_SE
14.058029999999999,21.98,26.614711219999997,155.0,86.55,121.39858727963772,12.952084172065252,1159.8552692020514,1159.8552692020514,14.809897722455895,70.57773173885585,94.95991,78.33992590960857,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,158.91896923392622,86.4192,9.972880001280538,1158.3905392331596,1158.3905392331596,14.839689764163744,28.043523188650507,94.95991,78.28509393100516,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,1158.3905392331596,1158.3905392331596,14.839689764163744,28.043523188650507,94.95991,78.28509393100516,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,1158.3905392331596,1158.3905392331596,14.839689764163744,28.043523188650507,94.95991,78.28509393100516,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.55000000000001,9.972880001280538,1158.3905392331596,1158.3905392331596,14.839689764163744,58.154685932132324,94.95991,78.28509393100516,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,1158.3905392331596,1158.3905392331596,14.839689764163744,28.043523188650507,94.95991,78.28509393100516,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,13.297953481644974,1160.0253163401528,1160.0253163401528,15.20537763380945,57.50652164611216,94.95991,78.34629160242292,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,0.0,1153.4873585927442,1153.4873585927442,14.93941856417655,26.73676556902819,94.95991,78.1015439923313,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,0.0,1153.4873585927442,1153.4873585927442,14.93941856417655,11.38697309371412,94.95991,78.1015439923313,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,1158.3905392331596,1158.3905392331596,14.839689764163744,58.065378332315035,94.95991,78.28509393100516,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,1158.3905392331596,1158.3905392331596,14.839689764163744,28.043523188650486,94.95991,78.28509393100516,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,9.972880001280538,1158.3905392331596,1158.3905392331596,14.839689764163744,28.043523188650486,94.95991,78.28509393100516,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,111.41146507708993,9.972880001280538,1158.3905392331596,1158.3905392331596,14.839689764163744,58.154685932132324,94.95991,78.28509393100516,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,104.44285968924581,104.44285968924581,0.0,1153.4873585927442,1153.4873585927442,14.93941856417655,94.76233604953107,94.95991,78.1015439923313,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,0.0,1153.4873585927442,1153.4873585927442,14.93941856417655,-6.1,94.95991,78.1015439923313,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,0.0,1153.4873585927442,1153.4873585927442,14.93941856417655,57.293438682351564,94.95991,78.1015439923313,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,13.297953481644974,1160.0253163401528,1160.0253163401528,15.20537763380945,28.479211285339947,94.95991,78.34629160242291,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,123.58859786679018,131.57603472034,13.297953481644974,1160.0253163401528,1160.0253163401528,15.20537763380945,82.885036249605,94.95991,78.34629160242292,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,13.297953481644974,1160.0253163401528,1160.0253163401528,15.20537763380945,57.595829245929465,94.95991,78.34629160242292,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,12.952084172065252,1159.8552692020514,1159.8552692020514,14.809897722455899,70.49599420382994,94.95991,78.33992590960857,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.55,9.972880001280538,1158.3905392331596,1158.3905392331596,14.839689764163744,58.15468593213232,94.95991,78.28509393100516,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,101.43990776878208,119.84968371007537,9.972880001280538,1158.3905392331596,1158.3905392331596,14.839689764163744,68.32121440560877,94.95991,78.28509393100516,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.55000000000001,12.952084172065252,1159.8552692020514,1159.8552692020514,14.809897722455899,58.38528790713553,94.95991,78.33992590960857,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,12.952084172065252,1159.8552692020514,1159.8552692020514,14.809897722455899,58.29598030731823,94.95991,78.33992590960857,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.55000000000003,13.297953481644974,1160.0253163401528,1160.0253163401528,15.20537763380945,70.23049551773231,94.95991,78.34629160242292,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,13.297953481644974,1160.0253163401528,1160.0253163401528,15.20537763380945,28.479211285339936,94.95991,78.34629160242292,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,13.297953481644974,1160.0253163401528,1160.0253163401528,15.20537763380945,28.479211285339936,94.95991,78.34629160242292,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,13.297953481644974,1160.0253163401528,1160.0253163401528,15.20537763380945,57.50652164611216,94.95991,78.34629160242292,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,13.297953481644974,1160.0253163401528,1160.0253163401528,15.20537763380945,-6.1,94.95991,78.34629160242292,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,169.9262060605,86.4192,151.8173983449609,1228.1285984700614,1228.1285984700614,17.975766531075767,3.377372112468318,94.95991,80.89572923794407,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,169.9262060605,86.4192,151.8173983449609,1228.1285984700614,1228.1285984700614,17.975766531075767,-6.1,94.95991,80.89572923794407,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.55,9.972880001280538,1158.3905392331596,1158.3905392331596,14.086752481329519,59.69519920733107,94.95991,78.28509393100516,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,0.0,1153.4873585927442,1153.4873585927442,14.186481281342326,24.64,94.95991,78.1015439923313,94.95991,75.68131,75.68131,97.34841,97.34841
14.058029999999999,21.98,26.614711219999997,155.0,86.55,86.4192,0.0,1153.4873585927442,1153.4873585927442,14.186481281342326,58.83395195755031,94.95991,78.1015439923313,94.95991,75.68131,75.68131,97.34841,97.34841
