case_name,commodity,commodity_subtype,zone,resource_id,component_id,type,variable,year,value
missing,all,cost,all,all,all,Cost,FixedCost,missing,7.509258452516888e11
missing,all,cost,all,all,all,Cost,VariableCost,missing,7.47294214015168e10
missing,all,cost,all,all,all,Cost,TotalCost,missing,8.256552666532057e11
