corn_NCEN,corn_CEN,bioagri_CA,bioagri_NW,bioagri_SW,bioagri_TX,bioagri_NCEN,bioagri_CEN,bioagri_SE,bioagri_MIDAT,bioagri_NE,bioherb_CA,bioherb_NW,bioherb_SW,bioherb_TX,bioherb_NCEN,bioherb_CEN,bioherb_SE,bioherb_MIDAT,bioherb_NE,biowood_CA,biowood_NW,biowood_SW,biowood_TX,biowood_NCEN,biowood_CEN,biowood_SE,biowood_MIDAT,biowood_NE,ethanol_CA,ethanol_NW,ethanol_SW,ethanol_TX,ethanol_NCEN,ethanol_CEN,ethanol_SE,ethanol_MIDAT,ethanol_NE,ethylene_CA,ethylene_NW,ethylene_SW,ethylene_TX,ethylene_NCEN,ethylene_CEN,ethylene_SE,ethylene_MIDAT,ethylene_NE,gasoline_CA,gasoline_NW,gasoline_SW,gasoline_TX,gasoline_NCEN,gasoline_CEN,gasoline_SE,gasoline_MIDAT,gasoline_NE,ethylene_demand_CA,ethylene_demand_SW,ethylene_demand_NW,ethylene_demand_TX,ethylene_demand_NCEN,ethylene_demand_CEN,ethylene_demand_SE,ethylene_demand_MIDAT,ethylene_demand_NE,gasoline_demand_CA,gasoline_demand_SW,gasoline_demand_NW,gasoline_demand_TX,gasoline_demand_NCEN,gasoline_demand_CEN,gasoline_demand_SE,gasoline_demand_MIDAT,gasoline_demand_NE,natgas_CA,natgas_NW,natgas_SW,natgas_TX,natgas_NCEN,natgas_CEN,natgas_SE,natgas_MIDAT,natgas_NE,natgas_demand_CA,natgas_demand_SW,natgas_demand_NW,natgas_demand_TX,natgas_demand_NCEN,natgas_demand_CEN,natgas_demand_SE,natgas_demand_MIDAT,natgas_demand_NE,elec_CA,elec_NW,elec_SW,elec_TX,elec_NCEN,elec_CEN,elec_SE,elec_MIDAT,elec_NE,h2_CA,h2_NW,h2_SW,h2_TX,h2_NCEN,h2_CEN,h2_SE,h2_MIDAT,h2_NE,co2_captured_CA,co2_captured_NW,co2_captured_SW,co2_captured_TX,co2_captured_NCEN,co2_captured_CEN,co2_captured_SE,co2_captured_MIDAT,co2_captured_NE
155.0,155.0,36.54003248306813,41.16534030203305,34.789439464400644,36.95831186646382,41.69617543431209,40.64380698210877,37.80476917817669,39.68352796730879,40.12112150734307,84.88253833691252,65.7438338155273,62.24481542192707,63.144007036699506,64.14694101968122,65.35580191106807,62.26007471512666,58.834658185048404,61.25169101020226,36.71239705314078,38.89828287315803,35.72066464609294,36.12618167738342,36.05645105129234,38.01163855173907,29.315791550047102,28.227566270133615,27.547337806091022,69.87153376120413,70.3510390867412,-14.539193599262942,70.63562368483201,61.56989104252291,61.47301587147196,70.76585781284588,71.92497634730081,72.95551784498355,994.8631635780696,994.8631635780696,994.8631635780696,994.8631635780696,994.8631635780696,994.8631635780696,994.8631635780696,994.8631635780696,994.8631635780696,-143.8433149650937,-140.71260162391917,-152.62747852747964,-153.43676416863877,-155.1911642435511,-155.35574510228656,-154.67133040379835,-167.67201171969018,-178.23261361571264,-0.0,-0.0,-0.0,994.8631635780696,994.8631635780696,994.8631635780696,994.8631635780696,994.8631635780696,-0.0,-143.8433149650937,-152.62747852747964,-140.71260162391917,-153.43676416863877,-155.1911642435511,-155.35574510228656,-154.67133040379835,-167.67201171969018,-178.23261361571264,15.846596792169903,15.19287383991053,13.173677327376824,13.355035141701899,14.94494329691364,15.045530643045069,12.43401692013032,11.927742711389199,14.332271039903025,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,122.40385227049286,121.46044923764336,128.22541170563457,131.37566671322855,144.9439246797295,138.20195269078118,132.4530461094093,135.04619938119265,129.20917273166106,13.996766558260452,13.674624439560965,14.288305306240575,14.993777262183942,18.86965675664612,19.845530115122884,13.900900889291355,14.610490936092656,14.869392567098242,2.732146550055079,5.132561049281844,-4.407563006314576,-4.997834399768984,-6.088506770380285,-6.198490024962435,-6.087380642900889,-16.109620916422017,-23.80625315524199
155.0,155.0,36.53801230928573,41.16719264881149,34.803780857078515,36.97619568304731,41.695437835342936,40.644004669175686,37.819285183058945,39.69399529397696,40.1302663008536,85.36264650349928,65.75693686950551,62.274706272615624,63.17623198544387,64.16050064782019,65.36596911009703,62.289216771197786,58.87559419338082,61.29062469904723,36.66136018505524,38.829801440957645,35.72309262200575,36.13833266902828,36.0337985516163,37.98556546502162,29.294425468098098,28.23281529068834,27.59001137562527,73.05026794626424,73.53720035466092,-16.87495772373779,73.72868400674326,65.39948526775711,65.27084219502217,73.7919596583853,74.86451730118381,75.85545409338332,1056.8573052606257,1056.8573052606257,1056.8573052606257,1056.8573052606257,1056.8573052606257,1056.8573052606257,1056.8573052606257,1056.8573052606257,1056.8573052606257,-153.0819335611371,-149.9367329761048,-161.84740352695135,-162.65918543502477,-164.41348366436173,-164.57807456652617,-163.8926136420607,-176.89079178586036,-187.80743489285902,-0.0,-0.0,-0.0,1056.8573052606257,1056.8573052606257,1056.8573052606257,1056.8573052606257,1056.8573052606257,-0.0,-153.0819335611371,-161.84740352695135,-149.9367329761048,-162.65918543502477,-164.41348366436173,-164.57807456652617,-163.8926136420607,-176.89079178586036,-187.80743489285902,15.886829610432345,15.204866483813861,13.172288181361427,13.35547431098211,14.944912038118087,15.045539376451236,12.428883785430722,11.910447308666695,14.349839774247528,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,150.60022704631882,149.3657281317741,157.86581898620435,161.7815495935316,178.5570477091987,170.18853566368625,163.06140187414655,166.13072684347105,158.80213808649123,14.634819322735062,14.28894066034002,14.96308048126583,15.717475847974201,19.657226916873277,20.606495510245853,14.635530244828493,15.356871857196351,15.549257605492674,2.7260397777903274,5.133120457638619,-4.405944958476491,-4.997836730162421,-6.088505483994278,-6.198490105456836,-6.087392403367638,-16.10963851496766,-24.07305010797454
155.0,155.0,36.53848287537109,41.16785862347759,34.8064284140715,36.992018389526976,41.69329563518732,40.64092633925699,37.82993721663529,39.703534176530304,40.13890024673446,85.87131649021926,65.77548708436952,62.29964231272365,63.20019505219827,64.17166750103097,65.37110709612355,62.30788522848821,58.921993650255665,61.33498426187913,36.62293014154111,38.775681272397875,35.714136405835745,36.1412592655993,36.00119813161439,37.95458380647365,29.258604691602564,28.2260378264778,27.614237095921897,76.86222989418216,77.34651836238511,-19.586762443357532,77.44822047396693,69.96338461999368,69.7940739748159,77.4339220111154,78.41299997610211,79.34386794971738,1130.7670086013752,1130.7670086013752,1130.7670086013752,1130.7670086013752,1130.7670086013752,1130.7670086013752,1130.7670086013752,1130.7670086013752,1130.7670086013752,-164.0585483283319,-160.9174087962734,-172.83699211944398,-173.6541830502864,-175.4088823817263,-175.57296501200113,-174.88683980383954,-187.88188053927942,-199.00823774882662,-0.0,-0.0,-0.0,1130.7670086013752,1130.7670086013752,1130.7670086013752,1130.7670086013752,1130.7670086013752,-0.0,-164.0585483283319,-172.83699211944398,-160.9174087962734,-173.6541830502864,-175.4088823817263,-175.57296501200113,-174.88683980383954,-187.88188053927942,-199.00823774882662,15.903490611139889,15.215061506303721,13.177831255404937,13.356266328307006,14.947469440082182,15.045540035053548,12.42611795270005,11.891784400776046,14.379062623259516,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,183.20962621067292,181.65441125084212,192.16398929306035,196.96058036197508,217.44277609774534,207.19642248108062,198.46933126253407,202.0526616900513,192.9949590335285,15.343758365355757,14.996249226142698,15.712064621625743,16.492282435714923,20.5212384098994,21.431998063368972,15.429625607657732,16.159777675885604,16.306410914427282,2.7426551605908824,5.146715111870145,-4.401006617290446,-4.997785040026229,-6.088481823677935,-6.198481394514131,-6.087312445743167,-16.109669002736354,-24.22590002464187
155.0,155.0,36.540041241192625,41.16776548829086,34.80636705999565,36.986722790997405,41.69387426100439,40.641589963574994,37.82587571098254,39.70049763455615,40.13834396570899,85.71711233041546,65.7795652076415,62.2863719298456,63.19320865859212,64.17490420613527,65.3726591135149,62.30495856067731,58.92546294743966,61.342753373794935,36.64485706134722,38.80954537745948,35.71753727734501,36.14219985150119,36.00848083219898,37.963032846833585,29.28239933968231,28.251878677391392,27.61830947967234,74.85763743293691,75.3420152496367,-18.16331402227612,75.4927577098844,67.57181356155162,67.42207877482993,75.51367651346645,76.53900807538486,77.5089697969559,1092.171381105601,1092.171381105601,1092.171381105601,1092.171381105601,1092.171381105601,1092.171381105601,1092.171381105601,1092.171381105601,1092.171381105601,-158.34490905543845,-155.2073010938399,-167.10230814541097,-167.91179870579697,-169.66674932237203,-169.83141281149258,-169.14517715793102,-182.14118056700528,-193.2468800190636,-0.0,-0.0,-0.0,1092.171381105601,1092.171381105601,1092.171381105601,1092.171381105601,1092.171381105601,-0.0,-158.34490905543845,-167.10230814541097,-155.2073010938399,-167.91179870579697,-169.66674932237203,-169.83141281149258,-169.14517715793102,-182.14118056700528,-193.2468800190636,15.908645598064272,15.209684364894542,13.17269219219735,13.352112197954687,14.94466278379564,15.04549223670439,12.425564330131035,11.895813824968378,14.341234407824183,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,166.1379546434351,164.74462481588148,174.17142604667887,178.50476738077,197.0580916891536,187.78057518414207,179.9253607074167,183.2668048380113,175.1263404886859,15.077342737730222,14.73372237409759,15.449117189067048,16.17039557788305,20.160024136608342,21.093602187605562,15.118372557561162,15.845174455042345,16.01859132553224,2.722135861464539,5.119629028835858,-4.407057113809955,-4.997791155954174,-6.088467375052247,-6.198475598299372,-6.08730204425611,-16.109671249598307,-24.21671256109481
155.0,155.0,36.534440301557694,41.16890266966179,34.744632184717254,37.06373647570103,41.67837760957119,40.6122832203152,37.87961410571297,39.74312821964298,40.186990956859276,90.97083040469234,65.82258500276107,62.34361636707868,63.245870760572224,64.18355356138798,65.33777286953129,62.34156181939834,59.10312976448781,61.55180357060217,36.48653188768184,38.5905115434301,35.6120403095877,36.115641340200625,35.89907421367986,37.81235612435717,29.083966925156655,28.159899983612526,27.67109585551765,118.92422186690342,119.47872327549953,-48.82105049197631,118.60270561569013,118.70243842471531,118.44717579133507,118.1628847943714,118.34559181429677,118.45972373993193,1924.579268676302,1924.579268676302,1924.579268676302,1924.579268676302,1924.579268676302,1924.579268676302,1924.579268676302,1924.579268676302,1924.579268676302,-282.1969336660685,-279.0013254865964,-290.93917556339534,-291.74096787863203,-293.4966180741528,-293.6614616010194,-292.97495646168755,-305.9727308010008,-317.3717312799785,-0.0,-0.0,-0.0,1924.579268676302,1924.579268676302,1924.579268676302,1924.579268676302,1924.579268676302,-0.0,-282.1969336660685,-290.93917556339534,-279.0013254865964,-291.74096787863203,-293.4966180741528,-293.6614616010194,-292.97495646168755,-305.9727308010008,-317.3717312799785,15.93062450952571,15.221035738820666,13.170411795329068,13.347794557632257,14.943828145890198,15.045465926519718,12.424483704424112,11.902851235768296,14.354721819887782,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,533.9999351895358,529.197676853832,561.1750822453718,575.4532127991158,613.5130912799845,605.3749329984918,559.0572192617085,567.9383338737032,541.3829887613293,22.359131339882502,21.93073758043374,23.039841090207517,24.106408036525416,28.451452453410134,29.427545532971973,22.675450944429265,23.50551663755163,23.271316910023536,2.7088072842072166,5.151577114261426,-4.41262417664804,-4.997792596721418,-6.088453933781154,-6.198472224810485,-6.087259033235261,-16.109700908840512,-24.440026774145142
155.0,155.0,36.528550199903265,41.16736569143725,34.789110392933,37.005839263461816,41.692497238588366,40.63374919875796,37.84226732441161,39.715007162065156,40.1496121437676,86.8747997570607,65.79468039391662,62.32523088201237,63.21656754091756,64.18350962616289,65.36820241754623,62.325406714184176,59.0135605155618,61.416299741436504,36.57816157808302,38.713991557583654,35.68842732978753,36.132933744794876,35.97323315507836,37.90880607328119,29.233199342247325,28.25380484934239,27.650729908625706,81.86332465500797,82.34952618219357,-23.462702602224507,82.31773930306929,75.86398475018285,75.81445387826214,82.31842027805322,83.18811089462753,84.03788361557127,1227.8474160504077,1227.8474160504077,1227.8474160504077,1227.8474160504077,1227.8474160504077,1227.8474160504077,1227.8474160504077,1227.8474160504077,1227.8474160504077,-178.53437335262072,-175.3792421949425,-187.28322067290034,-188.09393001958165,-189.8501829343261,-190.0147254205451,-189.32811741771346,-202.32701356821784,-213.54900056175464,-0.0,-0.0,-0.0,1227.8474160504077,1227.8474160504077,1227.8474160504077,1227.8474160504077,1227.8474160504077,-0.0,-178.53437335262072,-187.28322067290034,-175.3792421949425,-188.09393001958165,-189.8501829343261,-190.0147254205451,-189.32811741771346,-202.32701356821784,-213.54900056175464,15.947413359216558,15.247607761032254,13.172897683855805,13.34665274162711,14.945340385602577,15.04543482858574,12.424694294136826,11.907544175938856,14.386811858259366,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,229.6186145845408,227.6342211377709,241.01384724944413,247.06447300087623,263.2636244618179,259.90772310111595,240.0607883423066,243.95478458470447,232.8036104656951,16.40104638897809,16.05816115032733,16.826548132049837,17.57687251486349,21.50217899195353,22.56535156112357,16.334923347741018,17.086272456308055,17.210923739999853,2.7235727905838547,5.135635558226367,-4.405168301400024,-4.997728781087265,-6.088432034245956,-6.198463761570623,-6.087133747812323,-16.10972587036839,-24.300354746710454
155.0,155.0,36.537225165741894,41.168789391991474,34.794521787808705,36.99193825621045,41.699131291482,40.637440229848146,37.83141565809582,39.707562896895695,40.13956965644775,85.61815917626205,65.80053349364226,62.32872324397444,63.206358077883934,64.18807306535489,65.37713462607226,62.31419779662391,58.98594992520495,61.38192222023783,36.611766749301964,38.757890023441306,35.71256494425895,36.13856394046764,35.987348100361146,37.93000169773056,29.272148417013412,28.272723550626043,27.64139266169911,76.51945804612822,77.00282492376407,-19.66883223409144,77.10430777088587,69.51265001204939,69.49847331575653,77.19521872906182,78.1756033535914,79.12895300841808,1124.9779894437713,1124.9779894437713,1124.9779894437713,1124.9779894437713,1124.9779894437713,1124.9779894437713,1124.9779894437713,1124.9779894437713,1124.9779894437713,-163.28758601435788,-160.1494670864464,-171.9833590949055,-172.79063998629408,-174.5464904413934,-174.7117154486307,-174.0234817177217,-187.02397347329645,-198.16721745981934,-0.0,-0.0,-0.0,1124.9779894437713,1124.9779894437713,1124.9779894437713,1124.9779894437713,1124.9779894437713,-0.0,-163.28758601435788,-171.9833590949055,-160.1494670864464,-172.79063998629408,-174.5464904413934,-174.7117154486307,-174.0234817177217,-187.02397347329645,-198.16721745981934,15.93402384615488,15.239826038957856,13.175928900569364,13.344953866356336,14.942047636984201,15.045372523287636,12.416854734376782,11.907265546523057,14.477985714879335,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,184.45301963950854,182.8244008961185,193.1042942008552,197.93551744528614,210.6644419203734,208.22464990202084,192.04952118511014,195.53241409664764,187.03744695159023,15.487725789953588,15.138847622122828,15.858604502299245,16.57856934585461,20.42095841386973,21.501435038106884,15.328424591174114,16.094649155596187,16.277161449775004,2.6784799832543627,5.073351681706446,-4.407079959275326,-4.997765291612465,-6.088412399018558,-6.198456072563233,-6.087110630575738,-16.109729297377054,-24.225700940688846
155.0,155.0,36.52550215343651,41.16726695439502,34.76213005243635,37.01544501836886,41.69581423900985,40.62539679351907,37.847988988158676,39.72420180393055,40.157211702272996,87.15269230437312,65.81649866603502,62.372172648567684,63.2323415043778,64.19779168987968,65.37101102812497,62.33293105797723,59.051382538276115,61.48780635067622,36.53252501719608,38.64680328812975,35.6701504041113,36.119661926214526,35.9408595669491,37.86412444021797,29.162341280284327,28.222201066231573,27.683404900126575,88.81370401192319,89.3217222621634,-28.595047241230937,89.08110572891204,84.0715647765723,84.0268088966136,88.99924930604872,89.71699471709286,90.45462991395094,1360.9422140274485,1360.9422140274485,1360.9422140274485,1360.9422140274485,1360.9422140274485,1360.9422140274485,1360.9422140274485,1360.9422140274485,1360.9422140274485,-198.43189831624227,-195.25967099504868,-207.08846887086597,-207.88809820735514,-209.64826846751376,-209.81402674925553,-209.12541644073477,-222.1222768138362,-233.3828066067857,-0.0,-0.0,-0.0,1360.9422140274485,1360.9422140274485,1360.9422140274485,1360.9422140274485,1360.9422140274485,-0.0,-198.43189831624227,-207.08846887086597,-195.25967099504868,-207.88809820735514,-209.64826846751376,-209.81402674925553,-209.12541644073477,-222.1222768138362,-233.3828066067857,15.942263726824198,15.251167042165978,13.182421439875226,13.32105571761488,14.939391179633933,15.045245971676291,12.415191612625765,11.88758633639357,14.534984507564713,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,290.94459707806743,288.3888441611173,305.66562361569044,313.4823602781239,331.9573782296061,329.7755097608209,304.0654665936982,307.33743488527733,293.0760533444173,17.50350360465921,17.101919155380944,17.924551322530636,18.85583750234999,22.78863531549902,23.87730090245242,17.504298341035312,18.26059966759284,18.35159033550086,2.6476815788818695,5.068753324829875,-4.408173976932658,-4.997805760392757,-6.088402870075572,-6.198454952126019,-6.0870641108721,-16.1097499990336,-24.30331060388439
155.0,155.0,36.48700534560582,41.144279212402424,34.612527107855634,36.843142781611384,41.68994664958847,40.61403070207941,37.70255535380755,39.624472091276175,40.05701256199366,83.01121998891843,65.55893770399345,62.0414176023118,62.913433619299134,63.93478719315369,65.20813819122212,62.019653419978575,58.5099517448424,60.9555347704851,36.81602772174949,38.99480994631643,35.58836729371693,35.927572649506864,35.990388150468945,37.99646623207198,29.174198430956174,27.941265125379164,27.12440548949274,62.416715895899486,62.90342701475403,-8.624154953910827,63.38303971254467,52.49286422174752,52.425236495777895,63.7384012803232,65.1196430329574,66.2734415584935,847.6603877569833,847.6603877569833,847.6603877569833,847.6603877569833,847.6603877569833,847.6603877569833,847.6603877569833,847.6603877569833,847.6603877569833,-121.88388328457987,-118.81514707458406,-130.7107003390309,-131.53499188789215,-133.2913226529976,-133.45755093972716,-132.7568088648702,-145.73240647566786,-155.78258775074144,-0.0,-0.0,-0.0,847.6603877569833,847.6603877569833,847.6603877569833,847.6603877569833,847.6603877569833,-0.0,-121.88388328457987,-130.7107003390309,-118.81514707458406,-131.53499188789215,-133.2913226529976,-133.45755093972716,-132.7568088648702,-145.73240647566786,-155.78258775074144,15.364313729348188,14.743132331775186,13.104258425352988,13.337433432208726,14.937194263808767,15.045174488735165,12.356940425289647,11.725884150459786,13.650197032825629,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,49.900297668591534,49.67072025506828,52.0188445367543,53.352473056115606,56.589538388871084,56.11533073202669,51.75340303050432,52.7428829114257,50.799993278408216,12.655284393833465,12.384840482843346,12.913582508289952,13.59104235707896,17.20196224552438,18.311277156712737,12.423388860036386,13.118313669868959,13.547936100888167,2.7029295185899205,5.054755586552234,-4.404217527683808,-4.997783974215781,-6.088377331659933,-6.198453293760871,-6.086969904392816,-16.10972759911233,-23.49182923917108
155.0,155.0,36.486921168466566,41.14289740741452,34.59985913990506,36.839442449393324,41.690074446349556,40.61010993369296,37.6984721687913,39.622352428416825,40.05826782544146,82.64513433062608,65.55877903281116,62.02790642478206,62.90822779621819,63.92877051451155,65.20568571047602,62.01406150122132,58.501928674826836,60.972890939687815,36.8200799393188,38.99590514590506,35.57643916446915,35.91871160036723,35.975314071185736,37.9834141031052,29.165847299846728,27.930438340863883,27.11922789393337,62.203255119251686,62.690216588194616,-8.415422587089287,63.167175003160224,52.20053861673325,52.14884296738158,63.532797534117215,64.9166598410341,66.06304737233161,843.0975349603649,843.0975349603649,843.0975349603649,843.0975349603649,843.0975349603649,843.0975349603649,843.0975349603649,843.0975349603649,843.0975349603649,-121.23727552536859,-118.14782401373125,-130.01600228543643,-130.8531316743201,-132.61192298136817,-132.77875743652265,-132.07516617748183,-145.04854630809373,-154.77389536660704,-0.0,-0.0,-0.0,843.0975349603649,843.0975349603649,843.0975349603649,843.0975349603649,843.0975349603649,-0.0,-121.23727552536859,-130.01600228543643,-118.14782401373125,-130.8531316743201,-132.61192298136817,-132.77875743652265,-132.07516617748183,-145.04854630809373,-154.77389536660704,15.233352894990919,14.673906716706448,13.002026629328158,13.322346799964661,14.934265861939345,15.045102973302926,12.342757708506982,11.701392970218963,13.570391145682912,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,47.249008718444166,47.06637857979793,49.27727163003786,50.54207092545388,53.60960902170819,53.16031730627837,49.0300122772905,49.96784507070834,48.144958144098965,12.472528641304596,12.217314987955708,12.760989329752602,13.47869524544503,17.03822106522325,18.163986606427855,12.279905869127854,12.966676340937699,13.419166211262466,2.6576531614271013,5.033324692631859,-4.408181019803205,-4.997806996518802,-6.088362551799209,-6.1984510454099375,-6.087016572736928,-16.109705915548744,-23.252124057700872
