natgas_SE,natgas_MIDAT,natgas_NE,natgas_demand_SE,natgas_demand_MIDAT,natgas_demand_NE,ethane_SE,ethane_MIDAT,ethane_NE,ethylene_SE,ethylene_MIDAT,ethylene_NE,ethylene_demand_SE,ethylene_demand_MIDAT,ethylene_demand_NE,biowood_SE,biowood_MIDAT,biowood_NE,bioherb_SE,bioherb_MIDAT,bioherb_NE,elec_SE,elec_MIDAT,elec_NE,h2_SE,h2_MIDAT,h2_NE,co2_captured_SE,co2_captured_MIDAT,co2_captured_NE,gasoline_SE,gasoline_MIDAT,gasoline_NE,gasoline_demand_SE,gasoline_demand_MIDAT,gasoline_demand_NE,jetfuel_SE,jetfuel_MIDAT,jetfuel_NE,jetfuel_demand_SE,jetfuel_demand_MIDAT,jetfuel_demand_NE,diesel_SE,diesel_MIDAT,diesel_NE,diesel_demand_SE,diesel_demand_MIDAT,diesel_demand_NE
-13.90313245036059,-21.206312602012314,-22.637475767670995,-13.90313245036059,-21.206312602012314,-22.637475767670995,73.46474602,73.46474602,73.46474602,7313.587631322045,7313.587631322045,7313.587631322045,8167.54298395721,8167.54298395721,8167.54298395721,79.99999999999999,79.99999999999999,80.00000000000018,79.99999999999999,79.99999999999999,79.99999999999999,49.714219178361795,40.036948623946145,38.14054830600241,56.794614445957876,45.7390882984914,43.57259897867754,-282.6460094107596,-245.4559931962967,-238.16807475102172,-3563.363298949891,-3563.363298949891,-3563.363298949891,-3563.363298949891,-3563.363298949891,-3563.363298949891,69.30059661,69.30059661,69.30059661,0.0,0.0,0.0,83.29037731,83.29037731,83.29037731,0.0,0.0,0.0
-13.903132450360529,-21.206312602012787,-22.637475767670995,-13.903132450360529,-21.206312602012787,-22.637475767670995,73.46474602,73.46474602,73.46474602,7313.587631322049,7313.587631322049,7313.587631322049,8167.542983957213,8167.542983957213,8167.542983957213,79.99999999999999,79.99999999999888,80.00000000000018,79.99999999999999,79.99999999999999,79.99999999999999,49.71421917836185,40.036948623946145,38.14054830600241,56.79461444595793,45.7390882984914,43.57259897867754,-282.64600941075975,-245.4559931962967,-238.16807475102172,-3563.363298949891,-3563.363298949891,-3563.363298949891,-3563.363298949891,-3563.363298949891,-3563.363298949891,69.30059661,69.30059661,69.30059661,0.0,0.0,0.0,83.29037731,83.29037731,83.29037731,0.0,0.0,0.0
-13.903132450360552,-21.206312602012787,-22.637475767671003,-13.903132450360552,-21.206312602012787,-22.637475767671003,73.46474602,73.46474602,73.46474602,7313.587631322049,7313.587631322049,7313.587631322049,8167.542983957213,8167.542983957213,8167.542983957213,79.99999999999999,79.99999999999888,79.99999999999999,79.99999999999999,79.99999999999999,80.00000000000017,49.71421917836185,40.036948623946145,38.14054830600241,56.79461444595793,45.7390882984914,43.57259897867755,-282.64600941075975,-245.4559931962967,-238.1680747510217,-3563.363298949909,-3563.363298949909,-3563.363298949909,-3563.363298949909,-3563.363298949909,-3563.363298949909,69.30059661,69.30059661,69.30059661,0.0,0.0,0.0,83.29037731,83.29037731,83.29037731,0.0,0.0,0.0
-13.903132450360552,-21.206312602012787,-22.637475767670978,-13.903132450360552,-21.206312602012787,-22.637475767670978,73.46474602,73.46474602,73.46474602,7313.587631322049,7313.587631322049,7313.587631322049,8167.542983957213,8167.542983957213,8167.542983957213,79.99999999999999,79.99999999999888,79.99999999999999,79.99999999999999,79.99999999999999,79.99999999999997,49.71421917836185,40.03694862394613,38.1405483060025,56.79461444595793,45.739088298491396,43.5725989786777,-282.64600941075975,-245.4559931962967,-238.16807475102217,-3563.363298949854,-3563.363298949854,-3563.363298949854,-3563.363298949854,-3563.363298949854,-3563.363298949854,69.30059661,69.30059661,69.30059661,0.0,0.0,0.0,83.29037731,83.29037731,83.29037731,0.0,0.0,0.0
-13.903132450360557,-21.206312602012787,-22.637475767671003,-13.903132450360557,-21.206312602012787,-22.637475767671003,73.46474602,73.46474602,73.46474602,7313.5876313220515,7313.5876313220515,7313.5876313220515,8167.542983957216,8167.542983957216,8167.542983957216,80.00000000000013,79.99999999999888,79.99999999999999,79.99999999999999,79.99999999999999,80.00000000000017,49.71421917836185,40.036948623946145,38.14054830600241,56.79461444595794,45.7390882984914,43.57259897867754,-282.64600941075986,-245.4559931962967,-238.1680747510217,-3563.363298949909,-3563.363298949909,-3563.363298949909,-3563.363298949909,-3563.363298949909,-3563.363298949909,69.30059661,69.30059661,69.30059661,0.0,0.0,0.0,83.29037731,83.29037731,83.29037731,0.0,0.0,0.0
-13.903132450360529,-21.206312602012787,-22.637475767670995,-13.903132450360529,-21.206312602012787,-22.637475767670995,73.46474602,73.46474602,73.46474602,7313.587631322049,7313.587631322049,7313.587631322049,8167.542983957213,8167.542983957213,8167.542983957213,79.99999999999999,79.99999999999888,80.00000000000018,79.99999999999999,79.99999999999999,79.99999999999999,49.71421917836185,40.03694862394613,38.1405483060024,56.79461444595793,45.739088298491396,43.57259897867753,-282.64600941075975,-245.4559931962967,-238.16807475102172,-3563.3632989499047,-3563.3632989499047,-3563.3632989499047,-3563.3632989499047,-3563.3632989499047,-3563.3632989499047,69.30059661,69.30059661,69.30059661,0.0,0.0,0.0,83.29037731,83.29037731,83.29037731,0.0,0.0,0.0
-14.879806148430262,-21.206312602012787,-22.637475767670978,-14.879806148430262,-21.206312602012787,-22.637475767670978,73.46474602,73.46474602,73.46474602,7219.270536676771,7219.270536676771,7219.270536676771,8073.225889311936,8073.225889311936,8073.225889311936,79.99999999999999,79.99999999999888,79.99999999999999,79.99999999999999,79.99999999999999,79.99999999999999,48.42005205892355,40.036948623946145,38.1405483060025,55.316129541801466,45.7390882984914,43.5725989786777,-277.67248966823564,-245.4559931962967,-238.16807475102217,-3563.363298949854,-3563.363298949854,-3563.363298949854,-3563.363298949854,-3563.363298949854,-3563.363298949854,69.30059661,69.30059661,69.30059661,0.0,0.0,0.0,83.29037731,83.29037731,83.29037731,0.0,0.0,0.0
-14.879806148430262,-21.20631260201231,-22.63747576767096,-14.879806148430262,-21.20631260201231,-22.63747576767096,73.46474602,73.46474602,73.46474602,7219.270536676771,7219.270536676771,7219.270536676771,8073.225889311936,8073.225889311936,8073.225889311936,79.99999999999999,79.99999999999999,79.99999999999999,79.99999999999999,79.99999999999999,80.00000000000018,48.42005205892355,40.036948623946195,38.14054830600246,55.316129541801466,45.73908829849147,43.572598978677604,-277.67248966823564,-245.4559931962967,-238.16807475102192,-3563.3632989498815,-3563.3632989498815,-3563.3632989498815,-3563.3632989498815,-3563.3632989498815,-3563.3632989498815,69.30059661,69.30059661,69.30059661,0.0,0.0,0.0,83.29037731,83.29037731,83.29037731,0.0,0.0,0.0
-14.879806148430262,-21.206312602012787,-22.637475767670995,-14.879806148430262,-21.206312602012787,-22.637475767670995,73.46474602,73.46474602,73.46474602,7219.270536676771,7219.270536676771,7219.270536676771,8073.225889311936,8073.225889311936,8073.225889311936,80.00000000000009,79.99999999999888,79.99999999999999,79.99999999999999,79.99999999999999,80.00000000000018,48.42005205892355,40.036948623946145,38.14054830600241,55.316129541801466,45.7390882984914,43.57259897867754,-277.67248966823564,-245.4559931962967,-238.16807475102172,-3563.363298949891,-3563.363298949891,-3563.363298949891,-3563.363298949891,-3563.363298949891,-3563.363298949891,69.30059661,69.30059661,69.30059661,0.0,0.0,0.0,83.29037731,83.29037731,83.29037731,0.0,0.0,0.0
-14.879806148430234,-21.206312602012787,-22.637475767670995,-14.879806148430234,-21.206312602012787,-22.637475767670995,73.46474602,73.46474602,73.46474602,7219.270536676772,7219.270536676772,7219.270536676772,8073.225889311937,8073.225889311937,8073.225889311937,79.99999999999999,79.99999999999888,80.00000000000018,79.99999999999999,79.99999999999999,79.99999999999999,48.42005205892355,40.036948623946145,38.14054830600241,55.316129541801466,45.7390882984914,43.57259897867754,-277.67248966823564,-245.4559931962967,-238.16807475102172,-3563.363298949891,-3563.363298949891,-3563.363298949891,-3563.363298949891,-3563.363298949891,-3563.363298949891,69.30059661,69.30059661,69.30059661,0.0,0.0,0.0,83.29037731,83.29037731,83.29037731,0.0,0.0,0.0
